flow,period,value
Production,1971-1974,47.07257218493151
Exports,1971-1974,-31.31243457534247
Oil Products,1971-1974,-16.14985764383562
Production,1971,39.44971860273973
Exports,1971,-25.170497041095892
Oil Products,1971,-14.653352794520547
Production,1972,47.70131046575343
Exports,1972,-32.61149131506849
Oil Products,1972,-15.547090657534246
Production,1973,51.52574298630137
Exports,1973,-35.292745068493154
Oil Products,1973,-16.54477394520548
Production,1974,49.61351668493151
Exports,1974,-32.17500487671233
Oil Products,1974,-17.85421317808219
Production,1975,44.29259939726027
Exports,1975,-24.692440465753425
Oil Products,1975,-22.07354191780822
Production,1976,44.85377616438357
Exports,1976,-24.027338356164385
Oil Products,1976,-23.653207123287668
Production,1977,38.5351755890411
Exports,1977,-13.385463616438358
Oil Products,1977,-27.768610520547945
Production,1978,36.41511868493151
Exports,1978,-8.521797753424657
Oil Products,1978,-29.244330301369864
Production,1979,31.13575145205479
Exports,1979,-0.5404117808219179
Oil Products,1979,-31.717733369863012
Production,1980,28.059601479452056
Oil Products,1980,-26.854067506849315
Production,1981,25.79404909589041
Oil Products,1981,-25.627768547945205
Production,1982,27.311339013698632
Oil Products,1982,-24.48458978082192
Production,1983,27.373694219178084
Exports,1983,-2.8891044383561644
Oil Products,1983,-24.775580739726028
Production,1984-1987,23.913010438356167
Exports,1984-1987,-0.441682705479452
Oil Products,1984-1987,-23.310248472602737
Production,1984,25.606983479452055
Exports,1984,-0.8521878082191782
Oil Products,1984,-24.131243616438358
Production,1985,24.630085260273972
Oil Products,1985,-23.507711643835616
Production,1986,21.969616575342464
Exports,1986,-0.8937579452054795
Oil Products,1986,-22.219037397260276
Production,1987,23.445356438356164
Exports,1987,-0.020785068493150684
Oil Products,1987,-23.383001232876712
Production,1988,23.71556232876712
Oil Products,1988,-24.110458547945203
Production,1989,24.87950608219178
Oil Products,1989,-25.690123753424658
Production,1990,26.188965397260272
Oil Products,1990,-27.332124082191783
Production,1991,27.685470246575342
Exports,1991,-1.0184683561643837
Oil Products,1991,-29.535321260273975
Production,1992,26.667001890410962
Exports,1992,-0.35334616438356165
Oil Products,1992,-29.119619890410956
Production,1993,28.038816410958905
Exports,1993,-1.3094392328767124
Oil Products,1993,-29.82631221917808
Production,1994,32.17500487671233
Exports,1994,-1.392579506849315
Oil Products,1994,-32.00872432876712
Production,1995,36.04098745205479
Oil Products,1995,-34.44055726027398
Production,1996,39.69913942465754
Oil Products,1996,-35.02253917808219
Production,1997,38.6183158630137
Oil Products,1997,-32.75698679452055
Production,1998,44.12631884931507
Oil Products,1998,-32.923267342465756
Production,1999-2002,39.792667212328766
Exports,1999-2002,-2.026524095890411
Oil Products,1999-2002,-32.30490653424657
Production,1999,38.38968010958904
Oil Products,1999,-31.759303506849314
Production,2000,36.851605123287676
Exports,2000,-3.595776684931507
Oil Products,2000,-31.13575145205479
Production,2001,41.75684112328767
Exports,2001,-2.6188985479452054
Oil Products,2001,-31.343602136986306
Production,2002,42.17254249315068
Exports,2002,-1.8914211506849314
Oil Products,2002,-34.98096904109589
Production,2003,45.64360876712329
Exports,2003,-2.7643940273972603
Oil Products,2003,-35.81235169863014
Production,2004,53.313238794520544
Exports,2004,-5.009161342465753
Oil Products,2004,-40.86308317808219
Production,2005-2008,55.04877193150685
Exports,2005-2008,-2.9098844863013698
Oil Products,2005-2008,-45.399389232876715
Production,2005,56.55566931506849
Exports,2005,-4.510319698630137
Oil Products,2005,-42.54665364383562
Production,2006,55.18387487671233
Exports,2006,-4.240113808219179
Oil Products,2006,-44.14710391780822
Production,2007,55.558006109589044
Exports,2007,-2.8891044383561644
Oil Products,2007,-46.28794589041097
Production,2008,54.1861915890411
Exports,2008,-6.692731808219179
Oil Products,2008,-40.842298109589045
Production,2009,46.84914273972603
Oil Products,2009,-41.94390673972603
Production,2010,48.823704164383564
Oil Products,2010,-43.398841452054796
Production,2011,50.27863887671233
Oil Products,2011,-45.31104767123288
Production,2012,57.719633150684935
Oil Products,2012,-46.89071287671233
Production,2013,66.01279515068494
Oil Products,2013,-51.775143726027395
Production,2014,70.83489087671232
Exports,2014,-9.415555698630138
Oil Products,2014,-56.493314109589036
Production,2015,69.58780684931507
Exports,2015,-1.2262989589041096
Oil Products,2015,-63.165260849315075
Production,2016,66.03358021917808
Oil Products,2016,-61.169914356164384
