product,flow,value
Coal and coal products,Industry,113.75296465753425
Coal and coal products,Other,3.502715808219178
Gas,Industry,109.19360424657533
Combustible renewables and waste,Industry,517.0465924931507
Gas,Transport,22.210120904109587
Combustible renewables and waste,Transport,116.35983397260276
Gas,Residential,3.2781768219178087
Combustible renewables and waste,Residential,169.80684024657538
Gas,Commercial,4.599203479452055
Combustible renewables and waste,Commercial,2.8275525205479455
Gas,Other,12.831315616438356
Solar/Wind/Other,Other,1.45403101369863
Combustible renewables and waste,Other,40.06383202739726
Oil Products,Industry,234.99522126027398
Oil Products,Transport,825.6793552328767
Oil Products,Residential,114.93642830136987
Oil Products,Commercial,22.335132547945204
Oil Products,Other,323.6960131506849
Electricity,Industry,277.56753994520545
Electricity,Transport,1.6925271232876713
Electricity,Residential,131.5041762739726
Electricity,Commercial,134.8529620821918
Electricity,Other,24.667719287671233
Coal and coal products,Electricity output in GWh,9093.0
Gas,Electricity output in GWh,13110.0
Nuclear,Electricity output in GWh,13358.0
Hydro,Electricity output in GWh,305616.0
Solar/Wind/Other,Electricity output in GWh,61.0
Combustible renewables and waste,Electricity output in GWh,11894.0
Oil Products,Electricity output in GWh,10755.0
Coal and coal products,Production,36.84670506849315
"Crude, NGL and feedstocks",Production,1598.6980224109589
Gas,Production,171.66974468493152
Nuclear,Production,69.90964405479451
Hydro,Production,527.8197646027397
Solar/Wind/Other,Production,1.5593821917808222
Combustible renewables and waste,Production,1171.121891890411
Coal and coal products,Imports,223.36670843835617
"Crude, NGL and feedstocks",Imports,355.9855869315069
Gas,Imports,84.5425531780822
Combustible renewables and waste,Imports,0.3921047945205479
"Crude, NGL and feedstocks",Exports,-251.1706836986301
Combustible renewables and waste,Exports,-8.043520273972602
Coal and coal products,Total Consumption,117.25568046575341
Gas,Total Consumption,152.11244115068493
Solar/Wind/Other,Total Consumption,1.45403101369863
Combustible renewables and waste,Total Consumption,846.1046713424658
Oil Products,Imports,209.8413522739726
Electricity,Imports,64.1623215890411
Oil Products,Exports,-175.40189953424655
Electricity,Exports,-0.01036241095890411
Oil Products,Total Consumption,1521.6421705753423
Electricity,Total Consumption,570.2849247123288
Electricity,Production,797.9239989589041
Coal and coal products,Electricity,-51.70041789041096
Gas,Electricity,-49.26027093150685
Nuclear,Electricity,-69.90964405479451
Hydro,Electricity,-527.8197646027397
Solar/Wind/Other,Electricity,-0.10535117808219178
Combustible renewables and waste,Electricity,-47.32900671232876
Oil Products,Electricity,-51.79954358904109
"Crude, NGL and feedstocks",Oil Products,-1776.612886931507
All products,Heat and Waste,305.89618254794505
All products,Industry,1252.555902520548
All products,Transport,965.9418372328768
All products,Residential,419.5256216438356
All products,Commercial,164.614850630137
All products,Other,406.2156269041096
All products,Total Consumption,3208.853919260274
All primary,Production,3577.62515490411
All primary,Imports,664.2869533424657
All primary,Exports,-259.2142039726027
All primary,Total Consumption,1116.9268239726027
All primary,Oil Products,-1776.612886931507
All primary,Electricity,-797.9239989589041
Oil Products,Production,1742.548007232877
All products,Hydrocarbon Heat and Waste,34.06487969863019
All products,Electricity Heat and Waste,271.83130284931485
