flow,period,value
Production,1984-1987,2027.7594468972602
Imports,1984-1987,751.8254632808221
Exports,1984-1987,-4.8342956575342475
Total Consumption,1984-1987,870.9707223561645
Oil Products,1984-1987,-1190.3474275753424
Electricity,1984-1987,-393.8471907465753
Production,1971-1974,1025.8514133150684
Imports,1971-1974,611.931308760274
Exports,1971-1974,-17.164284458904113
Total Consumption,1971-1974,694.8837339109589
Oil Products,1971-1974,-701.6960903150685
Electricity,1971-1974,-131.9839699589041
Production,1971,986.5083110684933
Imports,1971,436.87135372602745
Exports,1971,-15.426517178082191
Total Consumption,1971,685.0896941643836
Oil Products,1971,-543.961227890411
Electricity,1971,-118.55220684931506
Production,1972,1011.8324770410957
Imports,1972,546.3790635342466
Exports,1972,-21.15630789041096
Total Consumption,1972,697.7840090684931
Oil Products,1972,-650.2831992054794
Electricity,1972,-122.6125649589041
Production,1973,1029.0544827397262
Imports,1973,731.2589543013698
Exports,1973,-17.932834958904113
Total Consumption,1973,696.6599485479453
Oil Products,1973,-779.0687286849316
Electricity,1973,-138.94352380821917
Production,1974,1076.010382410959
Imports,1974,733.2158634794521
Exports,1974,-14.141477808219179
Total Consumption,1974,700.0012838630137
Oil Products,1974,-833.471205479452
Electricity,1974,-147.82758421917808
Production,1975,1082.6708220547946
Imports,1975,777.4726362465753
Exports,1975,-22.77894898630137
Total Consumption,1975,693.7435724931507
Oil Products,1975,-906.378879780822
Electricity,1975,-160.0395449589041
Production,1976,1087.8068426027398
Imports,1976,884.5304993972602
Exports,1976,-58.846786328767124
Total Consumption,1976,691.82389569863
Oil Products,1976,-960.739906931507
Electricity,1976,-177.65373578082193
Production,1977,1121.5845670410959
Imports,1977,891.8111574520549
Exports,1977,-27.725092410958904
Total Consumption,1977,702.415564958904
Oil Products,1977,-986.4132620547946
Electricity,1977,-200.8054504109589
Production,1978,1148.175618082192
Imports,1978,979.3403944383562
Exports,1978,-5.19255191780822
Total Consumption,1978,688.0708352876712
Oil Products,1978,-1100.3251170136987
Electricity,1978,-231.78052424657534
Production,1979,1216.2633856164384
Imports,1979,1091.9260214520548
Exports,1979,-1.252526301369863
Total Consumption,1979,699.5193514246575
Oil Products,1979,-1151.655239369863
Electricity,1979,-254.22530556164384
Production,1980,1292.2017438082191
Imports,1980,964.2544712328767
Exports,1980,-5.162529041095891
Total Consumption,1980,729.3001975616439
Oil Products,1980,-1132.8164766575342
Electricity,1980,-276.0459122739726
Production,1981,1336.140454821918
Imports,1981,936.0237694794521
Exports,1981,-16.781081095890414
Total Consumption,1981,723.6160135068494
Oil Products,1981,-1099.6269194520548
Electricity,1981,-286.4204327945206
Production,1982,1427.0750290684932
Imports,1982,884.7807235068492
Exports,1982,-26.297951452054793
Total Consumption,1982,726.3673541095891
Oil Products,1982,-1090.9833031232877
Electricity,1982,-298.9845347671233
Production,1983,1608.2552178082192
Imports,1983,835.0756721917808
Exports,1983,-5.635344164383561
Total Consumption,1983,772.7677201095892
Oil Products,1983,-1069.6665786849317
Electricity,1983,-314.82902260273966
Production,1984,1888.6520574246574
Imports,1984,783.9029741369862
Exports,1984,-10.208219890410959
Total Consumption,1984,841.6529715616438
Oil Products,1984,-1140.9703485753425
Electricity,1984,-352.8444309041096
Production,1985,2056.260359561644
Imports,1985,683.4178516986301
Exports,1985,-4.449832136986301
Total Consumption,1985,852.052494410959
Oil Products,1985,-1149.9185314246574
Electricity,1985,-387.8463456712329
Production,1986,2047.8110786027398
Imports,1986,747.5850733424656
Exports,1986,-4.270658821917808
Total Consumption,1986,878.7166647123288
Oil Products,1986,-1222.1777517534247
Electricity,1986,-418.0090948493151
Production,1987,2118.314292
Imports,1987,792.3959539452055
Exports,1987,-0.40847178082191776
Total Consumption,1987,911.4607587397261
Oil Products,1987,-1248.3230785479452
Electricity,1987,-416.6888915616438
Production,1988,2103.716747616438
Imports,1988,808.3194250410959
Exports,1988,-4.7674319999999994
Total Consumption,1988,901.6849686849315
Oil Products,1988,-1254.2300142739725
Electricity,1988,-431.32230273972607
Production,1989,2162.990561671233
Imports,1989,770.5700856986302
Total Consumption,1989,887.8344818356165
Oil Products,1989,-1261.0835843561642
Electricity,1989,-441.1179540821918
Production,1990,2091.934284712329
Imports,1990,762.473648849315
Total Consumption,1990,802.6358434520547
Oil Products,1990,-1247.5350935068493
Electricity,1990,-441.3011237534246
Production,1991,2103.890237671233
Imports,1991,730.3322816438357
Total Consumption,1991,807.8940440547944
Oil Products,1991,-1204.5751684383563
Electricity,1991,-463.9825134520548
Production,1992,2103.490642219178
Imports,1992,722.5244861369863
Exports,1992,-0.08012794520547946
Total Consumption,1992,804.3994615342465
Oil Products,1992,-1252.3313836164384
Electricity,1992,-487.21538021917803
Production,1993,2122.036566410959
Imports,1993,719.4618514794521
Exports,1993,-1.9794815616438355
Total Consumption,1993,809.0829700547946
Oil Products,1993,-1268.2278441643837
Electricity,1993,-496.1357492328768
Production,1994,2222.9009611232877
Imports,1994,778.5675976712329
Exports,1994,-3.141196191780822
Total Consumption,1994,855.610556739726
Oil Products,1994,-1343.2523421369865
Electricity,1994,-508.1565475890411
Production,1995,2250.751266
Imports,1995,743.9876499178083
Exports,1995,-18.189887013698634
Total Consumption,1995,843.7398526849315
Oil Products,1995,-1317.3672002191781
Electricity,1995,-552.6539652602739
Production,1996,2382.0117850410957
Imports,1996,813.1336485479453
Exports,1996,-4.375407534246575
Total Consumption,1996,859.4113123561644
Oil Products,1996,-1413.30519230137
Electricity,1996,-586.8483349315068
Production,1997,2536.643496986301
Imports,1997,814.5203238904111
Exports,1997,-4.521686219178082
Total Consumption,1997,876.6193609315069
Oil Products,1997,-1516.6974931506847
Electricity,1997,-627.5164601917809
Production,1998,2681.321048849315
Imports,1998,780.4790006027397
Exports,1998,-1.5720540547945208
Total Consumption,1998,896.3822659452054
Oil Products,1998,-1631.032018
Electricity,1998,-656.8617637534246
Production,1999-2002,3057.5646471506852
Imports,1999-2002,690.1405009520548
Exports,1999-2002,-100.63618570547945
Total Consumption,1999-2002,968.6730454383562
Oil Products,1999-2002,-1737.3022073835616
Electricity,1999-2002,-746.3185497534247
Production,1999,2839.319419753425
Imports,1999,691.044084109589
Exports,1999,-4.879872191780823
Total Consumption,1999,934.5727708767124
Oil Products,1999,-1694.8149669041095
Electricity,1999,-712.4428643835616
Production,2000,2976.334069123288
Imports,2000,657.4934691780823
Exports,2000,-36.08231660273973
Total Consumption,2000,931.9929121095892
Oil Products,2000,-1724.7628567123288
Electricity,2000,-747.9980636164383
Production,2001,3053.7958222191783
Imports,2001,716.4196404109589
Exports,2001,-110.00827852054795
Total Consumption,2001,954.8029282465753
Oil Products,2001,-1768.0683963013698
Electricity,2001,-756.1690053972603
Production,2002,3360.8092775068494
Imports,2002,695.604810109589
Exports,2002,-251.5742755068493
Total Consumption,2002,1053.323570520548
Oil Products,2002,-1761.5626096164383
Electricity,2002,-768.6642656164382
Production,2003,3577.62515490411
Imports,2003,664.2869533424657
Exports,2003,-259.2142039726027
Total Consumption,2003,1116.9268239726027
Oil Products,2003,-1776.612886931507
Electricity,2003,-797.9239989589041
Production,2004,3660.251927232877
Imports,2004,824.5705571780823
Exports,2004,-262.2670987671233
Total Consumption,2004,1210.9197754520549
Oil Products,2004,-1873.8673269315068
Electricity,2004,-853.9987600273973
Production,2005-2008,4244.334547732877
Imports,2005-2008,772.9776543219178
Exports,2005-2008,-426.8209648013699
Total Consumption,2005-2008,1352.483402739726
Oil Products,2005-2008,-1901.3403978767126
Electricity,2005-2008,-949.9147972534247
Production,2005,3910.3033098904107
Imports,2005,719.5895943013697
Exports,2005,-309.91758120547945
Total Consumption,2005,1241.6363312328767
Oil Products,2005,-1875.8362251780823
Electricity,2005,-882.3822270136986
Production,2006,4143.567144986301
Imports,2006,717.8042272054795
Exports,2006,-418.0359045753425
Total Consumption,2006,1301.3419726575344
Oil Products,2006,-1900.9158101369862
Electricity,2006,-922.8360150410958
Production,2007,4341.933111150685
Imports,2007,832.0907154520547
Exports,2007,-475.5767058082192
Total Consumption,2007,1400.368826739726
Oil Products,2007,-1905.9628866575342
Electricity,2007,-958.735864849315
Production,2008,4581.5346249041095
Imports,2008,822.4260803287671
Exports,2008,-503.7536676164384
Total Consumption,2008,1466.586480328767
Oil Products,2008,-1922.6466695342465
Electricity,2008,-1035.705082109589
Production,2009,4624.853077342466
Imports,2009,713.6816946301369
