flow,period,value
Industry,1984-1987,365.169504589041
Transport,1984-1987,95.1892024589041
Residential,1984-1987,229.7886218493151
Commercial,1984-1987,4.788191965753425
Other,1984-1987,53.155463054794524
Electricity output in GWh,1984-1987,3442.5
Production,1984-1987,1030.6850613219178
Exports,1984-1987,-4.591486897260275
Total Consumption,1984-1987,748.0910040000001
Electricity,1984-1987,-13.73311145890411
Industry,1971-1974,188.21394126712326
Transport,1971-1974,3.6859005410958905
Residential,1971-1974,387.74901230821916
Commercial,1971-1974,4.6804510068493155
Other,1971-1974,89.67208215753425
Electricity output in GWh,1971-1974,799.25
Production,1971-1974,733.4592897671232
Exports,1971-1974,-0.36373869863013697
Total Consumption,1971-1974,674.001382260274
Electricity,1971-1974,-3.1707471369863023
Industry,1971,171.18612534246574
Transport,1971,3.4900439452054797
Residential,1971,392.52887016438353
Commercial,1971,4.733171780821918
Other,1971,94.99828608219178
Electricity output in GWh,1971,708.0
Production,1971,716.8376512328769
Exports,1971,-0.037955342465753425
Total Consumption,1971,666.9364973150684
Electricity,1971,-2.90902597260274
Industry,1972,184.81034613698628
Transport,1972,4.879229561643835
Residential,1972,392.21647158904113
Commercial,1972,4.728432383561644
Other,1972,91.23799608219177
Electricity output in GWh,1972,793.0
Production,1972,732.8040379726026
Exports,1972,-0.037955342465753425
Total Consumption,1972,677.8724757534246
Electricity,1972,-3.2159421095890415
Industry,1973,194.01321134246575
Transport,1973,3.936250164383562
Residential,1973,384.85331589041095
Commercial,1973,4.631194410958904
Other,1973,88.1126648219178
Electricity output in GWh,1973,830.0
Production,1973,735.3723293972604
Exports,1973,-0.7844104109589041
Total Consumption,1973,675.5466165479453
Electricity,1973,-3.1771031506849314
Industry,1974,202.84608224657535
Transport,1974,2.4380784931506847
Residential,1974,381.3973915890411
Commercial,1974,4.629005452054795
Other,1974,84.33938164383561
Electricity output in GWh,1974,866.0
Production,1974,748.8231404657535
Exports,1974,-0.594633698630137
Total Consumption,1974,675.6499394246575
Electricity,1974,-3.3809173150684932
Industry,1975,203.68808838356165
Transport,1975,1.9408434246575341
Residential,1975,373.3354157808219
Commercial,1975,4.645492931506849
Other,1975,81.20107728767123
Electricity output in GWh,1975,867.0
Production,1975,751.4644708219179
Exports,1975,-0.657892602739726
Total Consumption,1975,664.8108977260274
Electricity,1975,-3.648512520547945
Industry,1976,208.84443210958904
Transport,1976,1.9620100547945203
Residential,1976,364.5323468493151
Commercial,1976,4.687424547945206
Other,1976,78.6852405479452
Electricity output in GWh,1976,864.0
Production,1976,738.2137185479452
Exports,1976,-0.3415980821917809
Total Consumption,1976,658.711454109589
Electricity,1976,-3.6744185479452054
Industry,1977,222.69606364383563
Transport,1977,6.957756493150685
Residential,1977,348.7263565753425
Commercial,1977,4.697204575342465
Other,1977,76.18285887671233
Electricity output in GWh,1977,1115.0
Production,1977,753.4054749041096
Exports,1977,-0.037955342465753425
Total Consumption,1977,659.2602401643835
Electricity,1977,-4.912164356164384
Industry,1978,215.36853375342466
Transport,1978,16.26235808219178
Residential,1978,329.4345998630137
Commercial,1978,4.6939914246575345
Other,1978,72.43503991780823
Electricity output in GWh,1978,1332.0
Production,1978,747.4586961095891
Exports,1978,-0.2403838356164384
Total Consumption,1978,638.1945431232876
Electricity,1978,-5.592187534246575
Industry,1979,220.7017011780822
Transport,1979,24.05416816438356
Residential,1979,324.09657254794524
Commercial,1979,4.645613424657535
Other,1979,68.70069610958905
Electricity output in GWh,1979,1776.0
Production,1979,780.5308929863014
Exports,1979,-1.252526301369863
Total Consumption,1979,642.1987313424657
Electricity,1979,-7.0179227397260275
Industry,1980,248.93900997260272
Transport,1980,28.614713424657538
Residential,1980,317.453323260274
Commercial,1980,4.599263726027397
Other,1980,65.12070402739725
Electricity output in GWh,1980,1806.0
Production,1980,812.8414325753424
Exports,1980,-3.9347239178082196
Total Consumption,1980,664.727014410959
Electricity,1980,-7.381430493150684
Industry,1981,258.0167229589041
Transport,1981,26.589645287671235
Residential,1981,305.6102523013699
Commercial,1981,4.998778849315069
Other,1981,65.33843515068493
Electricity output in GWh,1981,1872.0
Production,1981,817.3971179452055
Exports,1981,-1.6176205479452055
Total Consumption,1981,660.5538144657535
Electricity,1981,-8.128588438356164
Industry,1982,272.3067286575342
Transport,1982,38.86823873972603
Residential,1982,268.94187709589045
Commercial,1982,4.9753630136986295
Other,1982,64.4727922739726
Electricity output in GWh,1982,2177.0
Production,1982,829.7338694246575
Exports,1982,-3.5425187123287674
Total Consumption,1982,649.564999780822
Electricity,1982,-9.374005643835616
Industry,1983,310.67719010958905
Transport,1983,53.82184038356164
Residential,1983,250.27309005479452
Commercial,1983,5.115556794520548
Other,1983,63.47051016438356
Electricity output in GWh,1983,2983.0
Production,1983,907.7720215890412
Exports,1983,-4.591712821917808
Total Consumption,1983,683.3581674246576
Electricity,1983,-12.037988712328769
Industry,1984,349.9174715342466
Transport,1984,69.21281208219177
Residential,1984,255.22415361643837
Commercial,1984,5.096840191780823
Other,1984,56.41802597260274
Electricity output in GWh,1984,3282.0
Production,1984,999.7791254520547
Exports,1984,-10.208219890410959
Total Consumption,1984,735.8693435616437
Electricity,1984,-12.29166695890411
Industry,1985,357.16089720547944
Transport,1985,85.11891208219178
Residential,1985,233.42875005479453
Commercial,1985,4.809544356164384
Other,1985,53.087936684931506
Electricity output in GWh,1985,3294.0
Production,1985,1040.7677223287671
Exports,1985,-4.449832136986301
Total Consumption,1985,733.6060403835617
Electricity,1985,-13.44884301369863
Industry,1986,373.9688081095891
Transport,1986,112.18322005479452
Residential,1986,210.33617747945206
Commercial,1986,4.862641671232876
Other,1986,50.57258191780823
Electricity output in GWh,1986,3369.0
Production,1986,1007.4556838356166
Exports,1986,-3.2994237808219173
Total Consumption,1986,751.9234493150685
Electricity,1986,-13.656030986301372
Industry,1987,379.63084150684926
Transport,1987,114.24186561643836
Residential,1987,220.16540624657534
Commercial,1987,4.3837416438356165
Other,1987,52.54330764383562
Electricity output in GWh,1987,3825.0
Production,1987,1074.737713671233
Exports,1987,-0.40847178082191776
Total Consumption,1987,770.9651827397261
Electricity,1987,-15.535904876712328
Industry,1988,372.29610210958896
Transport,1988,121.02777879452056
Residential,1988,207.13363019178084
Commercial,1988,3.9043596438356167
Other,1988,50.339186684931505
Electricity output in GWh,1988,3339.0
Production,1988,1042.2988087123288
Exports,1988,-0.9407502739726028
Total Consumption,1988,754.7010574246575
Electricity,1988,-15.022302821917808
Industry,1989,368.7068320547945
Transport,1989,130.7263528219178
Residential,1989,193.02161295890411
Commercial,1989,3.5203278904109587
Other,1989,47.56400852054795
Electricity output in GWh,1989,3403.0
Production,1989,1046.5506706027397
Total Consumption,1989,743.5391342465755
Electricity,1989,-14.667912383561644
Industry,1990,338.89544090410953
Transport,1990,117.63348673972602
Residential,1990,172.72683109589042
Commercial,1990,3.481408602739726
Other,1990,43.80371852054795
Electricity output in GWh,1990,3859.0
Production,1990,948.7944770410959
Imports,1990,12.040940794520546
Total Consumption,1990,676.5408858630136
Electricity,1990,-14.909119589041094
Industry,1991,324.05654873972605
Transport,1991,122.61587852054795
Residential,1991,171.5604975616438
Commercial,1991,3.3836484931506847
Other,1991,42.584709397260276
Electricity output in GWh,1991,4000.0
Production,1991,951.6079720273973
Imports,1991,11.181523397260275
Total Consumption,1991,664.2012827123287
Electricity,1991,-16.645144739726028
Industry,1992,333.90616093150686
Transport,1992,119.94948558904109
Residential,1992,170.7991615890411
Commercial,1992,3.3378209315068497
Other,1992,38.759574
Electricity output in GWh,1992,4899.0
Production,1992,930.1963993972603
Imports,1992,5.630082630136985
Total Consumption,1992,666.7522030410959
Electricity,1992,-19.2007241369863
Industry,1993,347.91383109589043
Transport,1993,125.07982287671234
Residential,1993,150.11319871232877
Commercial,1993,3.2360443835616435
Other,1993,37.81237734246576
Electricity output in GWh,1993,4954.0
Production,1993,917.1217076986301
Imports,1993,14.929844410958905
Exports,1993,-1.9794815616438355
Total Consumption,1993,664.1552543287672
Electricity,1993,-19.88747484931507
Industry,1994,382.8416827397261
Transport,1994,133.42188501369864
Residential,1994,145.75522252054796
Commercial,1994,3.0744229041095896
Other,1994,37.22579660273973
Electricity output in GWh,1994,5388.0
Production,1994,972.7551224383562
Imports,1994,19.37100104109589
Exports,1994,-3.141196191780822
Total Consumption,1994,702.3190298630137
Electricity,1994,-21.40335901369863
Industry,1995,375.425188739726
Transport,1995,137.94943523287674
Residential,1995,131.39878493150684
Commercial,1995,2.978891917808219
Other,1995,37.99267526027397
Electricity output in GWh,1995,5594.0
Production,1995,935.2775152328769
Imports,1995,25.28325854794521
Exports,1995,-4.254231589041097
Total Consumption,1995,685.7449760821918
Electricity,1995,-22.365376328767123
Industry,1996,374.4295136712329
Transport,1996,143.62468271232876
Residential,1996,128.19234169863014
Commercial,1996,3.105610547945206
Other,1996,37.70688558904109
Electricity output in GWh,1996,6752.0
Production,1996,945.4771399452054
Imports,1996,13.659786356164382
Exports,1996,-2.2267335068493153
Total Consumption,1996,687.0590141369863
Electricity,1996,-26.974922136986304
Industry,1997,387.3277431506849
Transport,1997,138.7690497260274
Residential,1997,129.6996507671233
Commercial,1997,3.0624740000000004
Other,1997,37.30735038356164
Electricity output in GWh,1997,7379.0
Production,1997,994.4873273424657
Imports,1997,9.351252520547945
Exports,1997,-1.8614384383561644
Total Consumption,1997,696.1662680273973
Electricity,1997,-29.38137117808219
Industry,1998,411.67013093150683
Transport,1998,136.21698471232878
Residential,1998,132.45079054794522
Commercial,1998,2.9430050410958906
Other,1998,35.80676884931507
Electricity output in GWh,1998,7505.0
Production,1998,973.9132624383561
Imports,1998,1.8884690684931509
Exports,1998,-1.5720540547945208
Total Consumption,1998,719.0876800821917
Electricity,1998,-29.96020019178082
Industry,1999-2002,445.368048739726
Transport,1999-2002,122.53488202054797
Residential,1999-2002,146.45134659589039
Commercial,1999-2002,2.7104532602739724
Other,1999-2002,34.209305801369865
Electricity output in GWh,1999-2002,8594.5
Production,1999-2002,986.3408757945207
Imports,1999-2002,1.4589561712328765
Exports,1999-2002,-4.509195095890411
Total Consumption,1999-2002,751.2740313972603
Electricity,1999-2002,-34.65404100000001
Industry,1999,442.9034215890411
Transport,1999,136.52783695890412
Residential,1999,136.5816773150685
Commercial,1999,2.9190871506849314
Other,1999,34.72341493150685
Electricity output in GWh,1999,8230.0
Production,1999,991.396617780822
Imports,1999,4.000091452054795
Exports,1999,-4.266562054794521
Total Consumption,1999,753.6554178630138
Electricity,1999,-33.30131460273973
Industry,2000,421.89128375342466
Transport,2000,123.42324287671234
Residential,2000,140.19205375342466
Commercial,2000,2.7839139178082193
Other,2000,32.99216934246575
Electricity output in GWh,2000,7602.0
Production,2000,933.5038761369864
Imports,2000,0.21751021917808216
Exports,2000,-2.431732520547945
Total Consumption,2000,721.2826636438357
Electricity,2000,-31.094844027397258
Industry,2001,444.4818818630137
Transport,2001,107.98887356164383
Residential,2001,146.13081975342467
Commercial,2001,2.6639429041095886
Other,2001,32.99216934246575
Electricity output in GWh,2001,8176.0
Production,2001,970.3616264109589
Imports,2001,1.4354349041095888
Exports,2001,-3.393589178082192
Total Consumption,2001,734.2576673424658
Electricity,2001,-33.98708128767123
Industry,2002,472.19560775342467
Transport,2002,122.1995746849315
Residential,2002,162.90083556164385
Commercial,2002,2.4748690684931507
Other,2002,36.12946958904109
Electricity output in GWh,2002,10370.0
Production,2002,1050.101382849315
Imports,2002,0.18278810958904113
Exports,2002,-7.944896630136987
Total Consumption,2002,795.900376739726
Electricity,2002,-40.23292408219178
Industry,2003,517.0465924931507
Transport,2003,116.35983397260276
Residential,2003,169.80684024657538
Commercial,2003,2.8275525205479455
Other,2003,40.06383202739726
Electricity output in GWh,2003,11894.0
Production,2003,1171.121891890411
Imports,2003,0.3921047945205479
Exports,2003,-8.043520273972602
Total Consumption,2003,846.1046713424658
Electricity,2003,-47.32900671232876
Industry,2004,559.1816013698631
Transport,2004,129.42920389041097
Residential,2004,172.21130115068493
Commercial,2004,2.754754575342466
Other,2004,42.87361180821918
Electricity output in GWh,2004,12476.0
Production,2004,1237.5953524383563
Imports,2004,0.7423783835616438
Exports,2004,-23.550486712328766
Total Consumption,2004,906.4504727945206
Electricity,2004,-49.54505649315068
Industry,2005-2008,630.0223763287672
Transport,2005-2008,172.5074080479452
Residential,2005-2008,171.15259310273973
Commercial,2005-2008,2.962524931506849
Other,2005-2008,46.89549745890411
Electricity output in GWh,2005-2008,16987.5
Production,2005-2008,1448.908573732877
Imports,2005-2008,0.8562343698630136
Exports,2005-2008,-38.605262438356164
Total Consumption,2005-2008,1023.540404890411
Electricity,2005-2008,-62.93676567123288
Industry,2005,574.6202682739726
Transport,2005,139.8353538630137
Residential,2005,175.73614753424656
Commercial,2005,2.8137962191780823
Other,2005,43.85719739726028
Electricity output in GWh,2005,14902.0
Production,2005,1292.5276978630138
Imports,2005,1.167598712328767
Exports,2005,-26.020636465753427
Total Consumption,2005,936.8627833698631
Electricity,2005,-55.77266465753425
Industry,2006,626.6446520821918
Transport,2006,129.60293493150687
Residential,2006,176.24964917808222
Commercial,2006,2.8819752602739723
Other,2006,45.181296630136984
Electricity output in GWh,2006,15367.0
Production,2006,1376.9546579452056
Imports,2006,2.0497692328767125
Exports,2006,-36.6601615890411
Total Consumption,2006,980.5604880000001
Electricity,2006,-57.37056449315069
Industry,2007,660.2219160821918
Transport,2007,179.5581099452055
Residential,2007,167.243569369863
Commercial,2007,3.0197591780821917
Other,2007,47.446768684931506
Electricity output in GWh,2007,17854.0
Production,2007,1505.9798884657534
Imports,2007,0.19459643835616436
Exports,2007,-37.420513534246574
Total Consumption,2007,1057.4901433424657
Electricity,2007,-65.11455887671232
Industry,2008,658.6026688767123
Transport,2008,241.03323345205482
Residential,2008,165.38100632876714
Commercial,2008,3.1345690684931506
Other,2008,51.09672712328767
Electricity output in GWh,2008,19827.0
Production,2008,1620.172050657534
Imports,2008,0.01297309589041096
Exports,2008,-54.319738164383566
Total Consumption,2008,1119.248204849315
Electricity,2008,-73.48927465753425
Industry,2009,631.834814219178
Transport,2009,264.2059942191781
Residential,2009,162.8950920547945
Commercial,2009,3.181561397260274
Other,2009,48.54881912328767
Electricity output in GWh,2009,22512.0
Production,2009,1540.330879150685
Imports,2009,0.01297309589041096
Exports,2009,-34.43559695890411
Total Consumption,2009,1110.666260931507
Electricity,2009,-84.81390375342467
Industry,2010,687.5658284109589
Transport,2010,282.46861893150685
Residential,2010,156.31305328767124
Commercial,2010,3.5098851506849322
Other,2010,50.82244454794522
Electricity output in GWh,2010,31495.0
Production,2010,1668.3918632328769
Imports,2010,0.791057616438356
Exports,2010,-19.75133767123288
Total Consumption,2010,1180.6798303287671
Electricity,2010,-116.44885832876713
Industry,2011,691.1433503835617
Transport,2011,258.99777819178087
Residential,2011,140.3143141369863
Commercial,2011,3.764306438356164
Other,2011,49.24609290410959
Electricity output in GWh,2011,32235.0
Production,2011,1574.5348280273975
Imports,2011,12.068031671232879
Exports,2011,-20.425496849315067
Total Consumption,2011,1143.4658621369865
Electricity,2011,-117.77821909589042
Industry,2012,706.7044584109589
Transport,2012,239.92598172602737
Residential,2012,139.5554482739726
Commercial,2012,3.7441037534246577
Other,2012,48.75454109589042
Electricity output in GWh,2012,35237.0
Production,2012,1599.1210738630139
Imports,2012,5.849661315068493
Exports,2012,-32.16819701369863
Total Consumption,2012,1138.6845131780824
Electricity,2012,-128.53383936986302
Industry,2013,699.3411420547945
Transport,2013,277.9807310410959
Residential,2013,123.34759326027397
Commercial,2013,3.7441037534246577
Other,2013,53.14400616438356
Electricity output in GWh,2013,40444.0
Production,2013,1665.4862311506852
Imports,2013,1.3663923287671236
Exports,2013,-30.986159205479456
Total Consumption,2013,1157.5575762739725
Electricity,2013,-146.74668032876713
Industry,2014,678.992379260274
Transport,2014,305.3372349041096
Residential,2014,132.2502698630137
Commercial,2014,3.776737315068493
Other,2014,54.01107487671233
Electricity output in GWh,2014,45994.0
