flow,period,value
Production,1984-1987,566.7467286917808
Imports,1984-1987,623.1499139246577
Oil Products,1984-1987,-1190.3474275753424
Production,1971-1974,175.08709611643837
Imports,1971-1974,583.4762688424657
Exports,1971-1974,-16.800545760273977
Oil Products,1971-1974,-701.6960903150685
Production,1971,173.9571264109589
Imports,1971,410.375371780822
Exports,1971,-15.388561835616438
Oil Products,1971,-543.961227890411
Production,1972,170.04284616438355
Imports,1972,516.2331633150685
Exports,1972,-21.118352547945207
Oil Products,1972,-650.2831992054794
Production,1973,172.71498260273972
Imports,1973,702.8808894246575
Exports,1973,-17.148424547945208
Oil Products,1973,-779.0687286849316
Production,1974,183.63342928767125
Imports,1974,704.415650849315
Exports,1974,-13.546844109589042
Oil Products,1974,-833.471205479452
Production,1975,179.2607127671233
Imports,1975,733.5557144109589
Exports,1975,-22.121056383561644
Oil Products,1975,-906.378879780822
Production,1976,174.10145712328767
Imports,1976,838.7791095068493
Exports,1976,-58.505188246575344
Oil Products,1976,-960.739906931507
Production,1977,168.47069169863013
Imports,1977,832.9470201095892
Exports,1977,-27.68713706849315
Oil Products,1977,-986.4132620547946
Production,1978,168.04340290410957
Imports,1978,919.9783593150685
Exports,1978,-4.952168082191781
Oil Products,1978,-1100.3251170136987
Production,1979,173.2120971780822
Imports,1979,1024.1785868219179
Oil Products,1979,-1151.655239369863
Production,1980,190.16445928767124
Imports,1980,889.8560556712329
Exports,1980,-1.2278051232876714
Oil Products,1980,-1132.8164766575342
Production,1981,224.67646898630136
Imports,1981,868.8195581369863
Exports,1981,-15.163460547945208
Oil Products,1981,-1099.6269194520548
Production,1982,273.7028827945205
Imports,1982,822.2445975616437
Exports,1982,-22.755432739726025
Oil Products,1982,-1090.9833031232877
Production,1983,346.55410605479454
Imports,1983,750.8473852328766
Exports,1983,-1.0436313424657535
Oil Products,1983,-1069.6665786849317
Production,1984,485.53504298630133
Imports,1984,670.4871493150685
Oil Products,1984,-1140.9703485753425
Production,1985,574.7803434246575
Imports,1985,562.4602400821917
Oil Products,1985,-1149.9185314246574
Production,1986,604.8838501369863
Imports,1986,620.8426458082191
Oil Products,1986,-1222.1777517534247
Production,1987,601.7876782191781
Imports,1987,638.8096204931508
Oil Products,1987,-1248.3230785479452
Production,1988,588.175406328767
Imports,1988,658.6183129041096
Exports,1988,-3.826681726027397
Oil Products,1988,-1254.2300142739725
Production,1989,630.6938244109589
Imports,1989,611.2861934520548
Oil Products,1989,-1261.0835843561642
Production,1990,670.6048912054795
Imports,1990,591.7026023287671
Oil Products,1990,-1247.5350935068493
Production,1991,662.5151818904109
Imports,1991,544.4318741369864
Oil Products,1991,-1204.5751684383563
Production,1992,671.9632908219178
Imports,1992,548.6678309315068
Oil Products,1992,-1252.3313836164384
Production,1993,685.0637479726029
Imports,1993,526.1784269863014
Oil Products,1993,-1268.2278441643837
Production,1994,712.3094985479453
Imports,1994,572.0985474520548
Oil Products,1994,-1343.2523421369865
Production,1995,739.3830844931507
Imports,1995,521.7992239178083
Exports,1995,-13.935655424657536
Oil Products,1995,-1317.3672002191781
Production,1996,833.6406389315068
Imports,1996,590.5566522191781
Exports,1996,-2.14867402739726
Oil Products,1996,-1413.30519230137
Production,1997,896.4491597260275
Imports,1997,597.6779580821918
Exports,1997,-2.6602477808219174
Oil Products,1997,-1516.6974931506847
Production,1998,1036.2169370136985
Imports,1998,572.4259675068492
Oil Products,1998,-1631.032018
Production,1999-2002,1348.675929630137
Imports,1999-2002,432.2545783287671
Exports,1999-2002,-96.12699060958904
Oil Products,1999-2002,-1737.3022073835616
Production,1999,1162.1485058904111
Imports,1999,485.35747624657535
Exports,1999,-0.6133101369863013
Oil Products,1999,-1694.8149669041095
Production,2000,1312.1035171780823
Imports,2000,413.6200113424657
Exports,2000,-33.650584082191784
Oil Products,2000,-1724.7628567123288
Production,2001,1376.857399890411
Imports,2001,434.00253230136985
Exports,2001,-106.61468934246575
Oil Products,2001,-1768.0683963013698
Production,2002,1543.5942955616438
Imports,2002,396.0382934246575
Exports,2002,-243.6293788767123
Oil Products,2002,-1761.5626096164383
Production,2003,1598.6980224109589
Imports,2003,355.9855869315069
Exports,2003,-251.1706836986301
Oil Products,2003,-1776.612886931507
Production,2004,1582.467735589041
Imports,2004,466.2286463561644
Exports,2004,-238.71661205479452
Oil Products,2004,-1873.8673269315068
Production,2005-2008,1861.9695922465753
Imports,2005-2008,382.27464197260275
Exports,2005-2008,-388.12540780821917
Oil Products,2005-2008,-1901.3403978767126
Production,2005,1746.0068836164382
Imports,2005,354.92042747945203
Exports,2005,-283.88308802739726
Oil Products,2005,-1875.8362251780823
Production,2006,1855.686235917808
Imports,2006,346.71598860273974
Exports,2006,-381.29320517808225
Oil Products,2006,-1900.9158101369862
Production,2007,1891.4894903835618
Imports,2007,432.06476145205477
Exports,2007,-438.04262747945205
Oil Products,2007,-1905.9628866575342
Production,2008,1954.6957590684933
Imports,2008,395.39739035616435
Exports,2008,-449.2827105479452
Oil Products,2008,-1922.6466695342465
Production,2009,2089.6955420547947
Imports,2009,388.5227540547945
Exports,2009,-544.5855229863014
Oil Products,2009,-1939.7309314794522
Production,2010,2201.496899232877
Imports,2010,351.36515657534244
Exports,2010,-654.9600203561645
Oil Products,2010,-1938.7191705753423
Production,2011,2265.9271574246577
Imports,2011,344.1873394246576
Exports,2011,-626.9849649041096
Oil Products,2011,-2001.3505664383563
Production,2012,2262.4537415342465
Imports,2012,357.7658732328767
Exports,2012,-553.1823277260274
Oil Products,2012,-2103.686925561644
Production,2013,2211.9526120547944
Imports,2013,409.1148527671233
Exports,2013,-411.8959953424657
Oil Products,2013,-2250.84181660274
Production,2014,2465.297574575343
Imports,2014,363.12368150684927
Exports,2014,-538.1927588767123
Oil Products,2014,-2290.8425905479453
Production,2015,2666.923663671233
Imports,2015,308.78906243835615
Exports,2015,-764.1200270958905
Oil Products,2015,-2210.2681178082194
Production,2016,2698.563437972603
Imports,2016,160.91964701369864
Exports,2016,-880.3058890410958
Oil Products,2016,-1989.1620616986302
