flow,period,value
Industry,1984-1987,13.383841979452054
Residential,1984-1987,0.004207219178082191
Commercial,1984-1987,0.004207219178082191
Other,1984-1987,16.594914157534248
Production,1984-1987,46.95333417123288
Total Consumption,1984-1987,29.987170575342464
Industry,1971-1974,0.9198848767123287
Other,1971-1974,0.9616357534246576
Production,1971-1974,3.495902924657534
Total Consumption,1971-1974,1.8815206301369864
Industry,1971,0.20068134246575342
Other,1971,0.35129778082191776
Production,1971,2.1932163287671234
Total Consumption,1971,0.5519791232876713
Industry,1972,0.36812665753424656
Other,1972,0.8527701917808219
Production,1972,2.4081359452054794
Total Consumption,1972,1.2208968493150687
Industry,1973,0.3845338082191781
Other,1973,1.2877906301369864
Production,1973,3.3114128493150687
Total Consumption,1973,1.6723244383561644
Industry,1974,2.7261976986301373
Other,1974,1.354684410958904
Production,1974,6.070846575342466
Total Consumption,1974,4.080882109589041
Industry,1975,3.276891561643836
Residential,1975,2.3162197534246576
Commercial,1975,0.520891890410959
Other,1975,1.5385368767123289
Production,1975,6.873551863013699
Total Consumption,1975,7.652540082191781
Industry,1976,3.6717676986301364
Residential,1976,2.388716465753425
Commercial,1976,0.5606144657534247
Other,1976,2.4750297260273975
Production,1976,8.04440389041096
Total Consumption,1976,9.096128356164384
Industry,1977,6.037188821917809
Residential,1977,2.306720876712329
Commercial,1977,0.5860586027397261
Other,1977,2.05727997260274
Production,1977,9.951047342465754
Total Consumption,1977,10.987248273972602
Industry,1978,5.885267041095891
Residential,1978,2.3632522465753425
Commercial,1978,0.6197364383561644
Other,1978,5.56935408219178
Production,1978,13.01173402739726
Total Consumption,1978,14.43760980821918
Industry,1979,6.276267315068494
Residential,1979,2.4254066301369863
Commercial,1979,0.6650418630136987
Other,1979,6.45580210958904
Production,1979,14.299524657534247
Total Consumption,1979,15.822517917808218
Industry,1980,7.21880490410959
Residential,1980,2.3904435342465753
Commercial,1980,0.6948237534246574
Other,1980,7.559318547945205
Production,1980,16.5238081369863
Total Consumption,1980,17.86339073972603
