flow,period,value
Electricity output in GWh,1996,2.0
Production,1996,0.0034541369863013696
Electricity,1996,-0.0034541369863013696
Electricity output in GWh,1997,4.0
Production,1997,0.006908273972602739
Electricity,1997,-0.006908273972602739
Electricity output in GWh,1998,5.0
Production,1998,0.008635342465753424
Electricity,1998,-0.008635342465753424
Other,1999-2002,0.8005163287671233
Electricity output in GWh,1999-2002,24.75
Production,1999-2002,0.8432612739726028
Total Consumption,1999-2002,0.8005163287671233
Electricity,1999-2002,-0.042744945205479445
Other,1999,0.41194600000000003
Electricity output in GWh,1999,2.0
Production,1999,0.41540013698630135
Total Consumption,1999,0.41194600000000003
Electricity,1999,-0.0034541369863013696
Other,2000,0.6090527123287671
Electricity output in GWh,2000,1.0
Production,2000,0.6107797808219179
Total Consumption,2000,0.6090527123287671
Electricity,2000,-0.0017270684931506848
Other,2001,0.9730424383561644
Electricity output in GWh,2001,35.0
Production,2001,1.0334898356164384
Total Consumption,2001,0.9730424383561644
Electricity,2001,-0.06044739726027397
Other,2002,1.2080241643835616
Electricity output in GWh,2002,61.0
Production,2002,1.3133753424657535
Total Consumption,2002,1.2080241643835616
Electricity,2002,-0.10535117808219178
Other,2003,1.45403101369863
Electricity output in GWh,2003,61.0
Production,2003,1.5593821917808222
Total Consumption,2003,1.45403101369863
Electricity,2003,-0.10535117808219178
Other,2004,1.7484761095890413
Electricity output in GWh,2004,61.0
Production,2004,1.853827287671233
Total Consumption,2004,1.7484761095890413
Electricity,2004,-0.10535117808219178
Other,2005-2008,2.946916047945206
Electricity output in GWh,2005-2008,369.5
Production,2005-2008,3.5850678561643834
Total Consumption,2005-2008,2.946916047945206
Electricity,2005-2008,-0.638151808219178
Other,2005,2.047740931506849
Electricity output in GWh,2005,93.0
Production,2005,2.208358301369863
Total Consumption,2005,2.047740931506849
Electricity,2005,-0.1606173698630137
Other,2006,2.359918602739726
Electricity output in GWh,2006,237.0
Production,2006,2.7692338356164385
Total Consumption,2006,2.359918602739726
Electricity,2006,-0.4093152328767124
Other,2007,2.710975397260274
Electricity output in GWh,2007,511.0
Production,2007,3.5935073972602742
Total Consumption,2007,2.710975397260274
Electricity,2007,-0.8825319999999999
Other,2008,4.669029260273973
Electricity output in GWh,2008,637.0
Production,2008,5.769171890410959
Total Consumption,2008,4.669029260273973
Electricity,2008,-1.1001426301369863
Other,2009,6.226162246575342
Electricity output in GWh,2009,1238.0
Production,2009,8.36427304109589
Total Consumption,2009,6.226162246575342
Electricity,2009,-2.1381107945205478
Other,2010,7.398219205479452
Electricity output in GWh,2010,2177.0
Production,2010,11.158047315068494
Total Consumption,2010,7.398219205479452
Electricity,2010,-3.759828109589041
Other,2011,8.433114794520549
Electricity output in GWh,2011,2705.0
Production,2011,13.10483506849315
Total Consumption,2011,8.433114794520549
Electricity,2011,-4.6717202739726025
Other,2012,9.987858
Electricity output in GWh,2012,5050.0
Production,2012,18.70955389041096
Total Consumption,2012,9.987858
Electricity,2012,-8.72169589041096
Other,2013,11.060628602739726
Electricity output in GWh,2013,6576.0
Production,2013,22.41783101369863
Total Consumption,2013,11.060628602739726
Electricity,2013,-11.357202410958902
Other,2014,12.248510328767122
Electricity output in GWh,2014,12208.0
Production,2014,33.33256249315068
Total Consumption,2014,12.248510328767122
Electricity,2014,-21.08405216438356
Other,2015,13.950476082191782
Electricity output in GWh,2015,21685.0
Production,2015,51.40195635616439
Total Consumption,2015,13.950476082191782
Electricity,2015,-37.45148027397261
Other,2016,15.379645342465754
Electricity output in GWh,2016,33573.0
Production,2016,73.35209320547946
Total Consumption,2016,15.379645342465754
Electricity,2016,-57.9724478630137
