product,flow,value
Coal and coal products,Industry,5.753623253424657
"Crude, NGL and feedstocks",Industry,0.3359951506849315
Coal and coal products,Other,0.006185315068493151
Combustible renewables and waste,Industry,24.66113734931507
Combustible renewables and waste,Residential,157.4929824657534
Combustible renewables and waste,Commercial,3.9446846849315063
Combustible renewables and waste,Other,0.4144863972602739
Oil Products,Industry,37.58364117808219
Oil Products,Transport,128.87419737671232
Oil Products,Residential,13.48776230136986
Oil Products,Commercial,5.808116280821919
Oil Products,Other,10.90721069863014
Electricity,Industry,15.66105709589041
Electricity,Residential,19.583229643835615
Electricity,Commercial,18.743010821917807
Electricity,Other,0.7586148356164386
Coal and coal products,Electricity output in GWh,4904.5
Gas,Electricity output in GWh,20516.25
Nuclear,Electricity output in GWh,259.0
Hydro,Electricity output in GWh,103854.70723972602
Geothermal,Electricity output in GWh,156.0
Combustible renewables and waste,Electricity output in GWh,1661.424808219178
Oil Products,Electricity output in GWh,50948.60514383562
"Crude, NGL and feedstocks",Production,17.751678527397264
Hydro,Production,31.942131780821917
Geothermal,Production,51.27688446575343
Solar/Wind/Other,Production,0.3959304520547945
Combustible renewables and waste,Production,209.4218101849315
Coal and coal products,Imports,11.493450041095892
"Crude, NGL and feedstocks",Imports,47.69402063013698
Combustible renewables and waste,Imports,0.07386230136986302
"Crude, NGL and feedstocks",Exports,-16.275341219178085
Coal and coal products,Total Consumption,5.759808568493151
"Crude, NGL and feedstocks",Total Consumption,0.3359951506849315
Combustible renewables and waste,Total Consumption,186.51330093835614
Oil Products,Imports,233.27251562328766
Electricity,Imports,0.6040422054794521
Oil Products,Exports,-10.749670924657533
Electricity,Exports,-0.6070645753424658
Oil Products,Total Consumption,196.6609228150685
Electricity,Total Consumption,54.74591239726027
Electricity,Production,161.93913956164383
Coal and coal products,Electricity,-5.367698753424658
Hydro,Electricity,-31.942131780821917
Geothermal,Electricity,-44.038248397260276
Solar/Wind/Other,Electricity,-0.3959304520547945
Combustible renewables and waste,Electricity,-20.378534643835614
Oil Products,Electricity,-59.81659553424658
"Crude, NGL and feedstocks",Oil Products,-48.9415665479452
All products,Heat and Waste,106.17595871917806
All products,Industry,83.99547410958905
All products,Transport,128.87419737671232
All products,Residential,190.56395934931507
All products,Commercial,28.49581680821918
All products,Other,12.086472143835616
All products,Total Consumption,444.015939869863
All primary,Production,310.7884354109589
All primary,Imports,59.26133297260274
All primary,Exports,-16.275341219178085
All primary,Total Consumption,192.60910465753423
All primary,Electricity,-161.93913956164383
Oil Products,Production,48.39842860958904
All products,Hydrocarbon Heat and Waste,0.5431379383561605
All products,Electricity Heat and Waste,105.6328207808219
