flow,period,value
Imports,1971-1974,141.5301352123288
Oil Products,1971-1974,-141.31726397945204
Imports,1971,140.16002265753426
Oil Products,1971,-139.8934717260274
Imports,1972,143.05975057534246
Oil Products,1972,-143.12013772602742
Imports,1973,143.633458630137
Oil Products,1973,-142.60531065753426
Imports,1974,131.23889052054795
Oil Products,1974,-131.60149457534246
Imports,1975,143.9509580821918
Oil Products,1975,-142.45433273972606
Production,1976,0.26472345205479453
Imports,1976,119.07026715068494
Oil Products,1976,-120.73062260273974
Production,1977,0.14254339726027399
Imports,1977,122.67214882191782
Oil Products,1977,-122.85232624657536
Industry,1978,0.5498102465753425
Production,1978,0.06109002739726027
Imports,1978,112.65109495890411
Total Consumption,1978,0.5498102465753425
Electricity,1978,-0.06109002739726027
Oil Products,1978,-112.20856378082192
Industry,1979,0.5701735890410959
Production,1979,1.5883407123287672
Imports,1979,104.54035958904109
Total Consumption,1979,0.5701735890410959
Electricity,1979,-1.0181671232876712
Oil Products,1979,-105.71412353424658
Industry,1980,0.6109002739726028
Production,1980,4.235555150684932
Imports,1980,101.98694906849316
Exports,1980,-2.1788776438356163
Total Consumption,1980,0.6109002739726028
Electricity,1980,-1.0385304657534247
Oil Products,1980,-101.11610490410959
Industry,1981,0.814533698630137
Production,1981,4.174465123287671
Imports,1981,87.01975178082192
Exports,1981,-1.8530641643835617
Total Consumption,1981,0.814533698630137
Electricity,1981,-1.1607105205479453
Oil Products,1981,-87.6673020547945
Industry,1982,0.5498102465753425
Production,1982,6.3940694520547945
Imports,1982,84.00712178082192
Exports,1982,-4.317008520547946
Total Consumption,1982,0.5498102465753425
Electricity,1982,-1.5068873424657534
Oil Products,1982,-85.16389619178082
Industry,1983,0.14254339726027399
Production,1983,7.106786438356164
Imports,1983,84.47363109589041
Exports,1983,-6.149709342465753
Total Consumption,1983,0.14254339726027399
Electricity,1983,-0.814533698630137
Oil Products,1983,-83.58256416438357
Industry,1984-1987,0.005090835616438356
Production,1984-1987,4.128647602739726
Imports,1984-1987,78.75523702739726
Exports,1984-1987,-3.3497547739726024
Total Consumption,1984-1987,0.005090835616438356
Electricity,1984-1987,-0.7839886849315069
Oil Products,1984-1987,-78.57766024657535
Production,1984,4.785365397260273
Imports,1984,84.95715002739726
Exports,1984,-3.5228381643835616
Electricity,1984,-1.3643439452054795
Oil Products,1984,-84.06118304109589
Industry,1985,0.020363342465753425
Production,1985,2.973027917808219
Imports,1985,78.80131561643834
Exports,1985,-1.2828905753424658
Total Consumption,1985,0.020363342465753425
Electricity,1985,-1.384707287671233
Oil Products,1985,-80.11790410958903
Production,1986,5.0297255068493145
Imports,1986,73.86485180821917
Exports,1986,-4.968635479452055
Electricity,1986,-0.020363342465753425
Oil Products,1986,-72.1270995890411
Production,1987,3.7264715890410964
Imports,1987,86.05297498630136
Exports,1987,-3.6246548767123294
Electricity,1987,-0.36654016438356163
Oil Products,1987,-86.98336284931507
Industry,1988,0.18327008219178081
Production,1988,3.746834931506849
Imports,1988,79.03696005479452
Exports,1988,-3.03411794520548
Total Consumption,1988,0.18327008219178081
Electricity,1988,-0.44799353424657534
Oil Products,1988,-79.82606969863015
Industry,1989,0.28508679452054797
Production,1989,3.7061082465753423
Imports,1989,80.10665808219179
Exports,1989,-2.9526645753424656
Total Consumption,1989,0.28508679452054797
Electricity,1989,-0.26472345205479453
Oil Products,1989,-80.04739553424658
Industry,1990,0.3054501369863014
Production,1990,4.011558383561644
Imports,1990,78.51930139726026
Exports,1990,-3.0748446301369863
Total Consumption,1990,0.3054501369863014
Electricity,1990,-0.3054501369863014
Oil Products,1990,-81.11203284931506
Industry,1991,0.36654016438356163
Production,1991,3.767198273972603
Imports,1991,81.32761517808218
Exports,1991,-2.973027917808219
Total Consumption,1991,0.36654016438356163
Electricity,1991,-0.36654016438356163
Oil Products,1991,-81.5708506849315
Industry,1992,0.34617682191780824
Production,1992,5.722079150684931
Imports,1992,101.74907550684931
Exports,1992,-4.8260920821917805
Total Consumption,1992,0.34617682191780824
Electricity,1992,-0.4072668493150685
Oil Products,1992,-98.00882753424659
Industry,1993,0.34617682191780824
Production,1993,6.862426328767123
Imports,1993,94.4156414520548
Exports,1993,-5.905349232876713
Total Consumption,1993,0.34617682191780824
Electricity,1993,-0.7330803287671233
Oil Products,1993,-94.61296906849316
Industry,1994,0.386903506849315
Production,1994,7.452963260273972
Imports,1994,82.14062263013699
Exports,1994,-4.744638712328767
Total Consumption,1994,0.386903506849315
Electricity,1994,-0.957077095890411
Oil Products,1994,-84.24644126027398
Industry,1995,0.42763019178082196
Production,1995,9.530004109589042
Imports,1995,84.63896778082191
Exports,1995,-8.308223643835618
Total Consumption,1995,0.42763019178082196
Electricity,1995,-0.814533698630137
Oil Products,1995,-87.28212561643835
Production,1996,16.18879701369863
Imports,1996,99.48609364383562
Exports,1996,-14.620819643835615
Oil Products,1996,-99.28344424657533
Production,1997,21.686879397260274
Imports,1997,104.3763884931507
Exports,1997,-19.833815232876713
Oil Products,1997,-104.68117591780822
Production,1998,28.284582273972603
Imports,1998,102.67223378082194
Exports,1998,-24.537747342465753
Oil Products,1998,-104.48065523287671
Production,1999-2002,24.909368301369863
Imports,1999-2002,99.0237915479452
Exports,1999-2002,-22.389409691780823
Oil Products,1999-2002,-101.85237328082191
Production,1999,25.861344520547945
Imports,1999,107.03924695890412
Exports,1999,-21.320339232876712
Oil Products,1999,-112.1881803561644
Production,2000,23.010496657534247
Imports,2000,103.2953841917808
Exports,2000,-20.994525753424657
Oil Products,2000,-104.7799401369863
Production,2001,23.397400164383566
Imports,2001,108.59724347945205
Exports,2001,-21.60542602739726
Oil Products,2001,-110.05041095890411
Production,2002,27.368231863013698
Imports,2002,77.16329156164383
Exports,2002,-25.63734775342466
Oil Products,2002,-80.39096167123287
Production,2003,27.429321890410957
Imports,2003,48.44182120547945
Exports,2003,-25.067194246575344
Oil Products,2003,-49.33114098630137
Industry,2004,4.856295698630137
Production,2004,22.44032306849315
Imports,2004,52.774895479452056
Exports,2004,-21.2388858630137
Total Consumption,2004,4.856295698630137
Oil Products,2004,-50.42680528767123
Industry,2005-2008,0.3359951506849315
Production,2005-2008,17.751678527397264
Imports,2005-2008,47.69402063013698
Exports,2005-2008,-16.275341219178085
Total Consumption,2005-2008,0.3359951506849315
Oil Products,2005-2008,-48.9415665479452
Production,2005,20.444715506849317
Imports,2005,47.93225567123288
Exports,2005,-18.97857493150685
Oil Products,2005,-48.369224082191785
Industry,2006,1.343980602739726
Production,2006,17.91968112328767
Imports,2006,47.95340221917808
Exports,2006,-17.08478408219178
Total Consumption,2006,1.343980602739726
Oil Products,2006,-49.547265534246584
Production,2007,16.962604027397262
Imports,2007,51.29887446575342
Exports,2007,-14.539366273972604
Oil Products,2007,-53.15372594520547
Production,2008,15.679713452054797
Imports,2008,43.59155016438356
Exports,2008,-14.498639589041096
Oil Products,2008,-44.69605063013699
Production,2009,14.987359808219178
Imports,2009,41.56425290410959
Exports,2009,-12.84922893150685
Oil Products,2009,-42.636099726027396
Production,2010,13.256495780821918
Imports,2010,41.81909591780822
Exports,2010,-11.301614904109591
Oil Products,2010,-44.07420556164383
Production,2011,12.13651194520548
Imports,2011,34.80739865753425
Exports,2011,-10.731441315068492
Oil Products,2011,-36.13525326027397
Production,2012,11.790335123287674
Imports,2012,20.67397380821918
Exports,2012,-11.251750821917808
Oil Products,2012,-23.780668794520547
Production,2013,11.077618136986302
Imports,2013,13.17128704109589
Exports,2013,-10.017178000000001
Oil Products,2013,-15.234370767123288
Production,2014,11.159071506849315
Imports,2014,13.896495150684931
Exports,2014,-9.143100602739725
Oil Products,2014,-15.441056684931509
