flow,period,value
Industry,1971-1974,15.237960458904109
Transport,1971-1974,30.08546788356164
Residential,1971-1974,4.787800363013698
Commercial,1971-1974,0.738743506849315
Other,1971-1974,2.464235547945205
Electricity output in GWh,1971-1974,2510.5
Imports,1971-1974,10.184934589041095
Exports,1971-1974,-56.03439084246576
Total Consumption,1971-1974,53.31420273972603
Electricity,1971-1974,-15.511329294520547
Production,1971-1974,129.96318434931507
Industry,1971,14.357080219178082
Transport,1971,26.0473658630137
Residential,1971,4.620992657534247
Commercial,1971,0.6712472602739725
Other,1971,1.9985395616438355
Electricity output in GWh,1971,2074.0
Imports,1971,7.1236956438356165
Exports,1971,-61.306453178082194
Total Consumption,1971,47.69518539726028
Electricity,1971,-13.269790191780821
Production,1971,128.84294446575342
Industry,1972,13.949331397260273
Transport,1972,28.731029479452047
Residential,1972,4.985745506849314
Commercial,1972,0.6920122465753425
Other,1972,2.133692712328767
Electricity output in GWh,1972,2410.0
Imports,1972,8.831947123287673
Exports,1972,-59.662063068493154
Total Consumption,1972,50.49183142465753
Electricity,1972,-15.496061808219181
Production,1972,132.0732051780822
Industry,1973,15.819465424657533
Transport,1973,31.699860219178085
Residential,1973,4.977290904109588
Commercial,1973,0.7731643835616437
Other,1973,2.836248109589041
Electricity output in GWh,1973,2706.0
Imports,1973,24.715555068493153
Exports,1973,-52.41664926027398
Total Consumption,1973,56.106008958904106
Electricity,1973,-16.85781515068493
Production,1973,129.21884293150686
Industry,1974,14.876024136986304
Transport,1974,27.670468849315068
Residential,1974,4.007501780821918
Commercial,1974,0.8185501369863014
Other,1974,2.869283315068493
Electricity output in GWh,1974,2639.0
Imports,1974,17.90570391780822
Exports,1974,-50.75239786301369
Total Consumption,1974,50.241848301369856
Electricity,1974,-15.199307260273972
Production,1974,113.89729536986302
Industry,1975,13.860889424657532
Transport,1975,28.85955550684932
Residential,1975,4.321808164383561
Commercial,1975,0.9247447671232877
Other,1975,3.0857090958904108
Electricity output in GWh,1975,3011.0
Imports,1975,35.34252882191781
Exports,1975,-58.91462397260273
Total Consumption,1975,51.05268687671233
Electricity,1975,-18.43004994520548
Production,1975,133.1511168219178
Industry,1976,16.066576794520547
Transport,1976,36.80097791780822
Residential,1976,5.2100234246575345
Commercial,1976,1.1139993424657535
Other,1976,3.490566082191781
Electricity output in GWh,1976,3445.0
Imports,1976,46.93153997260274
Exports,1976,-40.269554
Total Consumption,1976,62.68212347945206
Electricity,1976,-21.166851041095892
Production,1976,115.43067112328767
Industry,1977,17.848288931506847
Transport,1977,40.441417397260274
Residential,1977,5.538608246575343
Commercial,1977,1.406677205479452
Other,1977,3.9362702465753427
Electricity output in GWh,1977,4105.0
Imports,1977,45.66879183561644
Exports,1977,-33.50304021917808
Total Consumption,1977,69.17128210958904
Electricity,1977,-25.473075424657537
Production,1977,117.64559630136986
Industry,1978,19.41791304109589
Transport,1978,42.74853991780822
Residential,1978,5.954530520547945
Commercial,1978,1.491685123287671
Other,1978,4.056984301369863
Electricity output in GWh,1978,3524.0
Imports,1978,50.14418860273972
Exports,1978,-27.90747887671233
Total Consumption,1978,73.66965290410957
Electricity,1978,-21.52451487671233
Production,1978,107.66767898630135
Industry,1979,21.44541112328767
Transport,1979,41.62964052054794
Residential,1979,6.092334520547945
Commercial,1979,1.5162657260273973
Other,1979,3.920043835616438
Electricity output in GWh,1979,3250.0
Imports,1979,51.25417150684932
Exports,1979,-18.578899150684933
Total Consumption,1979,74.6036957260274
Electricity,1979,-18.310159260273977
Production,1979,101.47911060273972
Industry,1980,19.378049890410956
Transport,1980,40.692725945205474
Residential,1980,6.006603643835618
Commercial,1980,1.7881986849315068
Other,1980,3.562078767123287
Electricity output in GWh,1980,3073.0
Imports,1980,44.763767780821915
Exports,1980,-22.199557671232874
Total Consumption,1980,71.42765693150686
Electricity,1980,-18.197136684931507
Production,1980,97.69994334246577
Industry,1981,17.180254821917806
Transport,1981,38.660649123287676
Residential,1981,5.880567808219179
Commercial,1981,1.8736283287671236
Other,1981,3.410217232876712
Electricity output in GWh,1981,2477.0
Imports,1981,47.873836575342466
Exports,1981,-18.091926082191783
Total Consumption,1981,67.00529723287671
Electricity,1981,-15.157857616438354
Production,1981,84.25814917808219
Industry,1982,14.90411912328767
Transport,1982,37.33062564383561
Residential,1982,5.639400767123287
Commercial,1982,1.7939823561643835
Other,1982,3.2704853424657534
Electricity output in GWh,1982,2879.0
Imports,1982,49.88637342465753
Exports,1982,-15.725721753424656
Total Consumption,1982,62.93859315068492
Electricity,1982,-16.519450301369865
Production,1982,79.32321161643836
Industry,1983,16.306177424657534
Transport,1983,38.1929549589041
Residential,1983,5.741920356164384
Commercial,1983,1.7331533972602744
Other,1983,3.6432509863013696
Electricity output in GWh,1983,2980.0
Imports,1983,50.338624383561644
Exports,1983,-13.076298273972602
Total Consumption,1983,65.61739687671233
Electricity,1983,-17.233291890410957
Production,1983,80.2563708219178
Industry,1984-1987,16.901604369863016
Transport,1984-1987,39.1345135410959
Residential,1984-1987,6.033649335616438
Commercial,1984-1987,2.186830191780822
Other,1984-1987,2.9452592671232876
Electricity output in GWh,1984-1987,50948.60514383562
