flow,period,value
Electricity output in GWh,1996,23.0
Production,1996,0.03972257534246575
Electricity,1996,-0.03972257534246575
Electricity output in GWh,1997,76.0
Production,1997,0.13125720547945205
Electricity,1997,-0.13125720547945205
Electricity output in GWh,1998,89.0
Production,1998,0.15370909589041096
Electricity,1998,-0.15370909589041096
Production,1999-2002,0.31432646575342466
Electricity,1999-2002,-0.31432646575342466
Electricity output in GWh,1999,101.0
Production,1999,0.17443391780821918
Electricity,1999,-0.17443391780821918
Electricity output in GWh,2000,183.0
Production,2000,0.31605353424657534
Electricity,2000,-0.31605353424657534
Electricity output in GWh,2001,185.0
Production,2001,0.3195076712328767
Electricity,2001,-0.3195076712328767
Electricity output in GWh,2002,259.0
Production,2002,0.4473107397260275
Electricity,2002,-0.4473107397260275
Electricity output in GWh,2003,306.0
Production,2003,0.5284829589041096
Electricity,2003,-0.5284829589041096
Electricity output in GWh,2004,258.0
Production,2004,0.4455836712328767
Electricity,2004,-0.4455836712328767
Production,2005-2008,0.3959304520547945
Electricity,2005-2008,-0.3959304520547945
Electricity output in GWh,2005,204.0
Production,2005,0.35232197260273973
Electricity,2005,-0.35232197260273973
Electricity output in GWh,2006,274.0
Production,2006,0.4732167671232877
Electricity,2006,-0.4732167671232877
Electricity output in GWh,2007,241.0
Production,2007,0.4162235068493151
Electricity,2007,-0.4162235068493151
Electricity output in GWh,2008,198.0
Production,2008,0.34195956164383556
Electricity,2008,-0.34195956164383556
Electricity output in GWh,2009,436.0
Production,2009,0.7530018630136986
Electricity,2009,-0.7530018630136986
Electricity output in GWh,2010,522.0
Production,2010,0.9015297534246575
Electricity,2010,-0.9015297534246575
Electricity output in GWh,2011,627.0
Production,2011,1.0828719452054796
Electricity,2011,-1.0828719452054796
Electricity output in GWh,2012,1198.0
Production,2012,2.0690280547945203
Electricity,2012,-2.0690280547945203
Electricity output in GWh,2013,1360.0
Production,2013,2.3488131506849315
Electricity,2013,-2.3488131506849315
Electricity output in GWh,2014,2106.0
Production,2014,3.6372062465753427
Electricity,2014,-3.6372062465753427
