product,flow,value
Coal and coal products,Industry,79.01002983561644
Coal and coal products,Residential,4.001035315068493
Gas,Industry,320.3020424109589
Combustible renewables and waste,Industry,87.04447295890411
Gas,Residential,142.9856874520548
Combustible renewables and waste,Residential,38.36501917808219
Gas,Commercial,152.33081490410962
Gas,Other,35.221413123287675
Oil Products,Industry,231.14038430136983
Oil Products,Transport,754.8623776712329
Oil Products,Residential,236.89820975342468
Oil Products,Commercial,116.25855947945206
Oil Products,Other,215.6326949041096
Electricity,Industry,196.45749523287674
Electricity,Transport,4.552552547945205
Electricity,Residential,132.30380898630136
Electricity,Commercial,121.44054816438356
Electricity,Other,12.089479452054794
Heat,Industry,2.399259616438356
Coal and coal products,Electricity output in GWh,48312.0
Gas,Electricity output in GWh,12380.0
Nuclear,Electricity output in GWh,26342.0
Hydro,Electricity output in GWh,220147.0
Combustible renewables and waste,Electricity output in GWh,1069.0
Oil Products,Electricity output in GWh,13776.0
Coal and coal products,Production,317.0481449589041
"Crude, NGL and feedstocks",Production,1567.4212939726026
Gas,Production,1280.452034958904
Nuclear,Production,140.26117665753424
Hydro,Production,380.20894756164387
Combustible renewables and waste,Production,128.44320843835615
Coal and coal products,Imports,215.49932906849315
"Crude, NGL and feedstocks",Imports,693.1511679178083
Gas,Imports,0.009057068493150685
Coal and coal products,Exports,-169.70136857534246
"Crude, NGL and feedstocks",Exports,-411.7130666575343
Gas,Exports,-457.36878498630136
Coal and coal products,Total Consumption,83.01106515068493
Gas,Total Consumption,650.839957890411
Combustible renewables and waste,Total Consumption,125.40949213698629
Oil Products,Imports,59.50329326027397
Electricity,Imports,4.6406330410958905
Oil Products,Exports,-73.80536835616438
Electricity,Exports,-34.46710591780822
Oil Products,Total Consumption,1554.7922261095894
Electricity,Total Consumption,466.84388438356166
Electricity,Production,882.9936293424657
Coal and coal products,Electricity,-238.65710852054792
Gas,Electricity,-53.2798822739726
Nuclear,Electricity,-140.26119673972602
Hydro,Electricity,-380.2089475616438
Combustible renewables and waste,Electricity,-3.033716301369863
Oil Products,Electricity,-67.55277794520549
"Crude, NGL and feedstocks",Oil Products,-1839.9337245205477
All products,Heat and Waste,387.0978422191779
All products,Industry,916.3536642739725
All products,Transport,759.4149101369862
All products,Residential,554.5537606849315
All products,Commercial,390.0299225479452
All products,Other,262.94360756164383
All products,Total Consumption,2880.8966256712333
All primary,Production,3813.8348065479454
All primary,Imports,908.6595540547945
All primary,Exports,-1038.783220219178
All primary,Total Consumption,859.2605151780822
All primary,Oil Products,-1839.9337245205477
All primary,Electricity,-882.9936293424657
Oil Products,Production,1822.8055428219177
All products,Hydrocarbon Heat and Waste,17.128181698629987
All products,Electricity Heat and Waste,369.9696605205479
