flow,period,value
Industry,1971-1974,180.6086194383562
Transport,1971-1974,4.646246013698629
Residential,1971-1974,89.95652130136985
Commercial,1971-1974,90.9849905890411
Other,1971-1974,5.341391082191781
Imports,1971-1974,4.5115346712328765
Exports,1971-1974,-21.456235424657535
Total Consumption,1971-1974,371.5377684246575
Production,1971-1974,670.7397933287672
Industry,1971,166.68628854794522
Transport,1971,3.340150465753425
Residential,1971,84.8733269589041
Commercial,1971,74.87014624657535
Other,1971,3.1501729315068494
Imports,1971,5.8340373698630135
Exports,1971,-12.035940328767122
Total Consumption,1971,332.92008515068494
Production,1971,580.0043641369864
Industry,1972,180.56328389041096
Transport,1972,3.8997206575342465
Residential,1972,82.82675079452055
Commercial,1972,89.58649687671233
Other,1972,3.4282309589041096
Imports,1972,4.112150082191781
Exports,1972,-19.06165495890411
Total Consumption,1972,360.30448317808214
Production,1972,640.5418902739726
Industry,1973,182.82747068493148
Transport,1973,5.588793643835617
Residential,1973,89.71948115068491
Commercial,1973,98.36691309589042
Other,1973,3.57848591780822
Imports,1973,3.8841770410958905
Exports,1973,-28.127037479452053
Total Consumption,1973,380.08114449315065
Production,1973,725.0552037808218
Industry,1974,192.357434630137
Transport,1974,5.756319287671233
Residential,1974,102.40652630136987
Commercial,1974,101.1164061369863
Other,1974,11.208674520547946
Imports,1974,4.215774191780822
Exports,1974,-26.60030893150685
Total Consumption,1974,412.84536087671233
Production,1974,737.3577151232877
Industry,1975,176.1074471780822
Transport,1975,4.965321917808219
Residential,1975,110.75344832876712
Commercial,1975,101.99030279452055
Other,1975,11.485005479452054
Imports,1975,6.859916054794519
Exports,1975,-19.704124438356164
Total Consumption,1975,405.3015256986301
Production,1975,732.3013204657534
Industry,1976,184.30929545205478
Transport,1976,4.492105150684932
Residential,1976,122.2971741369863
Commercial,1976,111.59107654794519
Other,1976,11.77860712328767
Imports,1976,6.194994684931507
Exports,1976,-22.11165791780822
Total Consumption,1976,434.4682584109589
Production,1976,793.2790281643837
Industry,1977,196.45749523287674
Transport,1977,4.552552547945205
Residential,1977,132.30380898630136
Commercial,1977,121.44054816438356
Other,1977,12.089479452054794
Imports,1977,4.6406330410958905
Exports,1977,-34.46710591780822
