flow,period,value
Industry,1971-1974,234.5177671506849
Residential,1971-1974,124.1661584589041
Commercial,1971-1974,116.1946930890411
Electricity output in GWh,1971-1974,11361.25
Production,1971-1974,1151.8678294520548
Imports,1971-1974,6.593254671232877
Exports,1971-1974,-442.07796317808226
Total Consumption,1971-1974,474.87861869863013
Electricity,1971-1974,-64.34081210958904
Industry,1971,204.49553306849313
Residential,1971,113.42512287671232
Commercial,1971,99.57529873972604
Electricity output in GWh,1971,6976.0
Production,1971,1029.5216949315068
Imports,1971,6.481266328767124
Exports,1971,-411.41775802739727
Total Consumption,1971,417.4959546849315
Electricity,1971,-42.89509975342466
Industry,1972,220.89290372602738
Residential,1972,127.00564482191781
Commercial,1972,120.23350802739726
Electricity output in GWh,1972,9195.0
Production,1972,1156.1061358630138
Imports,1972,7.088471479452054
Exports,1972,-455.9683533424658
Total Consumption,1972,468.1320565753425
Electricity,1972,-63.25380323287672
Industry,1973,238.3367975616438
Residential,1973,122.77760041095891
Commercial,1973,115.29897210958906
Electricity output in GWh,1973,16199.0
Production,1973,1232.3026104657533
Imports,1973,6.69618594520548
Exports,1973,-464.05764093150685
Total Consumption,1973,476.41337008219176
Electricity,1973,-85.7548146849315
Industry,1974,274.34583424657535
Residential,1974,133.4562657260274
Commercial,1974,129.67099347945205
Electricity output in GWh,1974,13075.0
Production,1974,1189.5408765479451
Imports,1974,6.10709493150685
Exports,1974,-436.8681004109589
Total Consumption,1974,537.4730934520547
Electricity,1974,-65.45953076712328
Industry,1975,260.2612292054795
Residential,1975,136.3076357260274
Commercial,1975,132.92155728767125
Electricity output in GWh,1975,15507.0
Production,1975,1218.5265883835616
Imports,1975,4.656176657534247
Exports,1975,-431.404037260274
Total Consumption,1975,529.4904222191781
Electricity,1975,-76.66041339726027
Industry,1976,287.5310583287671
Residential,1976,142.51614572602742
Commercial,1976,142.935180739726
Other,1976,28.90285271232877
Electricity output in GWh,1976,13308.0
Production,1976,1216.8266509315067
Imports,1976,1.8466780273972605
Exports,1976,-434.4103212876712
Total Consumption,1976,601.8852375068494
Electricity,1976,-60.133151123287675
Industry,1977,320.3020424109589
Residential,1977,142.9856874520548
Commercial,1977,152.33081490410962
Other,1977,35.221413123287675
Electricity output in GWh,1977,12380.0
Production,1977,1280.452034958904
Imports,1977,0.009057068493150685
Exports,1977,-457.36878498630136
Total Consumption,1977,650.839957890411
Electricity,1977,-53.2798822739726
Industry,1978,270.7461415342466
Transport,1978,2.0956771232876714
Residential,1978,169.02122490410957
Commercial,1978,146.55431301369865
