flow,period,value
Electricity output in GWh,1971-1974,187355.25
Production,1971-1974,323.57534930136984
Electricity,1971-1974,-323.5753493013699
Electricity output in GWh,1971,162461.0
Production,1971,280.58127446575344
Electricity,1971,-280.58127446575344
Electricity output in GWh,1972,181639.0
Production,1972,313.70299402739727
Electricity,1972,-313.70299402739727
Electricity output in GWh,1973,194654.0
Production,1973,336.18079046575343
Electricity,1973,-336.18079046575343
Electricity output in GWh,1974,210667.0
Production,1974,363.8363382465754
Electricity,1974,-363.83633824657534
Electricity output in GWh,1975,202470.0
Production,1975,349.67955780821916
Electricity,1975,-349.6795578082192
Electricity output in GWh,1976,212689.0
Production,1976,367.3284707397261
Electricity,1976,-367.3284707397261
Electricity output in GWh,1977,220147.0
Production,1977,380.20894756164387
Electricity,1977,-380.2089475616438
Electricity output in GWh,1978,235254.0
Production,1978,406.2997712876712
Electricity,1978,-406.2997712876712
Electricity output in GWh,1979,244121.0
Production,1979,421.61368761643837
Electricity,1979,-421.6136876164383
Electricity output in GWh,1980,251148.0
Production,1980,433.7497979178082
Electricity,1980,-433.7497979178082
Electricity output in GWh,1981,266015.0
Production,1981,459.4261252054795
Electricity,1981,-459.42612520547954
Electricity output in GWh,1982,257795.0
Production,1982,445.2296221917808
Electricity,1982,-445.2296221917809
Electricity output in GWh,1983,265952.0
Production,1983,459.31731989041094
Electricity,1983,-459.31731989041094
Electricity output in GWh,1984-1987,304152.25
Production,1984-1987,525.2917680958903
Electricity,1984-1987,-525.2917680958905
Electricity output in GWh,1984,286123.0
Production,1984,494.15401846575344
Electricity,1984,-494.15401846575344
Electricity output in GWh,1985,303645.0
Production,1985,524.4157126027397
Electricity,1985,-524.4157126027397
Electricity output in GWh,1986,310635.0
Production,1986,536.487921369863
Electricity,1986,-536.487921369863
Electricity output in GWh,1987,316206.0
Production,1987,546.1094199452054
Electricity,1987,-546.1094199452054
Electricity output in GWh,1988,307435.0
Production,1988,530.9613021917809
Electricity,1988,-530.9613021917808
Electricity output in GWh,1989,291350.0
Production,1989,503.181405479452
Electricity,1989,-503.18140547945205
Electricity output in GWh,1990,296737.0
Production,1990,512.4851234520548
Electricity,1990,-512.4851234520547
Electricity output in GWh,1991,308264.0
Production,1991,532.3930419726028
Electricity,1991,-532.3930419726028
Electricity output in GWh,1992,316378.0
Production,1992,546.4064757260275
Electricity,1992,-546.4064757260275
Electricity output in GWh,1993,323556.0
Production,1993,558.803373369863
Electricity,1993,-558.803373369863
Electricity output in GWh,1994,329834.0
Production,1994,569.6459093698629
Electricity,1994,-569.645909369863
Electricity output in GWh,1995,335923.0
Production,1995,580.1620294246576
Electricity,1995,-580.1620294246575
Electricity output in GWh,1996,355647.0
Production,1996,614.2267283835616
Electricity,1996,-614.2267283835617
Electricity output in GWh,1997,350698.0
Production,1997,605.6794664109589
Electricity,1997,-605.6794664109589
Electricity output in GWh,1998,331890.0
Production,1998,573.1967621917809
Electricity,1998,-573.1967621917809
Electricity output in GWh,1999-2002,347036.25
Production,1999-2002,599.3553733561644
Electricity,1999-2002,-599.3553733561644
Electricity output in GWh,1999,345763.0
Production,1999,597.1563833972602
Electricity,1999,-597.1563833972602
Electricity output in GWh,2000,358509.0
Production,2000,619.169598410959
Electricity,2000,-619.169598410959
Electricity output in GWh,2001,333319.0
Production,2001,575.6647430684932
Electricity,2001,-575.6647430684932
Electricity output in GWh,2002,350554.0
Production,2002,605.4307685479453
Electricity,2002,-605.4307685479453
Electricity output in GWh,2003,337445.0
Production,2003,582.7906276712329
Electricity,2003,-582.7906276712329
Electricity output in GWh,2004,340835.0
Production,2004,588.6453898630137
Electricity,2004,-588.6453898630137
Electricity output in GWh,2005-2008,364589.5
Production,2005-2008,629.6710383835616
Electricity,2005-2008,-629.6710383835617
Electricity output in GWh,2005,363625.0
Production,2005,628.0052808219178
Electricity,2005,-628.0052808219178
Electricity output in GWh,2006,352852.0
Production,2006,609.3995719452055
Electricity,2006,-609.3995719452055
Electricity output in GWh,2007,367585.0
Production,2007,634.8444720547946
Electricity,2007,-634.8444720547944
Electricity output in GWh,2008,374296.0
Production,2008,646.4348287123287
Electricity,2008,-646.4348287123288
Electricity output in GWh,2009,368648.0
Production,2009,636.6803458630137
Electricity,2009,-636.6803458630137
Electricity output in GWh,2010,351480.0
Production,2010,607.0300339726027
Electricity,2010,-607.0300339726027
Electricity output in GWh,2011,375686.0
Production,2011,648.8354539178082
Electricity,2011,-648.8354539178082
Electricity output in GWh,2012,380511.0
Production,2012,657.1685593972603
Electricity,2012,-657.1685593972603
Electricity output in GWh,2013,391750.0
Production,2013,676.5790821917808
Electricity,2013,-676.5790821917808
Electricity output in GWh,2014,382463.0
Production,2014,660.5397970958904
Electricity,2014,-660.5397970958904
Electricity output in GWh,2015,380606.0
Production,2015,657.3326309041096
Electricity,2015,-657.3326309041096
Electricity output in GWh,2016,387097.0
Production,2016,668.4227200821919
Electricity,2016,-668.4227
