flow,period,value
Electricity output in GWh,1984-1987,26.0
Production,1984-1987,0.04505439726027397
Electricity,1984-1987,-0.045054397260273965
Electricity output in GWh,1984,8.0
Production,1984,0.013816547945205478
Electricity,1984,-0.013816547945205478
Electricity output in GWh,1985,25.0
Production,1985,0.043377534246575346
Electricity,1985,-0.04337753424657534
Electricity output in GWh,1986,35.0
Production,1986,0.0606482191780822
Electricity,1986,-0.06064821917808219
Electricity output in GWh,1987,36.0
Production,1987,0.062375287671232876
Electricity,1987,-0.062375287671232876
Electricity output in GWh,1988,24.0
Production,1988,0.041650465753424654
Electricity,1988,-0.041650465753424654
Electricity output in GWh,1989,28.0
Production,1989,0.0485587397260274
Electricity,1989,-0.04855873972602741
Electricity output in GWh,1990,26.0
Production,1990,0.044903780821917816
Electricity,1990,-0.044903780821917816
Electricity output in GWh,1991,32.0
Production,1991,0.05526619178082191
Electricity,1991,-0.05526619178082191
Electricity output in GWh,1992,94.0
Production,1992,0.16234443835616438
Electricity,1992,-0.16234443835616438
Electricity output in GWh,1993,95.0
Production,1993,0.16407150684931507
Electricity,1993,-0.16407150684931507
Electricity output in GWh,1994,95.0
Production,1994,0.16407150684931507
Electricity,1994,-0.16407150684931507
Electricity output in GWh,1995,96.0
Production,1995,0.16579857534246575
Electricity,1995,-0.16579857534246575
Electricity output in GWh,1996,100.0
Production,1996,0.1727068493150685
Electricity,1996,-0.1727068493150685
Electricity output in GWh,1997,101.0
Production,1997,0.17443391780821918
Electricity,1997,-0.17443391780821918
Electricity output in GWh,1998,104.0
Production,1998,0.17961512328767126
Electricity,1998,-0.17961512328767126
Electricity output in GWh,1999-2002,342.75
Production,1999-2002,0.5919527260273972
Electricity,1999-2002,-0.5919527260273972
Electricity output in GWh,1999,209.0
Production,1999,0.3609573150684932
Electricity,1999,-0.3609573150684932
Electricity output in GWh,2000,312.0
Production,2000,0.5388453698630137
Electricity,2000,-0.5388453698630137
Electricity output in GWh,2001,388.0
Production,2001,0.6701025753424658
Electricity,2001,-0.6701025753424658
Electricity output in GWh,2002,462.0
Production,2002,0.7979056438356165
Electricity,2002,-0.7979056438356165
Electricity output in GWh,2003,882.0
Production,2003,1.5232744109589043
Electricity,2003,-1.5232744109589043
Electricity output in GWh,2004,998.0
Production,2004,1.7236143561643835
Electricity,2004,-1.7236143561643835
Electricity output in GWh,2005-2008,2731.25
Production,2005-2008,4.717055821917808
Electricity,2005-2008,-4.717055821917808
Electricity output in GWh,2005,1519.0
Production,2005,2.62341704109589
Electricity,2005,-2.62341704109589
Electricity output in GWh,2006,2552.0
Production,2006,4.407478794520548
Electricity,2006,-4.407478794520548
Electricity output in GWh,2007,3080.0
Production,2007,5.31937095890411
Electricity,2007,-5.31937095890411
Electricity output in GWh,2008,3774.0
Production,2008,6.5179564931506855
Electricity,2008,-6.5179564931506855
Electricity output in GWh,2009,6774.0
Production,2009,11.69916197260274
Electricity,2009,-11.69916197260274
Electricity output in GWh,2010,9743.0
Production,2010,16.826828328767125
Electricity,2010,-16.826828328767125
Electricity output in GWh,2011,11823.0
Production,2011,18.087588328767126
Electricity,2011,-18.087588328767122
Electricity output in GWh,2012,11669.0
Production,2012,20.153162246575345
Electricity,2012,-20.15316224657534
Other,2013,0.7447681643835616
Electricity output in GWh,2013,11973.0
Production,2013,21.42295923287671
Total Consumption,2013,0.7447681643835616
Electricity,2013,-20.678191068493152
Other,2014,0.8162206027397261
Electricity output in GWh,2014,26571.0
Production,2014,42.80125567123288
Total Consumption,2014,0.8162206027397261
Electricity,2014,-41.98503506849315
Other,2015,0.8440344383561645
Electricity output in GWh,2015,34629.0
Production,2015,51.54040298630137
Total Consumption,2015,0.8440344383561645
Electricity,2015,-50.69636854794521
Other,2016,0.844195095890411
Electricity output in GWh,2016,33951.0
Production,2016,59.234513205479445
Total Consumption,2016,0.844195095890411
Electricity,2016,-58.39031810958904
