product,flow,value
Coal and coal products,Industry,12.263973616438356
Coal and coal products,Residential,1.2425856164383562
Coal and coal products,Commercial,0.20664575342465752
Coal and coal products,Other,1.5481361643835616
Gas,Industry,0.21837375342465756
Combustible renewables and waste,Industry,15.568518356164384
Gas,Transport,0.12256161643835616
Gas,Residential,3.11892504109589
Combustible renewables and waste,Residential,48.250176849315075
Gas,Commercial,0.5057900821917808
Combustible renewables and waste,Commercial,7.233244000000001
Gas,Other,14.860560849315068
Oil Products,Industry,45.1219135890411
Oil Products,Transport,99.12270638356165
Oil Products,Residential,20.33147202739726
Oil Products,Commercial,3.2861695342465755
Oil Products,Other,11.07685501369863
Electricity,Industry,31.810874575342467
Electricity,Transport,0.345413698630137
Electricity,Residential,12.162016328767121
Electricity,Commercial,1.9723122191780822
Electricity,Other,0.24697079452054793
Coal and coal products,Electricity output in GWh,9499.0
Gas,Electricity output in GWh,307.0
Hydro,Electricity output in GWh,16841.0
Combustible renewables and waste,Electricity output in GWh,1738.0
Oil Products,Electricity output in GWh,2348.0
Coal and coal products,Production,13.39930024657534
"Crude, NGL and feedstocks",Production,12.150870712328768
Gas,Production,29.084556383561647
Hydro,Production,29.085560493150687
Combustible renewables and waste,Production,83.55374621917808
Coal and coal products,Imports,49.037840575342464
"Crude, NGL and feedstocks",Imports,164.69728802739726
Coal and coal products,Exports,-0.1601554794520548
Gas,Exports,-0.5903762739726027
Coal and coal products,Total Consumption,15.261361232876713
Gas,Total Consumption,18.826211342465754
Combustible renewables and waste,Total Consumption,71.05195928767124
Oil Products,Imports,49.75551786301371
Oil Products,Exports,-0.9239013150684932
Oil Products,Total Consumption,178.9390964657534
Electricity,Total Consumption,46.537587616438366
Electricity,Production,94.29876309589042
Coal and coal products,Electricity,-45.125207068493154
Gas,Electricity,-1.5156632602739726
Hydro,Electricity,-29.085560493150687
Combustible renewables and waste,Electricity,-6.4050343287671225
Oil Products,Electricity,-12.16729794520548
"Crude, NGL and feedstocks",Oil Products,-173.47674030136986
All products,Heat and Waste,44.847871999999995
All products,Industry,104.9836338082192
All products,Transport,99.59068169863018
All products,Residential,85.10515578082192
All products,Commercial,13.204141506849316
All products,Other,27.732522821917808
All products,Total Consumption,330.61621594520545
All primary,Production,167.27403405479453
All primary,Imports,213.73512860273974
All primary,Exports,-0.7505317534246575
All primary,Total Consumption,105.1395318630137
All primary,Oil Products,-173.47674030136986
All primary,Electricity,-94.29876309589042
Oil Products,Production,174.39182553424658
All products,Hydrocarbon Heat and Waste,-0.9150852328767201
All products,Electricity Heat and Waste,45.762957232876715
