product,flow,value
Coal and coal products,Industry,13.353673506849315
Coal and coal products,Residential,0.4739698493150684
Coal and coal products,Commercial,0.35379299315068496
Coal and coal products,Other,0.240228198630137
Gas,Industry,12.584364904109588
Combustible renewables and waste,Industry,19.908566171232877
Gas,Transport,0.23195935616438357
Gas,Residential,5.268131246575343
Combustible renewables and waste,Residential,56.53444745890411
Gas,Commercial,1.1337200547945205
Combustible renewables and waste,Commercial,0.0029972671232876714
Gas,Other,45.27044650000001
Oil Products,Industry,40.8067877739726
Oil Products,Transport,110.54677245205481
Oil Products,Residential,21.27074123972603
Oil Products,Commercial,3.0789012328767127
Oil Products,Other,6.31677309589041
Electricity,Industry,45.464646315068485
Electricity,Transport,0.3704561917808219
Electricity,Residential,11.32266104109589
Electricity,Commercial,8.185009356164384
Electricity,Other,0.27978509589041095
Coal and coal products,Electricity output in GWh,7781.5
Gas,Electricity output in GWh,11084.0
Hydro,Electricity output in GWh,18843.5
Solar/Wind/Other,Electricity output in GWh,3.5
Combustible renewables and waste,Electricity output in GWh,1490.75
Oil Products,Electricity output in GWh,1964.25
Coal and coal products,Production,6.205854130136987
"Crude, NGL and feedstocks",Production,8.978773047945207
Gas,Production,32.28105391095891
Hydro,Production,32.54401515068493
Solar/Wind/Other,Production,0.006044739726027397
Combustible renewables and waste,Production,84.7828566849315
Coal and coal products,Imports,51.75881188356165
"Crude, NGL and feedstocks",Imports,198.47949581506847
Gas,Imports,78.53071310273972
Coal and coal products,Exports,-0.603379493150685
Coal and coal products,Total Consumption,14.421659527397262
Gas,Total Consumption,64.48862708219178
Combustible renewables and waste,Total Consumption,76.44602093835617
Oil Products,Imports,38.163298582191786
Electricity,Imports,1.9442473561643836
Oil Products,Exports,-16.827265116438355
Oil Products,Total Consumption,182.0199707739726
Electricity,Total Consumption,65.622558
Electricity,Production,128.13854150684932
Coal and coal products,Electricity,-40.680435643835615
Gas,Electricity,-35.2206600410959
Hydro,Electricity,-32.544015150684935
Solar/Wind/Other,Electricity,-0.006044739726027397
Combustible renewables and waste,Electricity,-8.26250151369863
Oil Products,Electricity,-11.424884417808219
"Crude, NGL and feedstocks",Oil Products,-201.5077849041096
All products,Heat and Waste,64.12904539726026
All products,Industry,132.11803365068494
All products,Transport,111.1491779589041
All products,Residential,94.86994581506849
All products,Commercial,12.754415883561643
All products,Other,52.10723289041096
All products,Total Consumption,402.9988363219178
All primary,Production,164.79859766438355
All primary,Imports,328.76902080136983
All primary,Exports,-0.603379493150685
All primary,Total Consumption,155.35630754794522
All primary,Oil Products,-201.5077849041096
All primary,Electricity,-128.13854150684932
Oil Products,Production,199.15553769863016
All products,Hydrocarbon Heat and Waste,2.3522472054794434
All products,Electricity Heat and Waste,61.77679819178081
