flow,period,value
Industry,1971-1974,0.03355734246575342
Residential,1971-1974,0.4968384452054795
Commercial,1971-1974,0.1105876095890411
Electricity output in GWh,1971-1974,96.25
Production,1971-1974,11.754141993150684
Total Consumption,1971-1974,0.6409884178082192
Electricity,1971-1974,-0.49824419863013697
Industry,1971,0.016407150684931506
Residential,1971,0.04142956164383562
Commercial,1971,0.009057068493150685
Electricity output in GWh,1971,95.0
Production,1971,12.837380438356165
Total Consumption,1971,0.06689378082191781
Electricity,1971,-0.48982473972602736
Industry,1972,0.016407150684931506
Residential,1972,0.30424520547945205
Commercial,1972,0.06775731506849315
Electricity output in GWh,1972,91.0
Production,1972,12.698411671232876
Total Consumption,1972,0.38840967123287673
Electricity,1972,-0.47343767123287667
Industry,1973,0.03452128767123288
Residential,1973,0.6205999726027397
Commercial,1973,0.1381052328767123
Electricity output in GWh,1973,98.0
Production,1973,10.554818438356165
Total Consumption,1973,0.7932264931506849
Electricity,1973,-0.5057900821917808
Industry,1974,0.06689378082191781
Residential,1974,1.0210790410958903
Commercial,1974,0.2274308219178082
Electricity output in GWh,1974,101.0
Production,1974,10.925957424657534
Total Consumption,1974,1.315423726027397
Electricity,1974,-0.523924301369863
Industry,1975,0.03452128767123288
Residential,1975,1.2014773698630137
Commercial,1975,0.26757512328767125
Electricity output in GWh,1975,95.0
Production,1975,12.040278082191781
Total Consumption,1975,1.5035737808219178
Electricity,1975,-0.48982473972602736
Industry,1976,0.16788712328767122
Residential,1976,1.297289506849315
Commercial,1976,0.289143397260274
Electricity output in GWh,1976,91.0
Production,1976,18.843040219178086
Exports,1976,-6.025962876712329
Total Consumption,1976,1.7543200273972603
Electricity,1976,-0.47343767123287667
Industry,1977,0.16788712328767122
Residential,1977,1.4082034520547946
Commercial,1977,0.3137440821917808
Electricity output in GWh,1977,104.0
Production,1977,21.323251150684932
Exports,1977,-8.084106383561643
Total Consumption,1977,1.8898346575342466
Electricity,1977,-0.5403113698630138
Industry,1978,0.16788712328767122
Residential,1978,1.5191173972602738
Commercial,1978,0.33834476712328765
Electricity output in GWh,1978,114.0
Production,1978,24.277321479452056
Exports,1978,-11.645381863013698
Total Consumption,1978,2.025349287671233
Electricity,1978,-0.5908180821917809
Industry,1979,0.15190169863013697
Residential,1979,1.5324921369863014
Commercial,1979,0.34137717808219176
Electricity output in GWh,1979,124.0
Production,1979,15.872582821917808
Exports,1979,-1.6369396164383563
Total Consumption,1979,2.02577101369863
Electricity,1979,-0.6413047123287672
Industry,1980,0.15190169863013697
Residential,1980,1.5044373150684933
Commercial,1980,0.3353324383561644
Electricity output in GWh,1980,153.0
Production,1980,14.454880493150684
Total Consumption,1980,1.9916714520547947
Electricity,1980,-0.7932264931506849
Industry,1981,0.16788712328767122
Residential,1981,1.5044373150684933
Commercial,1981,0.3353324383561644
Electricity output in GWh,1981,183.0
Production,1981,14.403952054794521
Total Consumption,1981,2.007636794520548
Electricity,1981,-0.945128191780822
Industry,1982,0.16788712328767122
Residential,1982,1.6019765205479453
Commercial,1982,0.3569007123287671
Electricity output in GWh,1982,195.0
Production,1982,14.876084383561645
Total Consumption,1982,2.126764356164384
Electricity,1982,-1.0120219726027397
Industry,1983,0.12127635616438356
Residential,1983,1.9019040547945205
Commercial,1983,0.4237944931506849
Electricity output in GWh,1983,188.0
Production,1983,15.821654383561645
Total Consumption,1983,2.446974904109589
Electricity,1983,-0.9757736164383563
Industry,1984-1987,0.14360273287671232
Residential,1984-1987,2.0824128356164384
Commercial,1984-1987,0.4639387945205479
Electricity output in GWh,1984-1987,226.0
Production,1984-1987,15.336463609589039
Total Consumption,1984-1987,2.6899493424657535
Electricity,1984-1987,-1.1699784520547944
Industry,1984,0.12989161643835617
Residential,1984,2.034828082191781
Commercial,1984,0.4531546575342466
Electricity output in GWh,1984,209.0
Production,1984,15.871719287671231
Total Consumption,1984,2.6178743561643834
Electricity,1984,-1.0806428219178084
Industry,1985,0.1281846301369863
Residential,1985,2.008078602739726
Commercial,1985,0.44753164383561644
Electricity output in GWh,1985,216.0
Production,1985,16.176406301369862
Total Consumption,1985,2.583794876712329
Electricity,1985,-1.1203453150684932
Industry,1986,0.1428446301369863
Residential,1986,2.204864
Commercial,1986,0.49113008219178084
Electricity output in GWh,1986,238.0
Production,1986,14.792361726027396
Total Consumption,1986,2.8388387123287666
Electricity,1986,-1.2303957260273972
Industry,1987,0.17349005479452054
Residential,1987,2.081880657534247
Commercial,1987,0.4639387945205479
Electricity output in GWh,1987,241.0
Production,1987,14.505367123287671
Total Consumption,1987,2.719289424657534
Electricity,1987,-1.2485299452054794
Industry,1988,4.732127506849316
Residential,1988,2.265291315068493
Commercial,1988,0.5045048219178082
Electricity output in GWh,1988,257.0
Production,1988,19.298785479452054
Total Consumption,1988,7.501923643835616
Electricity,1988,-1.331810794520548
Industry,1989,13.694468301369865
Residential,1989,2.3390933698630136
Commercial,1989,0.521333698630137
Electricity output in GWh,1989,244.0
Production,1989,28.531713726027398
Total Consumption,1989,16.554875287671234
Electricity,1989,-1.2631899452054796
Industry,1990,0.057836712328767116
Transport,1990,0.1117774794520548
Residential,1990,2.597169616438356
Commercial,1990,0.4212038904109589
