flow,period,value
Industry,1971-1974,24.26588969178082
Transport,1971-1974,35.04098969178082
Residential,1971-1974,15.993618191780822
Other,1971-1974,1.7526281027397261
Electricity output in GWh,1971-1974,1975.0
Imports,1971-1974,6.446192780821919
Exports,1971-1974,-1.8536967534246573
Total Consumption,1971-1974,77.05311061643835
Electricity,1971-1974,-13.526059041095891
Production,1971-1974,97.9264654452055
Industry,1971,23.12617008219178
Transport,1971,36.76728
Residential,1971,14.2778961369863
Other,1971,2.1246356438356164
Electricity output in GWh,1971,2178.0
Imports,1971,9.904496821917807
Exports,1971,-0.8621284931506848
Total Consumption,1971,76.2959818630137
Electricity,1971,-14.88327380821918
Production,1971,95.82944783561645
Industry,1972,24.007597561643834
Transport,1972,37.006478986301374
Residential,1972,16.513184657534246
Other,1972,1.7329927397260274
Electricity output in GWh,1972,2202.0
Imports,1972,7.420791589041097
Exports,1972,-2.178014109589041
Total Consumption,1972,79.2602338630137
Electricity,1972,-15.035978794520545
Production,1972,98.87989260273974
Industry,1973,24.152169260273972
Transport,1973,33.960151068493154
Residential,1973,17.534163287671234
Other,1973,1.5046381369863016
Electricity output in GWh,1973,1795.0
Imports,1973,6.701407315068494
Exports,1973,-1.1079947671232877
Total Consumption,1973,77.15110167123288
Electricity,1973,-12.312753260273974
Production,1973,95.4812025479452
Industry,1974,25.7776218630137
Transport,1974,32.43004871232877
Residential,1974,15.649228684931506
Other,1974,1.648245890410959
Electricity output in GWh,1974,1725.0
Imports,1974,1.7580753972602738
Exports,1974,-3.266649643835616
Total Consumption,1974,75.50512506849316
Electricity,1974,-11.872230301369862
Production,1974,101.51531879452054
Industry,1975,22.739045671232876
Transport,1975,28.316673616438358
Residential,1975,13.66095112328767
Other,1975,1.1725590136986301
Electricity output in GWh,1975,1396.0
Imports,1975,0.25512416438356167
Exports,1975,-1.746769123287671
Total Consumption,1975,65.88922942465754
Electricity,1975,-9.610312794520548
Production,1975,81.41667969863013
Industry,1976,23.545405917808218
Transport,1976,28.910383534246577
Residential,1976,14.475223753424656
Other,1976,1.3309874246575344
Electricity output in GWh,1976,1525.0
Imports,1976,0.7150264383561643
Exports,1976,-2.135941917808219
Total Consumption,1976,68.26200063013698
Electricity,1976,-10.50170104109589
Production,1976,87.5443990410959
Industry,1977,24.622695013698632
Transport,1977,30.678640602739726
Residential,1977,15.2121598630137
Other,1977,1.5470718082191781
Electricity output in GWh,1977,1563.0
Imports,1977,1.0888564383561643
Exports,1977,-0.7260113972602741
Total Consumption,1977,72.06056728767123
Electricity,1977,-10.75529895890411
Production,1977,90.17613010958905
Industry,1978,25.625659917808218
Transport,1978,34.57703583561644
Residential,1978,14.23313293150685
Other,1978,1.624127178082192
Electricity output in GWh,1978,1703.0
Imports,1978,1.736065315068493
Exports,1978,-1.452002712328767
Total Consumption,1978,76.0599357808219
Electricity,1978,-11.721051561643836
Production,1978,96.53722460273973
Industry,1979,25.23622605479452
Transport,1979,37.58992690410959
Residential,1979,13.861692712328768
Other,1979,1.6552947397260274
Electricity output in GWh,1979,1853.0
Imports,1979,0.9650095616438356
Exports,1979,-0.8484525205479453
Total Consumption,1979,78.34314041095891
Electricity,1979,-12.719116410958906
Production,1979,103.13559019178082
Industry,1980,25.088019479452058
Transport,1980,40.61209594520548
Residential,1980,13.768390849315068
Other,1980,1.4439497534246575
Electricity output in GWh,1980,1732.0
Imports,1980,2.4629402465753425
Exports,1980,-1.0990782739726028
Total Consumption,1980,80.91245602739727
Electricity,1980,-11.895927287671233
Production,1980,100.29329734246575
Industry,1981,23.270641369863014
Transport,1981,43.38104863013699
Residential,1981,13.795260821917811
Other,1981,1.687285671232877
Electricity output in GWh,1981,1611.0
Imports,1981,13.629723315068492
Total Consumption,1981,82.1342364931507
Electricity,1981,-11.071191835616439
Production,1981,93.08893153424658
Industry,1982,19.300171150684932
Transport,1982,41.70872419178082
Residential,1982,13.892719698630138
Other,1982,1.5310060547945206
Electricity output in GWh,1982,1483.0
Imports,1982,21.12823298630137
Exports,1982,-1.2204349589041095
Total Consumption,1982,76.43262109589041
Electricity,1982,-10.173819095890412
Production,1982,70.45300791780822
Industry,1983,20.98791871232877
Transport,1983,42.091731753424654
Residential,1983,11.806220136986301
Other,1983,1.6649341917808218
Electricity output in GWh,1983,1251.0
Imports,1983,11.106656986301369
Exports,1983,-0.580194602739726
Total Consumption,1983,76.55080479452054
Electricity,1983,-8.580839397260274
Production,1983,78.94741356164384
Industry,1984-1987,21.93156082191781
Transport,1984-1987,42.836595308219174
Residential,1984-1987,11.675751157534245
Other,1984-1987,2.4033463424657535
Electricity output in GWh,1984-1987,855.25
Imports,1984-1987,9.491300705479452
Exports,1984-1987,-0.2346604109589041
Total Consumption,1984-1987,78.84725363013699
Electricity,1984-1987,-5.852728869863013
Production,1984-1987,81.85641443150685
Industry,1984,21.760259726027396
Transport,1984,41.96702134246575
Residential,1984,11.947397945205477
Other,1984,1.5833402465753423
Electricity output in GWh,1984,1012.0
Imports,1984,11.590617726027396
Exports,1984,-0.42867446575342466
Total Consumption,1984,77.25801926027397
Electricity,1984,-6.9284766575342465
Production,1984,78.34289942465753
Industry,1985,21.041839397260276
Transport,1985,41.38385457534247
Residential,1985,10.735638493150686
Other,1985,2.268906109589041
Electricity output in GWh,1985,834.0
Imports,1985,7.781869397260274
Total Consumption,1985,75.43023857534247
Electricity,1985,-5.701796136986301
Production,1985,77.74888827397261
Industry,1986,21.94939380821918
Transport,1986,42.55492750684932
Residential,1986,11.45074526027397
Other,1986,3.76932698630137
Electricity output in GWh,1986,811.0
Imports,1986,13.020811178082193
Total Consumption,1986,79.72439356164384
Electricity,1986,-5.547544821917808
Production,1986,83.52858323287671
Industry,1987,22.974750356164385
Transport,1987,45.44057780821918
Residential,1987,12.56922293150685
Other,1987,1.9918120273972604
Electricity output in GWh,1987,764.0
Imports,1987,5.571904520547945
Exports,1987,-0.5099671780821917
Total Consumption,1987,82.97636312328767
Electricity,1987,-5.233097863013699
Production,1987,87.80528679452055
Industry,1988,25.766958219178083
Transport,1988,51.78273479452054
Residential,1988,13.555720438356165
Other,1988,2.2796099178082194
Electricity output in GWh,1988,756.0
Imports,1988,7.8229374794520545
Exports,1988,-3.162262410958904
Total Consumption,1988,93.38502336986302
Electricity,1988,-5.181125150684932
Production,1988,99.19757279452054
Industry,1989,29.149502191780826
Transport,1989,55.53728128767123
Residential,1989,14.359048273972604
Other,1989,2.9046480547945204
Electricity output in GWh,1989,1297.0
Imports,1989,11.012391178082192
Exports,1989,-3.426463726027398
Total Consumption,1989,101.9504597260274
Electricity,1989,-8.847992794520547
Production,1989,119.67054394520548
Industry,1990,26.888488383561644
Transport,1990,60.6943881369863
Residential,1990,15.142514821917809
Commercial,1990,2.4656111780821917
Other,1990,5.028460328767124
Electricity output in GWh,1990,1768.0
Imports,1990,10.928849260273973
Exports,1990,-4.240816684931508
Total Consumption,1990,110.21946284931506
Electricity,1990,-9.564605726027397
Production,1990,126.03916926027398
Industry,1991,28.6071022739726
Transport,1991,63.323709342465754
Residential,1991,16.28193821917808
Commercial,1991,2.6438004657534244
Other,1991,7.869929808219179
Electricity output in GWh,1991,1348.0
Imports,1991,13.849944630136987
Exports,1991,-1.7684779726027398
Total Consumption,1991,118.72648010958905
Electricity,1991,-7.2874859999999995
Production,1991,128.94490175342466
Industry,1992,31.822120602739727
Transport,1992,68.80510342465753
Residential,1992,19.021631150684932
Commercial,1992,3.0554452328767123
Other,1992,7.870813424657534
Electricity output in GWh,1992,1076.0
Imports,1992,19.007192054794523
Exports,1992,-1.2465819726027396
Total Consumption,1992,130.57511383561643
Electricity,1992,-5.866369698630137
Production,1992,134.04503542465753
Industry,1993,35.738951287671235
Transport,1993,76.14723306849315
Residential,1993,20.210316164383563
