product,flow,value
Coal and coal products,Industry,3318.0814071849313
"Crude, NGL and feedstocks",Industry,27.721864198630133
Coal and coal products,Transport,220.52937589041096
Coal and coal products,Residential,1500.3925909452055
Coal and coal products,Commercial,76.19754397945205
Coal and coal products,Other,541.3363348082192
"Crude, NGL and feedstocks",Other,16.002424232876713
Gas,Industry,71.1564419109589
Gas,Transport,0.33608050000000006
Gas,Residential,9.747574575342465
Combustible renewables and waste,Residential,3811.813187527397
Gas,Commercial,1.134372726027397
Gas,Other,59.676015171232876
Combustible renewables and waste,Other,0.2843889383561644
Oil Products,Industry,360.47749126027395
Oil Products,Transport,438.8438818287672
Oil Products,Residential,50.43806135616438
Oil Products,Commercial,58.57096746575343
Oil Products,Other,453.46785437671235
Electricity,Industry,461.856974109589
Electricity,Transport,6.7968780547945205
Electricity,Residential,31.443008986301365
Electricity,Commercial,23.231661835616435
Electricity,Other,83.13675958904108
Heat,Industry,156.5297602191781
Heat,Residential,30.338699301369864
Heat,Commercial,2.7004121643835615
Heat,Other,3.872238178082192
Coal and coal products,Electricity output in GWh,300444.0
Gas,Electricity output in GWh,1565.5
Hydro,Electricity output in GWh,93422.5
Oil Products,Electricity output in GWh,58863.0
Coal and coal products,Production,8334.223675972602
"Crude, NGL and feedstocks",Production,2577.642586808219
Gas,Production,223.55209719178083
Hydro,Production,161.34705630136986
Combustible renewables and waste,Production,3811.813187527397
Coal and coal products,Imports,99.31624850684933
"Crude, NGL and feedstocks",Imports,7.42111290410959
Combustible renewables and waste,Imports,0.30654963698630133
Coal and coal products,Exports,-128.49746047945206
"Crude, NGL and feedstocks",Exports,-552.2190954383562
Combustible renewables and waste,Exports,-0.022160698630136984
Coal and coal products,Total Consumption,5656.537252808219
"Crude, NGL and feedstocks",Total Consumption,43.72428843150685
Gas,Total Consumption,142.05047484246577
Combustible renewables and waste,Total Consumption,3812.097576465753
Oil Products,Imports,158.57468462328768
Electricity,Imports,1.9040930136986303
Oil Products,Exports,-140.98499407534246
Electricity,Exports,-1.943815589041096
Oil Products,Total Consumption,1361.7982462465754
Electricity,Total Consumption,606.4652825753425
Electricity,Production,2249.7873007123285
Coal and coal products,Electricity,-1775.780992178082
"Crude, NGL and feedstocks",Electricity,-57.161006821917816
Gas,Electricity,-7.487670308219178
Hydro,Electricity,-161.34705630136986
Oil Products,Electricity,-248.01057510273972
"Crude, NGL and feedstocks",Oil Products,-1833.5477180684932
All products,Heat and Waste,1551.8017266849308
All products,Industry,4395.823948924657
All products,Transport,666.5062212945204
All products,Residential,5434.173122691782
All products,Commercial,161.83496319178082
All products,Other,1157.7760002328766
All products,Total Consumption,11622.673121369862
All primary,Production,15108.57860380137
All primary,Imports,107.04391104794523
All primary,Exports,-680.7387166164385
All primary,Total Consumption,9654.409592547943
All primary,Oil Products,-1833.5477180684932
All primary,Electricity,-2249.7873007123285
Oil Products,Production,1820.0821064246577
All products,Hydrocarbon Heat and Waste,13.465611643835473
All products,Electricity Heat and Waste,1538.3361150410954
