product,flow,value
Coal and coal products,Industry,11135.372231178084
"Crude, NGL and feedstocks",Industry,56.85268493150685
Coal and coal products,Transport,0.4112832876712329
Coal and coal products,Residential,992.4200866027397
Coal and coal products,Commercial,400.87651515068495
Coal and coal products,Other,1745.8720316986303
"Crude, NGL and feedstocks",Other,5.422191780821918
Gas,Industry,855.168105890411
Geothermal,Industry,8.017433506849315
Gas,Transport,350.10658553424656
Combustible renewables and waste,Transport,47.64931767123288
Gas,Residential,644.8701849863014
Geothermal,Residential,97.9920589041096
Solar/Wind/Other,Residential,403.83442117808215
Combustible renewables and waste,Residential,1664.629906410959
Gas,Commercial,225.5689416712329
Geothermal,Commercial,54.88882731506849
Solar/Wind/Other,Commercial,44.870283726027395
Gas,Other,208.67608309589042
Geothermal,Other,25.823670328767125
Combustible renewables and waste,Other,0.0591018904109589
Oil Products,Industry,1019.0216205479453
Oil Products,Transport,5415.315397369863
Oil Products,Residential,795.7426712876712
Oil Products,Commercial,307.3013736712329
Oil Products,Other,2403.325758219178
Electricity,Industry,5718.14597309589
Electricity,Transport,195.63645490410963
Electricity,Residential,1474.7184024109588
Electricity,Commercial,623.4320436164384
Electricity,Other,1002.3310097260274
Heat,Industry,1213.9044108767123
Heat,Residential,473.0481369589041
Heat,Commercial,47.035927205479446
Heat,Other,73.85774271232877
Coal and coal products,Electricity output in GWh,4266555.0
Gas,Electricity output in GWh,183510.0
Nuclear,Electricity output in GWh,213287.0
Hydro,Electricity output in GWh,1162574.0
Geothermal,Electricity output in GWh,125.0
Solar/Wind/Other,Electricity output in GWh,312370.0
Combustible renewables and waste,Electricity output in GWh,76214.0
Oil Products,Electricity output in GWh,10730.0
Coal and coal products,Production,34519.35731071233
"Crude, NGL and feedstocks",Production,4014.2706442191784
Gas,Production,2300.1668526027397
Nuclear,Production,1116.0453563287672
Hydro,Production,2007.483587479452
Geothermal,Production,188.880906
Solar/Wind/Other,Production,988.1934881095889
Combustible renewables and waste,Production,2271.4244365205477
Coal and coal products,Imports,2870.4572999178085
"Crude, NGL and feedstocks",Imports,7651.455643835617
Gas,Imports,1240.8856388219178
Combustible renewables and waste,Imports,0.0591018904109589
Coal and coal products,Exports,-243.88657150684932
"Crude, NGL and feedstocks",Exports,-59.061726027397256
Gas,Exports,-56.78787969863014
Coal and coal products,Total Consumption,14274.952107753423
"Crude, NGL and feedstocks",Total Consumption,62.27487671232877
Gas,Total Consumption,2284.3899011780823
Geothermal,Total Consumption,186.7219900547945
Solar/Wind/Other,Total Consumption,448.7047049041096
Combustible renewables and waste,Total Consumption,1712.3382858082193
Oil Products,Imports,1518.205264109589
Electricity,Imports,30.74836597260274
Oil Products,Exports,-1084.7003484383563
Electricity,Exports,-34.72853589041096
Oil Products,Total Consumption,9940.706821095891
Electricity,Total Consumption,9014.263903835617
Electricity,Production,25519.6625349589
Coal and coal products,Electricity,-20559.049770630136
"Crude, NGL and feedstocks",Electricity,-2.6307671232876713
Gas,Electricity,-716.0376369589042
Nuclear,Electricity,-1116.0453563287672
Hydro,Electricity,-2007.483587479452
Geothermal,Electricity,-2.158454054794521
Solar/Wind/Other,Electricity,-539.4888032876712
Combustible renewables and waste,Electricity,-526.3637052876711
Oil Products,Electricity,-50.40445380821917
"Crude, NGL and feedstocks",Oil Products,-11150.369089863014
All products,Heat and Waste,15584.547760821919
All products,Industry,20006.482439945205
All products,Transport,6009.119038767124
All products,Residential,6547.255868739727
All products,Commercial,1703.9739123561646
All products,Other,5465.367589452055
All products,Total Consumption,37924.35259134247
All primary,Production,47405.8225819726
All primary,Imports,11762.857684465753
All primary,Exports,-359.73617723287674
All primary,Total Consumption,18969.381866410957
All primary,Oil Products,-11150.369089863014
All primary,Electricity,-25519.6625349589
Oil Products,Production,10867.759654602738
All products,Hydrocarbon Heat and Waste,282.60943526027586
All products,Electricity Heat and Waste,15301.938325561643
