flow,period,value
Production,2011,48851.0925989315
Imports,2011,7778.079807342467
Exports,2011,-430.08058065753426
Total Consumption,2011,16897.136142438354
Oil Products,2011,-8723.033605369863
Electricity,2011,-20705.69786747945
Production,1971,7916.005445178083
Imports,1971,1.9330314520547947
Exports,1971,-47.6198570958904
Total Consumption,1971,6052.389474684932
Oil Products,1971,-664.4251790684932
Electricity,1971,-747.8422860547946
Production,1973,8663.36985539726
Imports,1973,0.6707050410958904
Exports,1973,-80.08008934246575
Total Consumption,1973,6456.890704958904
Oil Products,1973,-858.6417627671233
Electricity,1973,-894.1736264931507
Production,1974,8958.416533424657
Imports,1974,0.4901661369863014
Exports,1974,-146.58288997260274
Total Consumption,1974,6495.542758904108
Oil Products,1974,-1011.9706626027397
Electricity,1974,-884.0065951780822
Production,1975,9984.304576657534
Imports,1975,0.3614593698630137
Exports,1975,-246.50251797260276
Total Consumption,1975,7155.314592904111
Oil Products,1975,-1073.302198438356
Electricity,1975,-1045.9372600547947
Production,1976,10279.166458356165
Imports,1976,0.48028569863013704
Exports,1976,-206.32755109589044
Total Consumption,1976,7365.271457945206
Oil Products,1976,-1206.1872463013697
Electricity,1976,-1092.2637838356166
Production,1977,11169.238959890412
Imports,1977,30.642432410958907
Exports,1977,-222.93184865753426
Total Consumption,1977,7935.336161342466
Oil Products,1977,-1287.962654191781
Electricity,1977,-1214.5781282465753
Production,1978,12134.130799726028
Imports,1978,42.46303139726027
Exports,1978,-275.6388864109589
Total Consumption,1978,8435.317951534247
Oil Products,1978,-1373.8268164109588
Electricity,1978,-1512.425227753425
Production,1979,12422.486754164383
Imports,1979,29.88515304109589
Exports,1979,-338.1818202191781
Total Consumption,1979,8474.243384356165
Oil Products,1979,-1431.069618
Electricity,1979,-1651.9009898904108
Production,1980,12360.801912328767
Imports,1980,28.799027780821916
Exports,1980,-356.6039778630137
Total Consumption,1980,8224.547697479451
Oil Products,1980,-1608.7266874246573
Electricity,1980,-1812.4588562191782
Production,1981,12297.493746602737
Imports,1981,22.58553739726027
Exports,1981,-368.08066931506846
Total Consumption,1981,8290.137822739727
Oil Products,1981,-1528.3823365205478
Electricity,1981,-1823.7126353424658
Production,1982,12809.567867917809
Imports,1982,54.17185290410959
Exports,1982,-399.54498550684934
Total Consumption,1982,8562.503613123286
Oil Products,1982,-1540.0353496164382
Electricity,1982,-1883.0367753698629
Production,1983,13441.813784684931
Imports,1983,71.82777452054795
Exports,1983,-398.9699520273973
Total Consumption,1983,8854.460485287673
Oil Products,1983,-1643.8901031780822
Electricity,1983,-1987.7306833972602
Production,1984-1987,15108.57860380137
Imports,1984-1987,107.04391104794523
Exports,1984-1987,-680.7387166164385
Total Consumption,1984-1987,9654.409592547943
Oil Products,1984-1987,-1833.5477180684932
Electricity,1984-1987,-2249.7873007123285
Production,1984,14402.890429808216
Imports,1984,85.61478156164382
Exports,1984,-549.5985802739726
Total Consumption,1984,9364.136833068493
Oil Products,1984,-1686.8221943287674
Electricity,1984,-2145.580787479452
Production,1985,14931.633272356166
Imports,1985,97.76039073972603
Exports,1985,-718.5716681643837
Total Consumption,1985,9425.405029671234
Oil Products,1985,-1755.901961890411
Electricity,1985,-2101.9666649315072
Production,1986,15323.247358520546
Imports,1986,115.0167169041096
Exports,1986,-715.1525344383562
Total Consumption,1986,9717.820418438358
Oil Products,1986,-1893.0802208767122
Electricity,1986,-2253.3808081095885
Production,1987,15776.543354520549
Imports,1987,129.78375498630137
Exports,1987,-739.6320835890413
Total Consumption,1987,10110.276089013698
Oil Products,1987,-1998.3864951780822
Electricity,1987,-2498.2209423287673
Production,1988,16410.14789180822
Imports,1988,150.07952087671234
Exports,1988,-749.2604502739728
Total Consumption,1988,10547.302055534248
Oil Products,1988,-2093.3277478356167
Electricity,1988,-2788.7169354520547
Production,1989,17242.815608794517
Imports,1989,213.72265756164384
Exports,1989,-720.3742456986301
Total Consumption,1989,10583.429296000002
Oil Products,1989,-2179.8052402739727
Electricity,1989,-3031.046614958904
Production,1990,17799.548548356164
Imports,1990,190.27796383561645
Exports,1990,-724.3280476986301
Total Consumption,1990,10601.30059912329
Oil Products,1990,-2201.249205479452
Electricity,1990,-3250.701933534246
Production,1991,17973.783431561646
Imports,1991,254.33386989041094
Exports,1991,-728.8371423835617
Total Consumption,1991,10740.073002575344
Oil Products,1991,-2337.446630136986
Electricity,1991,-3555.778642164384
Production,1992,18317.110751123288
Imports,1992,372.47089750684927
Exports,1992,-754.5653419726027
Total Consumption,1992,10747.44933219178
Oil Products,1992,-2518.547835616438
Electricity,1992,-3903.658313452055
Production,1993,18888.049170438357
Imports,1993,475.73595758904116
Exports,1993,-683.4878983835617
Total Consumption,1993,11008.866191123288
Oil Products,1993,-2630.8474520547948
Electricity,1993,-4350.2133402191785
Production,1994,19930.605493095893
Imports,1994,364.9459998356165
Exports,1994,-741.2052020000001
Total Consumption,1994,11129.029491808218
Oil Products,1994,-2667.658109589041
Electricity,1994,-4646.137469452055
Production,1995,21412.122299808223
Imports,1995,473.1271001369863
Exports,1995,-858.3460926575343
Total Consumption,1995,11631.661769835617
Oil Products,1995,-2882.477315068493
Electricity,1995,-5172.658398219179
Production,1996,22012.028176246575
Imports,1996,608.2271133424657
Exports,1996,-1018.9655912328767
Total Consumption,1996,11678.757321068493
Oil Products,1996,-3039.2188219178083
Electricity,1996,-5541.697249150684
Production,1997,21999.396437452062
Imports,1997,862.3571690684932
Exports,1997,-1047.0597340821919
Total Consumption,1997,11014.412370356164
Oil Products,1997,-3335.1098356164384
Electricity,1997,-5641.34211260274
Production,1998,21794.008552191775
Imports,1998,707.350221369863
Exports,1998,-920.8540232054795
Total Consumption,1998,10929.01455679452
Oil Products,1998,-3329.9888767123284
Electricity,1998,-5915.118857698631
Production,1999-2002,22044.62186971918
Imports,1999-2002,1380.407675349315
Exports,1999-2002,-1242.9006106369864
Total Consumption,1999-2002,9686.715839568493
Oil Products,1999-2002,-4038.774773972603
Electricity,1999-2002,-6834.084974136986
Production,1999,21321.466807780816
Imports,1999,890.9477035342467
Exports,1999,-808.7802310136985
Total Consumption,1999,10062.196831698631
Oil Products,1999,-3645.4399452054795
Electricity,1999,-6142.162675698629
Production,2000,21368.191822493147
Imports,2000,1565.4750484383562
Exports,2000,-1162.8393132054796
Total Consumption,2000,9620.520191041096
Oil Products,2000,-4077.7492876712327
Electricity,2000,-6503.109548027397
Production,2001,21967.285715671234
Imports,2001,1394.4469498630137
Exports,2001,-1546.1130241369863
Total Consumption,2001,9504.259101205478
Oil Products,2001,-4098.132712328767
Electricity,2001,-6901.229581534247
Production,2002,23521.543132931503
Imports,2002,1670.760999561644
Exports,2002,-1453.869874191781
Total Consumption,2002,9559.88723432877
Oil Products,2002,-4333.777150684931
Electricity,2002,-7789.83809128767
Production,2003,26455.146213972603
Imports,2003,2124.543145260274
Exports,2003,-1611.2497135890414
Total Consumption,2003,10295.737640383562
Oil Products,2003,-4788.397808219178
Electricity,2003,-9147.430202794521
Production,2004,29989.91305969863
Imports,2004,2869.0993822739724
Exports,2004,-1478.5874776438357
Total Consumption,2004,11519.902464767123
Oil Products,2004,-5570.2577808219185
Electricity,2004,-10868.058316958904
Production,2005-2008,35975.3309250274
Imports,2005-2008,3740.633641054794
Exports,2005-2008,-1113.630412520548
Total Consumption,2005-2008,13503.179761479452
Oil Products,2005-2008,-6376.818849315068
Electricity,2005-2008,-14184.37078428082
Production,2005,32592.626525835618
Imports,2005,3023.830902712329
Exports,2005,-1321.9977118356164
Total Consumption,2005,12336.709286767124
Oil Products,2005,-5831.968904109589
Electricity,2005,-12111.338877643835
Production,2006,34708.21496153424
Imports,2006,3533.8057722739727
Exports,2006,-1200.6439187397261
Total Consumption,2006,12903.440848383561
Oil Products,2006,-6234.717260273972
Electricity,2006,-13768.091162767123
Production,2007,36640.88252427397
Imports,2007,4098.938329534247
Exports,2007,-1028.8588219452056
Total Consumption,2007,13487.541859150686
Oil Products,2007,-6593.505698630137
Electricity,2007,-15103.916046027398
Production,2008,39959.59968846576
Imports,2008,4305.95955969863
Exports,2008,-903.0211975616438
Total Consumption,2008,15285.027051616442
Oil Products,2008,-6847.083534246576
Electricity,2008,-15754.13705068493
Production,2009,41871.21107312329
Imports,2009,5813.039269479452
Exports,2009,-462.03189000000003
Total Consumption,2009,15742.748981945206
Oil Products,2009,-7452.380876712329
Electricity,2009,-16769.359361534243
Production,2010,44361.8629570411
Imports,2010,6956.66765679452
Exports,2010,-365.87413849315067
Total Consumption,2010,15806.59976849315
Oil Products,2010,-8408.293205479453
Electricity,2010,-18324.87484778082
Production,2012,50713.06134772603
Imports,2012,9192.608567424657
Exports,2012,-264.8068533972603
Total Consumption,2012,17178.2740350137
Oil Products,2012,-9235.004202986302
Electricity,2012,-21257.21516060274
Production,1971-1974,8466.649298513697
Imports,1971-1974,0.9392993356164383
Exports,1971-1974,-82.10839071232876
Total Consumption,1971-1974,6339.539021575342
Oil Products,1971-1974,-821.3317414520549
Electricity,1971-1974,-836.241664328767
Production,1972,8328.805360054794
Imports,1972,0.6632947123287671
Exports,1972,-54.15072643835616
Total Consumption,1972,6353.333147753425
Oil Products,1972,-750.2893613698631
Electricity,1972,-818.9441495890411
Production,2013,52490.80942071233
Imports,2013,10200.026697561643
Exports,2013,-223.55515972602743
Total Consumption,2013,18477.206124575343
Oil Products,2013,-9503.489250383562
Electricity,2013,-22004.82959410959
Production,2014,52075.38723347946
Imports,2014,10237.590256547945
Exports,2014,-261.1774792054794
Total Consumption,2014,21220.432598054795
Oil Products,2014,-10167.741682438356
Electricity,2014,-22267.131414986306
Production,2015,50117.81387706849
Imports,2015,9898.013848602739
Exports,2015,-304.9006681369863
Total Consumption,2015,18595.91772378082
Oil Products,2015,-10709.651875917807
Electricity,2015,-22707.96444293151
Production,2016,47405.8225819726
Imports,2016,11762.857684465753
Exports,2016,-359.73617723287674
Total Consumption,2016,18969.381866410957
Oil Products,2016,-11150.369089863014
Electricity,2016,-25519.6625349589
