flow,period,value
Electricity output in GWh,2011,698945.0
Production,2011,1207.1258879452055
Electricity,2011,-1207.1258879452055
Electricity output in GWh,1971,30000.0
Production,1971,51.81205479452055
Electricity,1971,-51.81205479452055
Electricity output in GWh,1973,38000.0
Production,1973,65.62860273972602
Electricity,1973,-65.62860273972602
Electricity output in GWh,1974,43000.0
Production,1974,74.26394520547946
Electricity,1974,-74.26394520547946
Electricity output in GWh,1975,45000.0
Production,1975,77.71808219178082
Electricity,1975,-77.71808219178082
Electricity output in GWh,1976,45600.0
Production,1976,78.75432328767124
Electricity,1976,-78.75432328767124
Electricity output in GWh,1977,47600.0
Production,1977,82.2084602739726
Electricity,1977,-82.2084602739726
Electricity output in GWh,1978,44600.0
Production,1978,77.02725479452054
Electricity,1978,-77.02725479452054
Electricity output in GWh,1979,50100.0
Production,1979,86.52613150684932
Electricity,1979,-86.52613150684932
Electricity output in GWh,1980,58210.0
Production,1980,100.53265698630138
Electricity,1980,-100.53265698630138
Electricity output in GWh,1981,65550.0
Production,1981,113.2093397260274
Electricity,1981,-113.2093397260274
Electricity output in GWh,1982,74400.0
Production,1982,128.49389589041095
Electricity,1982,-128.49389589041095
Electricity output in GWh,1983,86360.0
Production,1983,149.14963506849315
Electricity,1983,-149.14963506849315
Electricity output in GWh,1984-1987,93422.5
Production,1984-1987,161.34705630136986
Electricity,1984-1987,-161.34705630136986
Electricity output in GWh,1984,86780.0
Production,1984,149.87500383561644
Electricity,1984,-149.87500383561644
Electricity output in GWh,1985,92370.0
Production,1985,159.52931671232875
Electricity,1985,-159.52931671232875
Electricity output in GWh,1986,94530.0
Production,1986,163.25978465753425
Electricity,1986,-163.25978465753425
Electricity output in GWh,1987,100010.0
Production,1987,172.72412
Electricity,1987,-172.72412
Electricity output in GWh,1988,109150.0
Production,1988,188.50952602739727
Electricity,1988,-188.50952602739727
Electricity output in GWh,1989,118400.0
Production,1989,204.48490958904108
Electricity,1989,-204.48490958904108
Electricity output in GWh,1990,126720.0
Production,1990,218.8541194520548
Electricity,1990,-218.8541194520548
Electricity output in GWh,1991,125090.0
Production,1991,216.0389978082192
Electricity,1991,-216.0389978082192
Electricity output in GWh,1992,132470.0
Production,1992,228.78476328767127
Electricity,1992,-228.78476328767127
Electricity output in GWh,1993,151819.0
Production,1993,262.2018115616438
Electricity,1993,-262.2018115616438
Electricity output in GWh,1994,167400.0
Production,1994,289.1112657534246
Electricity,1994,-289.1112657534246
Electricity output in GWh,1995,190577.0
Production,1995,329.1395322191781
Electricity,1995,-329.1395322191781
Electricity output in GWh,1996,187966.0
Production,1996,324.63015638356165
Electricity,1996,-324.63015638356165
Electricity output in GWh,1997,195983.0
Production,1997,338.47606449315066
Electricity,1997,-338.47606449315066
Electricity output in GWh,1998,208000.0
Production,1998,359.2302465753425
Electricity,1998,-359.2302465753425
Electricity output in GWh,1999-2002,247906.75
Production,1999-2002,428.1519371643835
Electricity,1999-2002,-428.1519371643835
Electricity output in GWh,1999,203807.0
Production,1999,351.9886483835616
Electricity,1999,-351.9886483835616
Electricity output in GWh,2000,222414.0
Production,2000,384.1242118356164
Electricity,2000,-384.1242118356164
Electricity output in GWh,2001,277432.0
Production,2001,479.14406619178084
Electricity,2001,-479.14406619178084
Electricity output in GWh,2002,287974.0
Production,2002,497.3508222465753
Electricity,2002,-497.3508222465753
Electricity output in GWh,2003,283681.0
Production,2003,489.9365172054794
Electricity,2003,-489.9365172054794
Electricity output in GWh,2004,353544.0
Production,2004,610.5947033424658
Electricity,2004,-610.5947033424658
Electricity output in GWh,2005-2008,475813.5
Production,2005-2008,821.7625044657533
Electricity,2005-2008,-821.7625044657533
Electricity output in GWh,2005,397017.0
Production,2005,685.6755519452055
Electricity,2005,-685.6755519452055
Electricity output in GWh,2006,435786.0
Production,2006,752.6322703561643
Electricity,2006,-752.6322703561643
Electricity output in GWh,2007,485264.0
Production,2007,838.0841652602738
Electricity,2007,-838.0841652602738
Electricity output in GWh,2008,585187.0
Production,2008,1010.65803030137
Electricity,2008,-1010.65803030137
Electricity output in GWh,2009,615640.0
Production,2009,1063.2524471232875
Electricity,2009,-1063.2524471232875
Electricity output in GWh,2010,722172.0
Production,2010,1247.2405078356167
Electricity,2010,-1247.2405078356167
Electricity output in GWh,2012,862807.0
Production,2012,1490.126785369863
Electricity,2012,-1490.126785369863
Electricity output in GWh,1971-1974,36250.0
Production,1971-1974,62.60623287671233
Electricity,1971-1974,-62.60623287671233
Electricity output in GWh,1972,34000.0
Production,1972,58.72032876712329
Electricity,1972,-58.72032876712329
Electricity output in GWh,2013,909234.0
Production,2013,1570.3093943013698
Electricity,2013,-1570.3093943013698
Electricity output in GWh,2014,1051137.0
Production,2014,1815.3855946849317
Electricity,2014,-1815.3855946849317
Electricity output in GWh,2015,1114470.0
Production,2015,1924.7660235616438
Electricity,2015,-1924.7660235616438
Electricity output in GWh,2016,1162574.0
Production,2016,2007.483587479452
Electricity,2016,-2007.483587479452
