flow,period,value
Electricity output in GWh,2011,86350.0
Production,2011,451.9162490136986
Electricity,2011,-451.9162490136986
Electricity output in GWh,1993,1604.0
Production,1993,8.39459715068493
Electricity,1993,-8.39459715068493
Electricity output in GWh,1994,14756.0
Production,1994,77.22612873972602
Electricity,1994,-77.22612873972602
Electricity output in GWh,1995,12833.0
Production,1995,67.16203873972603
Electricity,1995,-67.16203873972603
Electricity output in GWh,1996,14339.0
Production,1996,75.04373671232877
Electricity,1996,-75.04373671232877
Electricity output in GWh,1997,14418.0
Production,1997,75.45718887671234
Electricity,1997,-75.45718887671234
Electricity output in GWh,1998,14100.0
Production,1998,73.79291739726028
Electricity,1998,-73.79291739726028
Electricity output in GWh,1999-2002,18571.25
Production,1999-2002,97.19339515753425
Electricity,1999-2002,-97.19339515753425
Electricity output in GWh,1999,14949.0
Production,1999,78.23620273972602
Electricity,1999,-78.23620273972602
Electricity output in GWh,2000,16737.0
Production,2000,87.59378115068493
Electricity,2000,-87.59378115068493
Electricity output in GWh,2001,17472.0
Production,2001,91.44042457534248
Electricity,2001,-91.44042457534248
Electricity output in GWh,2002,25127.0
Production,2002,131.50317216438356
Electricity,2002,-131.50317216438356
Electricity output in GWh,2003,43342.0
Production,2003,226.83213161643837
Electricity,2003,-226.83213161643837
Electricity output in GWh,2004,50469.0
Production,2004,264.13156961643836
Electricity,2004,-264.13156961643836
Electricity output in GWh,2005-2008,59613.75
Production,2005-2008,311.9910022397261
Electricity,2005-2008,-311.9910022397261
Electricity output in GWh,2005,53088.0
Production,2005,277.8382278082192
Electricity,2005,-277.8382278082192
Electricity output in GWh,2006,54843.0
Production,2006,287.02307928767124
Electricity,2006,-287.02307928767124
Electricity output in GWh,2007,62130.0
Production,2007,325.1599045205479
Electricity,2007,-325.1599045205479
Electricity output in GWh,2008,68394.0
Production,2008,357.9427973424657
Electricity,2008,-357.9427973424657
Electricity output in GWh,2009,70134.0
Production,2009,367.0491475342466
Electricity,2009,-367.0491475342466
Electricity output in GWh,2010,73880.0
Production,2010,386.65400569863016
Electricity,2010,-386.65400569863016
Electricity output in GWh,2012,97394.0
Production,2012,509.7154879726028
Electricity,2012,-509.7154879726028
Electricity output in GWh,2013,111566.0
Production,2013,583.8852276164383
Electricity,2013,-583.8852276164383
Electricity output in GWh,2014,132538.0
Production,2014,693.6430410410959
Electricity,2014,-693.6430410410959
Electricity output in GWh,2015,170789.0
Production,2015,893.8312050410959
Electricity,2015,-893.8312050410959
Electricity output in GWh,2016,213287.0
Production,2016,1116.0453563287672
Electricity,2016,-1116.0453563287672
