flow,period,value
Other,2011,218.23317808219178
Electricity output in GWh,2011,72877.0
Production,2011,344.0950215890411
Total Consumption,2011,218.23317808219178
Electricity,2011,-125.86184350684933
Other,1990,0.6464457534246575
Electricity output in GWh,1990,4.0
Production,1990,0.6533540273972602
Total Consumption,1990,0.6464457534246575
Electricity,1990,-0.006908273972602739
Other,1991,1.2214390684931506
Electricity output in GWh,1991,11.0
Production,1991,1.2404368219178081
Total Consumption,1991,1.2214390684931506
Electricity,1991,-0.018997753424657534
Other,1992,1.9398393150684932
Electricity output in GWh,1992,17.0
Production,1992,1.9691994794520549
Total Consumption,1992,1.9398393150684932
Electricity,1992,-0.029360164383561645
Other,1993,3.0174095616438357
Electricity output in GWh,1993,26.0
Production,1993,3.0623133424657536
Total Consumption,1993,3.0174095616438357
Electricity,1993,-0.04490378082191781
Other,1994,4.310783041095891
Electricity output in GWh,1994,45.0
Production,1994,4.3885011232876705
Total Consumption,1994,4.310783041095891
Electricity,1994,-0.07771808219178082
Other,1995,5.388373369863014
Electricity output in GWh,1995,71.0
Production,1995,5.510995232876713
Total Consumption,1995,5.388373369863014
Electricity,1995,-0.12262186301369862
Other,1996,6.825133698630137
Electricity output in GWh,1996,107.0
Production,1996,7.00993002739726
Total Consumption,1996,6.825133698630137
Electricity,1996,-0.18479632876712332
Other,1997,8.621586164383562
Electricity output in GWh,1997,217.0
Production,1997,8.99636002739726
Total Consumption,1997,8.621586164383562
Electricity,1997,-0.37477386301369864
Other,1998,10.776726657534246
Electricity output in GWh,1998,384.0
Production,1998,11.439920958904109
Total Consumption,1998,10.776726657534246
Electricity,1998,-0.663194301369863
Other,1999-2002,21.194514260273973
Electricity output in GWh,1999-2002,708.0
Production,1999-2002,22.417278753424657
Total Consumption,1999-2002,21.194514260273973
Electricity,1999-2002,-1.222764493150685
Other,1999,14.369129534246575
Electricity output in GWh,1999,511.0
Production,1999,15.251661534246574
Total Consumption,1999,14.369129534246575
Electricity,1999,-0.8825320000000001
Other,2000,18.679932657534245
Electricity output in GWh,2000,635.0
Production,2000,19.77662115068493
Total Consumption,2000,18.679932657534245
Electricity,2000,-1.0966884931506848
Other,2001,22.990715698630133
Electricity output in GWh,2001,773.0
Production,2001,24.325739643835615
Total Consumption,2001,22.990715698630133
Electricity,2001,-1.3350239452054795
Other,2002,28.738279150684928
Electricity output in GWh,2002,913.0
Production,2002,30.315092684931503
Total Consumption,2002,28.738279150684928
Electricity,2002,-1.5768135342465752
Other,2003,35.92260293150685
Electricity output in GWh,2003,1102.0
Production,2003,37.8258324109589
Total Consumption,2003,35.92260293150685
Electricity,2003,-1.9032294794520548
Other,2004,43.10740868493151
Electricity output in GWh,2004,1400.0
Production,2004,45.52530457534247
Total Consumption,2004,43.10740868493151
Electricity,2004,-2.417895890410959
Other,2005-2008,79.4866856780822
Electricity output in GWh,2005-2008,6706.0
Production,2005-2008,91.06840699315067
Total Consumption,2005-2008,79.4866856780822
Electricity,2005-2008,-11.581721315068492
Other,2005,55.32139772602739
Electricity output in GWh,2005,2102.0
Production,2005,58.95169569863014
Total Consumption,2005,55.32139772602739
Electricity,2005,-3.6302979726027393
Other,2006,69.07382323287672
Electricity output in GWh,2006,3953.0
Production,2006,75.90092498630138
Total Consumption,2006,69.07382323287672
Electricity,2006,-6.827101753424658
Other,2007,84.9698821369863
Electricity output in GWh,2007,5816.0
Production,2007,95.0145124931507
Total Consumption,2007,84.9698821369863
Electricity,2007,-10.044630356164385
Other,2008,108.58163961643835
Electricity output in GWh,2008,14953.0
Production,2008,134.40649479452054
Total Consumption,2008,108.58163961643835
Electricity,2008,-25.824855178082192
Other,2009,144.17238432876712
Electricity output in GWh,2009,27222.0
Production,2009,191.1866428493151
Total Consumption,2009,144.17238432876712
Electricity,2009,-47.01425852054795
Other,2010,168.6401653150685
Electricity output in GWh,2010,45562.0
Production,2010,247.32886
Total Consumption,2010,168.6401653150685
Electricity,2010,-78.6886946849315
Other,2012,258.6866849589041
Electricity output in GWh,2012,102344.0
Production,2012,435.4400557534247
Total Consumption,2012,258.6866849589041
Electricity,2012,-176.75337079452052
Residential,2013,338.4782534520548
Commercial,2013,37.60874391780822
Electricity output in GWh,2013,154788.0
Production,2013,643.5077689315069
Total Consumption,2013,376.0870174520548
Electricity,2013,-267.4207715616438
Residential,2014,360.2259417260274
Commercial,2014,40.02527421917809
Electricity output in GWh,2014,185315.0
Production,2014,720.4221015616438
Total Consumption,2014,400.25121594520544
Electricity,2014,-320.17088561643834
Residential,2015,385.04907709589037
Commercial,2015,42.783221863013694
Electricity output in GWh,2015,231026.0
Production,2015,826.9248728493151
Total Consumption,2015,427.8322989589041
Electricity,2015,-399.09257389041096
Residential,2016,403.83442117808215
Commercial,2016,44.870283726027395
Electricity output in GWh,2016,312370.0
Production,2016,988.1934881095889
Total Consumption,2016,448.7047049041096
Electricity,2016,-539.4888032876712
