product,flow,value
Coal and coal products,Industry,26.6752355890411
"Crude, NGL and feedstocks",Industry,11.732297589041096
Coal and coal products,Transport,0.03916027397260274
Coal and coal products,Residential,2.571504575342466
"Crude, NGL and feedstocks",Commercial,0.10131465753424657
Gas,Industry,15.523433835616439
Combustible renewables and waste,Industry,15.729376712328767
Gas,Transport,0.050486630136986295
Gas,Residential,1.2433487397260272
Combustible renewables and waste,Residential,67.93090553424658
Gas,Commercial,0.21923728767123288
Combustible renewables and waste,Other,22.076674739726027
Oil Products,Industry,11.026308136986302
Oil Products,Transport,108.69430071232875
Oil Products,Residential,10.676998493150684
Oil Products,Commercial,3.890723835616438
Oil Products,Other,17.20887194520548
Electricity,Industry,12.339904383561644
Electricity,Residential,19.001207561643838
Electricity,Commercial,7.298591452054794
Electricity,Other,2.281457479452055
Coal and coal products,Electricity output in GWh,3266.0
Gas,Electricity output in GWh,4758.0
Hydro,Electricity output in GWh,24377.0
Combustible renewables and waste,Electricity output in GWh,274.0
Oil Products,Electricity output in GWh,337.0
Coal and coal products,Production,195.40832120547947
"Crude, NGL and feedstocks",Production,396.8142090684932
Gas,Production,63.37248898630137
Hydro,Production,42.10074865753425
Combustible renewables and waste,Production,109.00412876712328
Coal and coal products,Exports,-133.09599120547944
"Crude, NGL and feedstocks",Exports,-151.28372942465754
Coal and coal products,Total Consumption,29.285900438356162
"Crude, NGL and feedstocks",Total Consumption,11.833612246575342
Gas,Total Consumption,17.036506493150686
Combustible renewables and waste,Total Consumption,105.73695698630138
Oil Products,Imports,26.888970356164382
Electricity,Imports,0.2832392328767123
Oil Products,Exports,-71.18799605479452
Oil Products,Total Consumption,151.49720312328768
Electricity,Total Consumption,40.92116087671233
Electricity,Production,90.52292947945205
Coal and coal products,Electricity,-18.547691424657533
"Crude, NGL and feedstocks",Electricity,-0.1621034520547945
Gas,Electricity,-26.395892301369866
Hydro,Electricity,-42.10074865753425
Combustible renewables and waste,Electricity,-1.5394004109589043
Oil Products,Electricity,-1.7770932328767124
"Crude, NGL and feedstocks",Oil Products,-252.47913890410962
All products,Heat and Waste,83.37356879452054
All products,Industry,93.02655624657535
All products,Transport,108.78394761643835
All products,Residential,101.4239649041096
All products,Commercial,11.50984715068493
All products,Other,41.56700416438356
All products,Total Consumption,356.3113401643836
All primary,Production,806.6998966849316
All primary,Exports,-284.37972063013694
All primary,Total Consumption,163.89297616438358
All primary,Oil Products,-252.47913890410962
All primary,Electricity,-90.52292947945205
Oil Products,Production,215.69015005479454
All products,Hydrocarbon Heat and Waste,36.788988849315075
All products,Electricity Heat and Waste,46.58457994520546
