flow,period,value
Industry,1971-1974,6.13886495890411
Residential,1971-1974,5.761068726027397
Commercial,1971-1974,3.389803684931507
Other,1971-1974,0.6998945068493151
Imports,1971-1974,0.009930643835616438
Total Consumption,1971-1974,15.98963187671233
Production,1971-1974,34.00892569178082
Industry,1971,6.379791013698631
Residential,1971,5.828856164383561
Commercial,1971,3.0223698630136986
Total Consumption,1971,15.23101704109589
Production,1971,31.899336630136986
Industry,1972,5.533527452054794
Residential,1972,6.179451068493151
Commercial,1972,2.9947367671232876
Other,1972,0.345413698630137
Total Consumption,1972,15.053128986301372
Production,1972,31.127176356164384
Industry,1973,5.956659232876711
Residential,1973,5.652695178082192
Commercial,1973,3.3090632328767122
Other,1973,0.5163934794520548
Total Consumption,1973,15.434811123287673
Production,1973,35.45047060273973
Industry,1974,6.685482136986302
Residential,1974,5.3832724931506855
Commercial,1974,4.233044876712329
Other,1974,1.9377708493150687
Imports,1974,0.03972257534246575
Total Consumption,1974,18.239570356164386
Production,1974,37.55871917808219
Industry,1975,7.137974082191781
Residential,1975,7.08443495890411
Commercial,1975,3.6803829589041097
Other,1975,0.925708712328767
Total Consumption,1975,18.82850071232877
Production,1975,37.53604638356165
Industry,1976,7.6871818630136985
Residential,1976,7.830528547945205
Commercial,1976,3.9757116712328773
Other,1976,1.0759636712328766
Total Consumption,1976,20.56938575342466
Production,1976,41.220526109589045
Industry,1977,7.766627013698631
Residential,1977,8.174215178082193
Commercial,1977,4.215774191780822
Other,1977,1.1605900273972602
Total Consumption,1977,21.317206410958907
Production,1977,44.66361789041096
Industry,1978,8.160398630136987
Residential,1978,9.531691013698632
Commercial,1978,4.5542796164383565
Other,1978,1.4179232328767124
Total Consumption,1978,23.66429249315069
Production,1978,50.23170679452055
Industry,1979,8.72687709589041
Residential,1979,10.773453260273971
Commercial,1979,4.79261506849315
Other,1979,1.4610999452054791
Total Consumption,1979,25.754045369863018
Production,1979,55.5487281369863
Industry,1980,8.723422958904111
Residential,1980,11.835600383561644
Commercial,1980,5.277921315068492
Other,1980,1.7408850410958905
Total Consumption,1980,27.577829698630136
Production,1980,59.30014180821917
Industry,1981,9.341713479452054
Residential,1981,12.02730498630137
Commercial,1981,5.416086794520549
Other,1981,1.5422721643835615
Total Consumption,1981,28.32737742465753
Production,1981,60.543711452054794
Industry,1982,9.595592547945206
Residential,1982,13.67147419178082
Commercial,1982,5.7684087671232875
Other,1982,1.6856188493150686
Total Consumption,1982,30.721094356164386
Production,1982,65.4319579178082
Industry,1983,10.134437917808219
Residential,1983,14.24486093150685
Commercial,1983,6.362520328767123
Other,1983,0.6752837808219178
Total Consumption,1983,31.41710295890411
Production,1983,69.81108065753425
Industry,1984-1987,11.364974219178082
Residential,1984-1987,16.646781438356165
Commercial,1984-1987,7.4207815479452055
Other,1984-1987,1.141160506849315
Imports,1984-1987,0.031519
Total Consumption,1984-1987,36.573697712328766
Production,1984-1987,80.30213311643836
Industry,1984,11.529909260273971
Residential,1984,15.23101704109589
Commercial,1984,6.4834151232876716
Other,1984,0.7115522191780822
Total Consumption,1984,33.955893643835616
Production,1984,74.03894432876713
Industry,1985,10.642196054794521
Residential,1985,16.098005424657536
Commercial,1985,6.813285205479452
Other,1985,0.7201875616438356
Total Consumption,1985,34.27367424657535
Production,1985,76.59566841095891
Industry,1986,11.531636328767124
Residential,1986,17.035803616438358
Commercial,1986,8.887494465753425
Other,1986,1.129502794520548
Total Consumption,1986,38.58443720547945
Production,1986,82.87326115068493
Industry,1987,11.756155232876715
Residential,1987,18.222299671232875
Commercial,1987,7.498931397260273
