flow,period,value
Electricity output in GWh,2004,52.0
Production,2004,0.08980756164383563
Electricity,2004,-0.08980756164383563
Electricity output in GWh,2005-2008,53.75
Production,2005-2008,0.09282993150684933
Electricity,2005-2008,-0.09282993150684933
Electricity output in GWh,2005,49.0
Production,2005,0.08462635616438358
Electricity,2005,-0.08462635616438358
Electricity output in GWh,2006,63.0
Production,2006,0.10880531506849316
Electricity,2006,-0.10880531506849316
Electricity output in GWh,2007,49.0
Production,2007,0.08462635616438358
Electricity,2007,-0.08462635616438358
Electricity output in GWh,2008,54.0
Production,2008,0.09326169863013699
Electricity,2008,-0.09326169863013699
Electricity output in GWh,2009,58.0
Production,2009,0.10016997260273973
Electricity,2009,-0.10016997260273973
Electricity output in GWh,2010,39.0
Production,2010,0.06735567123287671
Electricity,2010,-0.06735567123287671
Electricity output in GWh,2011,41.0
Production,2011,0.07080980821917808
Electricity,2011,-0.07080980821917808
Electricity output in GWh,2012,55.0
Production,2012,0.09498876712328767
Electricity,2012,-0.09498876712328767
Electricity output in GWh,2013,55.0
Production,2013,0.09498876712328767
Electricity,2013,-0.09498876712328767
Electricity output in GWh,2014,58.0
Production,2014,0.10016997260273973
Electricity,2014,-0.10016997260273973
Electricity output in GWh,2015,58.0
Production,2015,0.10016997260273973
Electricity,2015,-0.10016997260273973
Electricity output in GWh,2016,51.0
Production,2016,0.0880604109589041
Electricity,2016,-0.0880604109589041
