product,flow,value
Coal and coal products,Industry,0.012611616438356166
Combustible renewables and waste,Industry,2.814554321917808
Combustible renewables and waste,Residential,8.606479335616438
Oil Products,Industry,2.1931510616438357
Oil Products,Transport,5.33085797260274
Oil Products,Residential,0.5899143835616438
Oil Products,Other,0.004794623287671233
Electricity,Industry,0.6118140136986302
Electricity,Transport,0.018997753424657534
Electricity,Residential,1.284507191780822
Electricity,Commercial,0.04144964383561644
Hydro,Electricity output in GWh,1126.25
Combustible renewables and waste,Electricity output in GWh,7.75
Oil Products,Electricity output in GWh,173.5
Hydro,Production,1.945110890410959
Combustible renewables and waste,Production,11.71727610958904
Coal and coal products,Imports,0.012611616438356166
"Crude, NGL and feedstocks",Imports,8.291314438356165
Coal and coal products,Total Consumption,0.012611616438356166
Combustible renewables and waste,Total Consumption,11.421033657534249
Oil Products,Imports,2.436381547945206
Oil Products,Exports,-0.19281916438356164
Oil Products,Total Consumption,8.11871804109589
Electricity,Total Consumption,1.9567686027397262
Electricity,Production,2.9653766027397266
Hydro,Electricity,-1.945110890410959
Combustible renewables and waste,Electricity,-0.05418677397260274
Oil Products,Electricity,-0.9660789383561643
"Crude, NGL and feedstocks",Oil Products,-8.271091671232877
All products,Industry,5.632125993150685
All products,Transport,5.349860746575343
All products,Residential,10.480900910958905
All products,Commercial,0.04144964383561644
All products,Other,0.004794623287671233
All products,Total Consumption,21.509131917808222
All primary,Production,13.662386999999999
All primary,Imports,8.303926054794522
All primary,Total Consumption,11.433645273972605
All primary,Oil Products,-8.271091671232877
All primary,Electricity,-2.9653766027397266
Oil Products,Production,7.940172294520547
