product,flow,value
Coal and coal products,Industry,0.4287748767123287
Combustible renewables and waste,Industry,7.129178082191781
Combustible renewables and waste,Residential,6.28938098630137
Combustible renewables and waste,Commercial,0.3980290410958904
Oil Products,Industry,5.7422818356164385
Oil Products,Transport,26.422179890410963
Oil Products,Residential,1.1326958630136985
Oil Products,Commercial,0.5851749863013698
Oil Products,Other,2.2093222465753426
Electricity,Industry,3.20198498630137
Electricity,Residential,5.500713150684932
Electricity,Commercial,4.141510246575343
Electricity,Other,0.6476506849315069
Hydro,Electricity output in GWh,6601.0
Geothermal,Electricity output in GWh,1215.0
Solar/Wind/Other,Electricity output in GWh,274.0
Combustible renewables and waste,Electricity output in GWh,75.0
Oil Products,Electricity output in GWh,533.0
Hydro,Production,11.400379123287673
Geothermal,Production,24.399200301369866
Solar/Wind/Other,Production,0.4732167671232877
Combustible renewables and waste,Production,14.244941260273972
Coal and coal products,Imports,0.8227874794520548
"Crude, NGL and feedstocks",Imports,13.468342821917808
Coal and coal products,Total Consumption,0.4287748767123287
Combustible renewables and waste,Total Consumption,13.816588109589041
Oil Products,Imports,32.18743575342466
Electricity,Imports,0.25733320547945204
Oil Products,Exports,-2.2945711506849316
Electricity,Exports,-0.1036241095890411
Oil Products,Total Consumption,36.091674904109595
Electricity,Total Consumption,13.49185906849315
Electricity,Production,32.563615369863015
Hydro,Electricity,-11.400379123287673
Geothermal,Electricity,-17.7140997260274
Solar/Wind/Other,Electricity,-0.4732167671232877
Combustible renewables and waste,Electricity,-0.2848658904109589
Oil Products,Electricity,-2.691053863013699
"Crude, NGL and feedstocks",Oil Products,-13.731238794520547
All products,Heat and Waste,19.087199506849316
All products,Industry,16.502219780821918
All products,Transport,26.422179890410963
All products,Residential,12.92279
All products,Commercial,5.124734356164383
All products,Other,2.8569729315068493
All products,Total Consumption,63.82889695890411
All primary,Production,50.5177374520548
All primary,Imports,14.291130301369863
All primary,Total Consumption,14.24536298630137
All primary,Oil Products,-13.731238794520547
All primary,Electricity,-32.563615369863015
Oil Products,Production,13.679527150684933
All products,Hydrocarbon Heat and Waste,0.05171164383561333
All products,Electricity Heat and Waste,19.035487863013703
