flow,period,value
Industry,1971-1974,5.632125993150685
Transport,1971-1974,5.349860746575343
Residential,1971-1974,10.480900910958905
Commercial,1971-1974,0.04144964383561644
Other,1971-1974,0.004794623287671233
Total Consumption,1971-1974,21.509131917808222
Heat and Waste,1971,0.8116619452054792
Industry,1971,5.2562325479452054
Transport,1971,4.535101123287671
Residential,1971,10.336946739726026
Commercial,1971,0.0345413698630137
Total Consumption,1971,20.16282178082192
Hydrocarbon Heat and Waste,1971,0.3961212328767125
Electricity Heat and Waste,1971,0.41554071232876666
Heat and Waste,1972,0.9835253424657546
Industry,1972,5.6151816438356175
Transport,1972,5.146021479452054
Residential,1972,10.459247287671234
Commercial,1972,0.03972257534246575
Total Consumption,1972,21.26019306849315
Hydrocarbon Heat and Waste,1972,0.34824528767123386
Electricity Heat and Waste,1972,0.6352800547945208
Heat and Waste,1973,1.1878616438356175
Industry,1973,6.162300876712328
Transport,1973,5.634219561643835
Residential,1973,10.535198136986303
Commercial,1973,0.044903780821917816
Total Consumption,1973,22.376622356164386
Hydrocarbon Heat and Waste,1973,0.3024779726027411
Electricity Heat and Waste,1973,0.8853836712328764
Heat and Waste,1974,1.1695667671232872
Industry,1974,5.49478890410959
Transport,1974,6.084100821917807
Residential,1974,10.592211479452054
Commercial,1974,0.046630849315068494
Other,1974,0.01917849315068493
Total Consumption,1974,22.236890465753426
Hydrocarbon Heat and Waste,1974,0.27683301369862967
Electricity Heat and Waste,1974,0.8927337534246576
Heat and Waste,1975,1.288955397260274
Industry,1975,5.999896191780822
Transport,1975,6.607643561643835
Residential,1975,10.698948328767125
Commercial,1975,0.056993260273972605
Other,1975,0.0959326301369863
Total Consumption,1975,23.459393890410958
Hydrocarbon Heat and Waste,1975,0.2602250410958904
Electricity Heat and Waste,1975,1.0287303561643837
Heat and Waste,1976,1.0844986027397265
Industry,1976,6.088699643835617
Transport,1976,7.219146301369864
Residential,1976,10.910433890410959
Commercial,1976,0.058720328767123284
Other,1976,0.0959326301369863
Total Consumption,1976,24.37297295890411
Hydrocarbon Heat and Waste,1976,0.20732854794520517
Electricity Heat and Waste,1976,0.8771700547945214
Heat and Waste,1977,2.1459629315068485
Industry,1977,6.890119671232877
Transport,1977,7.847257013698631
Residential,1977,10.930897643835616
Commercial,1977,0.06390153424657534
Other,1977,0.26859931506849316
Total Consumption,1977,26.000775178082193
Hydrocarbon Heat and Waste,1977,0.19515873972602638
Electricity Heat and Waste,1977,1.950804191780822
Heat and Waste,1978,2.417855726027396
Industry,1978,7.397777397260273
Transport,1978,8.725471342465752
Residential,1978,11.149833698630138
Commercial,1978,0.07599101369863014
Other,1978,0.36453194520547944
Total Consumption,1978,27.713605397260274
Hydrocarbon Heat and Waste,1978,0.3979085479452049
Electricity Heat and Waste,1978,2.019947178082191
Heat and Waste,1979,2.1246356438356173
Industry,1979,7.6827236164383566
Transport,1979,8.90862093150685
Residential,1979,11.14866893150685
Commercial,1979,0.0794451506849315
Other,1979,0.32617495890410964
Total Consumption,1979,28.145633589041097
Hydrocarbon Heat and Waste,1979,0.4330724657534244
Electricity Heat and Waste,1979,1.691563178082193
Heat and Waste,1980,0.593830410958903
Industry,1980,7.592132849315068
Transport,1980,8.831083589041096
Residential,1980,11.383811315068492
Commercial,1980,0.07426394520547945
Other,1980,0.2877978904109589
Total Consumption,1980,28.16906950684932
Hydrocarbon Heat and Waste,1980,0.21586347945205375
Electricity Heat and Waste,1980,0.37796693150684924
Heat and Waste,1981,0.9984664931506853
Industry,1981,8.191626438356163
Transport,1981,7.808056575342466
Residential,1981,11.344811698630137
Commercial,1981,0.12089479452054794
Other,1981,0.23024232876712328
Total Consumption,1981,27.695611753424657
Hydrocarbon Heat and Waste,1981,0.7130583835616431
Electricity Heat and Waste,1981,0.28540810958904217
Heat and Waste,1982,0.8181685753424635
Industry,1982,6.165152547945205
Transport,1982,6.965789369863014
Residential,1982,11.40521893150685
Commercial,1982,0.126076
Other,1982,0.1918652602739726
Total Consumption,1982,24.854102109589043
Hydrocarbon Heat and Waste,1982,0.5068142739726014
Electricity Heat and Waste,1982,0.3113543013698621
Heat and Waste,1983,0.6079682739726024
Industry,1983,6.794588684931507
Transport,1983,7.2265164657534235
Residential,1983,11.49370106849315
Commercial,1983,0.12780306849315068
Other,1983,0.23024232876712328
Total Consumption,1983,25.872851616438357
Hydrocarbon Heat and Waste,1983,0.28793846575342474
Electricity Heat and Waste,1983,0.3200298082191777
Industry,1984-1987,8.084407616438357
Transport,1984-1987,8.391805726027398
Residential,1984-1987,14.71113930136986
Commercial,1984-1987,0.14205138356164385
Other,1984-1987,0.3021867808219178
Total Consumption,1984-1987,31.63159080821918
Heat and Waste,1984,0.4194969041095895
Industry,1984,7.9808638356164385
Transport,1984,7.7301778356164395
Residential,1984,13.737845835616438
Commercial,1984,0.1364384109589041
Other,1984,0.24942082191780823
