product,flow,value
Coal and coal products,Industry,2.770659671232877
Coal and coal products,Residential,0.33065328767123287
Coal and coal products,Commercial,0.050486630136986295
Gas,Industry,10.598838602739725
Combustible renewables and waste,Industry,1.1495046575342467
Gas,Residential,11.279424082191783
Combustible renewables and waste,Residential,5.999333890410958
Gas,Commercial,2.479789205479452
Gas,Other,8.221328
Oil Products,Industry,10.049731232876713
Oil Products,Transport,37.352475068493156
Oil Products,Residential,6.865177589041096
Oil Products,Commercial,2.978048465753425
Oil Products,Other,10.115821726027397
Electricity,Industry,6.041285589041095
Electricity,Transport,0.45076487671232884
Electricity,Residential,10.93752476712329
Electricity,Commercial,7.353857643835616
Electricity,Other,0.11571358904109588
Heat,Industry,1.076144410958904
Heat,Residential,3.297475808219178
Heat,Commercial,0.7965601369863013
Coal and coal products,Electricity output in GWh,2328.0
Gas,Electricity output in GWh,1814.0
Hydro,Electricity output in GWh,6333.0
Solar/Wind/Other,Electricity output in GWh,10.0
Combustible renewables and waste,Electricity output in GWh,14.0
Oil Products,Electricity output in GWh,1855.0
"Crude, NGL and feedstocks",Production,20.768741671232874
Gas,Production,37.44658021917808
Hydro,Production,10.93752476712329
Solar/Wind/Other,Production,0.01727068493150685
Combustible renewables and waste,Production,7.233725972602739
Coal and coal products,Imports,12.53779430136986
"Crude, NGL and feedstocks",Imports,87.57271493150685
Gas,Imports,18.598780520547948
Gas,Exports,-7.32411591780822
Coal and coal products,Total Consumption,3.1517995890410955
Gas,Total Consumption,32.579379890410955
Combustible renewables and waste,Total Consumption,7.148838547945205
Oil Products,Imports,23.399187479452053
Electricity,Imports,15.10494104109589
Oil Products,Exports,-38.48278115068493
Electricity,Exports,-6.27616690410959
Oil Products,Total Consumption,67.36127416438356
Electricity,Total Consumption,24.89914646575343
Electricity,Production,41.30533320547945
Coal and coal products,Electricity,-10.78339394520548
Gas,Electricity,-9.84274408219178
Hydro,Electricity,-10.937524767123286
Solar/Wind/Other,Electricity,-0.01727068493150685
Combustible renewables and waste,Electricity,-0.08488742465753425
Oil Products,Electricity,-9.639512301369864
"Crude, NGL and feedstocks",Oil Products,-105.2865535890411
All products,Heat and Waste,24.206029698630147
All products,Industry,31.686184246575348
All products,Transport,37.80326002739726
All products,Residential,38.70958942465754
All products,Commercial,13.658742082191782
All products,Other,18.452883397260273
All products,Total Consumption,135.14043865753425
All primary,Production,76.40384331506849
All primary,Imports,118.70928975342466
All primary,Exports,-7.32411591780822
All primary,Total Consumption,42.880018027397256
All primary,Oil Products,-105.2865535890411
All primary,Electricity,-41.30533320547945
Oil Products,Production,104.73003589041096
All products,Hydrocarbon Heat and Waste,0.5565176986301452
All products,Electricity Heat and Waste,23.649512
