flow,period,value
Heat and Waste,1990,23.006761369863028
Industry,1990,44.87952153424657
Transport,1990,27.519752
Residential,1990,27.573371452054797
Commercial,1990,7.126045260273973
Other,1990,23.03652317808219
Total Consumption,1990,126.8664953150685
Hydrocarbon Heat and Waste,1990,1.4187867671232937
Electricity Heat and Waste,1990,21.587974602739735
Heat and Waste,1991,17.382884136986306
Industry,1991,32.8509714520548
Transport,1991,20.64764605479452
Residential,1991,27.290433452054796
Commercial,1991,6.6968084931506855
Other,1991,20.122195506849316
Total Consumption,1991,103.52313632876712
Hydrocarbon Heat and Waste,1991,0.5589677260274044
Electricity Heat and Waste,1991,16.8239164109589
Heat and Waste,1992,21.977308054794506
Industry,1992,27.892457397260277
Transport,1992,19.596303150684932
Residential,1992,24.495976383561644
Commercial,1992,5.734510027397261
Other,1992,20.645677999999997
Total Consumption,1992,93.44707734246575
Hydrocarbon Heat and Waste,1992,1.0564638630136898
Electricity Heat and Waste,1992,20.920844191780816
Heat and Waste,1993,23.741608931506846
Industry,1993,26.69905306849315
Transport,1993,20.487831972602738
Residential,1993,24.51885
Commercial,1993,7.205912136986302
Other,1993,19.22168994520548
Total Consumption,1993,93.43081076712329
Hydrocarbon Heat and Waste,1993,1.0373857808219213
Electricity Heat and Waste,1993,22.704223150684925
Heat and Waste,1994,18.216455753424682
Industry,1994,27.487259013698633
Transport,1994,21.57367608219178
Residential,1994,25.102639315068494
Commercial,1994,7.9367633424657535
Other,1994,20.396819479452056
Total Consumption,1994,98.02005347945206
Hydrocarbon Heat and Waste,1994,1.307190027397283
Electricity Heat and Waste,1994,16.9092657260274
Heat and Waste,1995,18.17611063013699
Industry,1995,25.226124712328765
Transport,1995,22.882432520547948
Residential,1995,28.182926219178082
Commercial,1995,8.83216802739726
Other,1995,20.420657041095893
Total Consumption,1995,100.53771769863013
Hydrocarbon Heat and Waste,1995,0.24556504109590094
Electricity Heat and Waste,1995,17.93054558904109
Heat and Waste,1996,21.516502082191764
Industry,1996,25.534285945205482
Transport,1996,24.08605868493151
Residential,1996,30.870867342465758
Commercial,1996,8.731455835616439
Other,1996,18.816712465753426
Total Consumption,1996,102.80596109589041
Hydrocarbon Heat and Waste,1996,0.2928586027397131
Electricity Heat and Waste,1996,21.22364347945205
Heat and Waste,1997,22.399455808219187
Industry,1997,29.147594383561646
