flow,period,value
Electricity output in GWh,2004,2.0
Production,2004,0.0034541369863013696
Electricity,2004,-0.0034541369863013696
Residential,2005-2008,0.04052084246575342
Electricity output in GWh,2005-2008,26.0
Production,2005-2008,0.08542462328767124
Total Consumption,2005-2008,0.04052084246575342
Electricity,2005-2008,-0.0449037808219178
Electricity output in GWh,2005,10.0
Production,2005,0.01727068493150685
Electricity,2005,-0.01727068493150685
Electricity output in GWh,2006,19.0
Production,2006,0.03281430136986301
Electricity,2006,-0.03281430136986301
Residential,2007,0.07432419178082192
Electricity output in GWh,2007,35.0
Production,2007,0.1347715890410959
Total Consumption,2007,0.07432419178082192
Electricity,2007,-0.06044739726027397
Residential,2008,0.08775917808219177
Electricity output in GWh,2008,40.0
Production,2008,0.15684191780821916
Total Consumption,2008,0.08775917808219177
Electricity,2008,-0.0690827397260274
Residential,2009,0.09591254794520548
Electricity output in GWh,2009,54.0
Production,2009,0.18917424657534246
Total Consumption,2009,0.09591254794520548
Electricity,2009,-0.09326169863013699
Residential,2010,0.10454789041095891
Electricity output in GWh,2010,139.0
Production,2010,0.34461041095890416
Total Consumption,2010,0.10454789041095891
Electricity,2010,-0.24006252054794522
Residential,2011,0.12181857534246575
Electricity output in GWh,2011,201.0
Production,2011,0.46895934246575344
Total Consumption,2011,0.12181857534246575
Electricity,2011,-0.3471407671232877
Residential,2012,0.14290487671232877
Electricity output in GWh,2012,331.0
Production,2012,0.7145645479452054
Total Consumption,2012,0.14290487671232877
Electricity,2012,-0.5716596712328768
Residential,2013,0.1635292876712329
Electricity output in GWh,2013,528.0
Production,2013,1.0754214520547947
Total Consumption,2013,0.1635292876712329
Electricity,2013,-0.9118921643835617
Residential,2014,0.18463567123287672
Electricity output in GWh,2014,765.0
Production,2014,1.5058430684931505
Total Consumption,2014,0.18463567123287672
Electricity,2014,-1.321207397260274
Residential,2015,2.768028904109589
Commercial,2015,0.8540956164383563
Other,2015,0.053719863013698625
Electricity output in GWh,2015,5777.0
Production,2015,13.690050219178083
Total Consumption,2015,3.675844383561644
Electricity,2015,-9.977274684931507
Residential,2016,0.16260550684931505
Commercial,2016,0.06954463013698631
Electricity output in GWh,2016,1080.0
Production,2016,2.097042712328767
Total Consumption,2016,0.23215013698630138
Electricity,2016,-1.8648925753424657
