product,flow,value
Coal and coal products,Industry,1.7071067945205478
"Crude, NGL and feedstocks",Industry,1.8827456438356163
Gas,Industry,0.030645424657534247
Combustible renewables and waste,Industry,58.173731671232886
Gas,Residential,0.7578215890410959
Combustible renewables and waste,Residential,21.624222958904113
Combustible renewables and waste,Commercial,0.29060939726027396
Gas,Other,0.2472921095890411
Combustible renewables and waste,Other,3.8675489863013692
Oil Products,Industry,65.41591224657535
Oil Products,Transport,37.28714769863014
Oil Products,Residential,13.29611794520548
Oil Products,Other,18.56100591780822
Electricity,Industry,8.54898904109589
Electricity,Transport,0.12089479452054794
Electricity,Residential,3.469680602739726
Electricity,Commercial,2.1363837260273972
Electricity,Other,0.39895282191780823
Gas,Electricity output in GWh,45.0
Hydro,Electricity output in GWh,60.0
Combustible renewables and waste,Electricity output in GWh,975.0
Oil Products,Electricity output in GWh,9495.0
"Crude, NGL and feedstocks",Production,8.713341698630137
Gas,Production,0.20586254794520548
Hydro,Production,0.1036241095890411
Combustible renewables and waste,Production,97.22927701369863
Coal and coal products,Imports,2.006050301369863
"Crude, NGL and feedstocks",Imports,125.94580715068493
Coal and coal products,Total Consumption,1.7071067945205478
"Crude, NGL and feedstocks",Total Consumption,1.8827456438356163
Gas,Total Consumption,1.0357591232876713
Combustible renewables and waste,Total Consumption,83.95609293150684
Oil Products,Imports,89.6380478630137
Oil Products,Exports,-15.726705780821916
Oil Products,Total Consumption,134.56016372602738
Electricity,Total Consumption,14.674900986301369
Electricity,Production,63.86307684931507
Gas,Electricity,-0.19419479452054794
Hydro,Electricity,-0.1036241095890411
Combustible renewables and waste,Electricity,-11.221768109589041
Oil Products,Electricity,-52.34348983561644
"Crude, NGL and feedstocks",Oil Products,-128.28437838356163
All products,Heat and Waste,53.94894057534245
All products,Industry,135.75911073972603
All products,Transport,37.40804249315069
All products,Residential,39.147843095890416
All products,Commercial,2.426993123287671
All products,Other,23.07479983561644
All products,Total Consumption,237.81676920547943
All primary,Production,106.25210536986302
All primary,Imports,127.9518574520548
All primary,Total Consumption,88.58170449315068
All primary,Oil Products,-128.28437838356163
All primary,Electricity,-63.86307684931507
Oil Products,Production,121.73437071232877
All products,Hydrocarbon Heat and Waste,6.550007671232862
All products,Electricity Heat and Waste,47.398932904109586
