flow,period,value
Heat and Waste,1971-1974,31.49369141780825
Industry,1971-1974,101.87646689041098
Transport,1971-1974,28.41556836986301
Residential,1971-1974,32.786939383561645
Commercial,1971-1974,1.6103809178082196
Other,1971-1974,18.409038952054797
Total Consumption,1971-1974,183.09839451369862
Hydrocarbon Heat and Waste,1971-1974,1.4937937534246828
Electricity Heat and Waste,1971-1974,29.999897664383568
Heat and Waste,1971,28.193429205479433
Industry,1971,107.8261877260274
Transport,1971,27.80899580821918
Residential,1971,30.37435523287671
Commercial,1971,1.3856712328767122
Other,1971,15.93592205479452
Total Consumption,1971,183.3311722191781
Hydrocarbon Heat and Waste,1971,-0.782261616438376
Electricity Heat and Waste,1971,28.97569082191781
Heat and Waste,1972,28.82113827397258
Industry,1972,94.7030778630137
Transport,1972,27.123429945205483
Residential,1972,32.12753057534246
Commercial,1972,1.58082997260274
Other,1972,17.716770657534248
Total Consumption,1972,173.25163901369862
Hydrocarbon Heat and Waste,1972,0.3344287397260075
Electricity Heat and Waste,1972,28.48670953424657
Heat and Waste,1973,32.88015087671231
Industry,1973,96.32105989041095
Transport,1973,29.69354884931507
Residential,1973,33.246349643835615
Commercial,1973,1.7168868219178082
Other,1973,19.55668098630137
Total Consumption,1973,180.5345261917808
Hydrocarbon Heat and Waste,1973,2.6596653972602695
Electricity Heat and Waste,1973,30.220485479452037
Heat and Waste,1974,36.0800473150685
Industry,1974,108.65554208219179
Transport,1974,29.036298876712333
Residential,1974,35.39952208219178
Commercial,1974,1.7581356438356164
Other,1974,20.42678210958904
Total Consumption,1974,195.27624063013698
Hydrocarbon Heat and Waste,1974,3.763342493150688
Electricity Heat and Waste,1974,32.31670482191781
Heat and Waste,1975,40.30670605479452
Industry,1975,105.31089320547943
Transport,1975,30.76579731506849
Residential,1975,34.09620791780822
Commercial,1975,1.8012922739726027
Other,1975,24.788272684931506
Total Consumption,1975,196.76248347945204
Hydrocarbon Heat and Waste,1975,4.845772630136992
Electricity Heat and Waste,1975,35.460933424657526
Heat and Waste,1976,45.138581808219186
Industry,1976,108.4974952328767
Transport,1976,30.9452718630137
Residential,1976,35.09284693150685
Commercial,1976,1.9427311506849316
Other,1976,23.32399975342466
Total Consumption,1976,199.80232484931508
Hydrocarbon Heat and Waste,1976,6.54486663013698
Electricity Heat and Waste,1976,38.593715178082206
Heat and Waste,1977,47.249240246575326
Industry,1977,120.77853871232877
Transport,1977,32.19655306849315
Residential,1977,37.448849506849314
Commercial,1977,1.8867018356164382
Other,1977,23.815170000000002
Total Consumption,1977,216.12579304109587
Hydrocarbon Heat and Waste,1977,7.523190684931507
Electricity Heat and Waste,1977,39.72604956164382
Heat and Waste,1978,49.295173780821926
Industry,1978,135.4028124931507
Transport,1978,33.872231232876715
Residential,1978,37.619226821917806
Commercial,1978,2.0203488219178083
Other,1978,24.627133178082193
Total Consumption,1978,233.54183287671236
Hydrocarbon Heat and Waste,1978,5.469465260273978
Electricity Heat and Waste,1978,43.82570852054795
Heat and Waste,1979,49.13795030136983
Industry,1979,130.1295904109589
Transport,1979,35.5711244109589
Residential,1979,39.22602306849315
Commercial,1979,2.287180904109589
Other,1979,27.364255589041097
Total Consumption,1979,234.57817438356162
Hydrocarbon Heat and Waste,1979,5.050651150684914
Electricity Heat and Waste,1979,44.08729915068491
Heat and Waste,1980,54.839485369862984
Industry,1980,122.05644890410959
Transport,1980,35.69175813698631
Residential,1980,41.81407536986301
Commercial,1980,3.8529693150684934
Other,1980,27.6672958630137
Total Consumption,1980,231.08262791780822
Hydrocarbon Heat and Waste,1980,8.081576027397233
Electricity Heat and Waste,1980,46.75790934246575
Heat and Waste,1981,53.94894057534245
Industry,1981,135.75911073972603
Transport,1981,37.40804249315069
Residential,1981,39.147843095890416
Commercial,1981,2.426993123287671
Other,1981,23.07479983561644
Total Consumption,1981,237.81676920547943
Hydrocarbon Heat and Waste,1981,6.550007671232862
Electricity Heat and Waste,1981,47.398932904109586
Heat and Waste,1982,55.60873372602745
Industry,1982,131.99323789041097
Transport,1982,35.68836424657534
Residential,1982,41.26908484931507
Commercial,1982,2.4958750410958905
Other,1982,23.69740802739726
Total Consumption,1982,235.14403030136987
Hydrocarbon Heat and Waste,1982,6.345852109589089
Electricity Heat and Waste,1982,49.262881616438364
Heat and Waste,1983,53.2281907123288
Industry,1983,149.33015389041097
Transport,1983,35.90362526027398
Residential,1983,42.93968221917808
Commercial,1983,2.4920393424657536
Other,1983,23.47037884931507
Total Consumption,1983,254.13587956164383
Hydrocarbon Heat and Waste,1983,4.546327068493156
Electricity Heat and Waste,1983,48.68186364383564
Heat and Waste,1984-1987,59.55438235616441
Industry,1984-1987,136.43175371232877
Transport,1984-1987,37.58454487671233
Residential,1984-1987,46.411827910958905
Commercial,1984-1987,4.281151767123287
Other,1984-1987,27.275336664383563
Total Consumption,1984-1987,251.9846350136986
Hydrocarbon Heat and Waste,1984-1987,4.616941075342481
Electricity Heat and Waste,1984-1987,54.93744128082193
Heat and Waste,1984,53.27265268493153
Industry,1984,155.32802178082193
Transport,1984,38.15797178082192
Residential,1984,44.38065980821918
Commercial,1984,2.55939501369863
Other,1984,26.732088273972604
Total Consumption,1984,267.1581768219178
Hydrocarbon Heat and Waste,1984,5.023259041095912
Electricity Heat and Waste,1984,48.24939364383562
Heat and Waste,1985,56.88813000000003
Industry,1985,130.07715580821917
Transport,1985,36.77736126027398
Residential,1985,46.278708082191784
Commercial,1985,4.539780273972603
Other,1985,25.978745013698635
Total Consumption,1985,243.65177052054796
Hydrocarbon Heat and Waste,1985,4.335524301369887
Electricity Heat and Waste,1985,52.552605698630146
Heat and Waste,1986,63.24452526027396
Industry,1986,126.69338682191781
Transport,1986,37.8262541369863
Residential,1986,47.711512219178076
Commercial,1986,4.898247397260274
Other,1986,27.969432438356165
Total Consumption,1986,245.09883301369865
Hydrocarbon Heat and Waste,1986,4.922004630136982
Electricity Heat and Waste,1986,58.32252063013698
Heat and Waste,1987,64.81222147945203
Industry,1987,133.62845043835617
Transport,1987,37.57659232876713
Residential,1987,47.27643153424657
Commercial,1987,5.1271843835616435
Other,1987,28.421080931506854
Total Consumption,1987,252.02975969863013
Hydrocarbon Heat and Waste,1987,4.186976328767116
Electricity Heat and Waste,1987,60.62524515068492
Heat and Waste,1988,70.1113295068493
Industry,1988,142.84816460273973
Transport,1988,39.44487879452055
Residential,1988,48.95909830136987
Commercial,1988,5.6355048219178085
Other,1988,33.008455999999995
Total Consumption,1988,269.89612260273975
Hydrocarbon Heat and Waste,1988,5.654904219178093
Electricity Heat and Waste,1988,64.45642528767121
Heat and Waste,1989,70.23170216438359
Industry,1989,163.88283465753423
Transport,1989,38.29557495890411
Residential,1989,49.625144273972595
Commercial,1989,5.965595808219179
Other,1989,34.82874602739726
Total Consumption,1989,292.5978957260274
Hydrocarbon Heat and Waste,1989,4.871317178082194
Electricity Heat and Waste,1989,65.3603849863014
Heat and Waste,1990,69.33491180821918
Industry,1990,165.5867684657534
Transport,1990,34.19228112328767
Residential,1990,50.27640975342466
Commercial,1990,4.762752849315069
Other,1990,28.219335232876716
Total Consumption,1990,283.0375675068493
Hydrocarbon Heat and Waste,1990,2.5230864109589106
Electricity Heat and Waste,1990,66.81182539726026
Heat and Waste,1991,63.947984356164355
Industry,1991,128.73847690410958
Transport,1991,24.924269287671233
Residential,1991,49.83353717808219
Commercial,1991,4.341508794520548
Other,1991,21.45264071232877
Total Consumption,1991,229.29043287671234
Hydrocarbon Heat and Waste,1991,4.731605369862976
Electricity Heat and Waste,1991,59.21637898630138
Heat and Waste,1992,54.20044994520547
Industry,1992,116.93259816438358
Transport,1992,17.346153808219178
Residential,1992,39.66618454794521
Commercial,1992,3.70703202739726
Other,1992,20.545407616438357
Total Consumption,1992,198.19737616438357
Hydrocarbon Heat and Waste,1992,0.0216486027397238
Electricity Heat and Waste,1992,54.178801342465746
Heat and Waste,1993,52.02906295890412
Industry,1993,91.66685128767122
Transport,1993,13.056115671232876
Residential,1993,31.854834493150687
Commercial,1993,3.7046422465753426
Other,1993,18.764880328767124
Total Consumption,1993,159.04734410958906
Hydrocarbon Heat and Waste,1993,0.2947864931506885
Electricity Heat and Waste,1993,51.73427646575343
Heat and Waste,1994,60.48940920547943
Industry,1994,93.50810712328767
Transport,1994,12.712087643835618
Residential,1994,31.5635021369863
Commercial,1994,3.790814931506849
Other,1994,19.106237424657536
Total Consumption,1994,160.6808095068493
Hydrocarbon Heat and Waste,1994,1.9259625205479445
Electricity Heat and Waste,1994,58.56344668493149
Heat and Waste,1995,58.08340197260275
Industry,1995,88.7933105479452
Transport,1995,13.275172219178081
Residential,1995,31.053394383561645
Commercial,1995,4.070037726027397
Other,1995,19.266754383561647
Total Consumption,1995,156.45866926027395
Hydrocarbon Heat and Waste,1995,0.2443601095890422
Electricity Heat and Waste,1995,57.839041863013705
Heat and Waste,1996,63.8805282739726
Industry,1996,100.09153156164383
Transport,1996,14.809391424657534
Residential,1996,30.285190301369862
Commercial,1996,4.448024739726028
Other,1996,24.273425534246577
Total Consumption,1996,173.90750331506848
Hydrocarbon Heat and Waste,1996,2.0669194246575344
Electricity Heat and Waste,1996,61.81360884931507
Heat and Waste,1997,56.74492389041096
Industry,1997,110.86444260273971
Transport,1997,18.386672410958905
Residential,1997,30.60281024657534
Commercial,1997,4.889792794520548
Other,1997,24.555279095890413
Total Consumption,1997,189.29899715068493
Hydrocarbon Heat and Waste,1997,0.45602641095890206
Electricity Heat and Waste,1997,56.28889747945206
Heat and Waste,1998,54.17149142465752
Industry,1998,108.95673479452056
Transport,1998,16.707158547945205
Residential,1998,30.142526410958908
Commercial,1998,5.035669835616438
Other,1998,20.995389287671234
Total Consumption,1998,181.837418630137
Hydrocarbon Heat and Waste,1998,0.44251109589040993
Electricity Heat and Waste,1998,53.72898032876711
Heat and Waste,1999-2002,58.075288767123304
Industry,1999-2002,114.31413138356164
Transport,1999-2002,14.857839712328767
Residential,1999-2002,31.386266753424653
Commercial,1999-2002,6.0070354109589035
Other,1999-2002,21.23403601369863
Total Consumption,1999-2002,187.7993193150685
Hydrocarbon Heat and Waste,1999-2002,1.4404002260273998
Electricity Heat and Waste,1999-2002,56.634888541095904
Heat and Waste,1999,56.384910438356165
Industry,1999,119.53671621917809
Transport,1999,15.849046493150684
Residential,1999,30.82664635616438
Commercial,1999,5.482659260273973
Other,1999,21.683646164383564
Total Consumption,1999,193.37875465753424
Hydrocarbon Heat and Waste,1999,1.5621936986301392
Electricity Heat and Waste,1999,54.822716739726026
Heat and Waste,2000,56.54631101369863
Industry,2000,120.50799142465753
Transport,2000,14.684219123287672
Residential,2000,32.734394328767124
Commercial,2000,5.989192383561643
Other,2000,21.830266246575345
Total Consumption,2000,195.74604342465753
Hydrocarbon Heat and Waste,2000,0.7542268767123232
Electricity Heat and Waste,2000,55.792084136986304
Heat and Waste,2001,48.76026452054795
Industry,2001,126.88756153424657
Transport,2001,14.938178520547945
Residential,2001,31.76625194520548
Commercial,2001,6.208730904109589
Other,2001,21.098812575342464
Total Consumption,2001,200.89955556164387
Hydrocarbon Heat and Waste,2001,2.42267545205479
