flow,period,value
Industry,1971-1974,3.8444544657534245
Transport,1971-1974,0.063038
Residential,1971-1974,1.9520191643835618
Commercial,1971-1974,1.301777876712329
Other,1971-1974,0.19602227397260275
Total Consumption,1971-1974,7.3573117808219175
Production,1971-1974,38.41201652739726
Industry,1971,3.6579310684931503
Transport,1971,0.056993260273972605
Residential,1971,1.759882794520548
Commercial,1971,1.0984155616438356
Other,1971,0.17788805479452055
Total Consumption,1971,6.751110739726028
Production,1971,36.72332008219178
Industry,1972,3.5905753972602743
Transport,1972,0.06044739726027397
Residential,1972,1.9205001643835617
Commercial,1972,1.276303616438356
Other,1972,0.1830692602739726
Total Consumption,1972,7.030895835616438
Production,1972,36.51412389041096
Industry,1973,3.887631178082192
Transport,1973,0.06562860273972602
Residential,1973,2.0137618630136984
Commercial,1973,1.4075608219178084
Other,1973,0.2037940821917808
Total Consumption,1973,7.578376547945205
Production,1973,38.89555052054794
Industry,1974,4.2416802191780825
Transport,1974,0.0690827397260274
Residential,1974,2.1139318356164383
Commercial,1974,1.424831506849315
Other,1974,0.219337698630137
Total Consumption,1974,8.068864
Production,1974,41.515071616438355
Industry,1975,4.823702301369863
Transport,1975,0.07599101369863014
Residential,1975,2.264186794520548
Commercial,1975,1.4507375342465751
Other,1975,0.23660838356164385
Total Consumption,1975,8.85122602739726
Production,1975,45.619550301369856
Industry,1976,5.233017534246575
Transport,1976,0.08289928767123288
Residential,1976,2.4196229589041094
Commercial,1976,1.6199902465753426
Other,1976,0.2625144109589041
Total Consumption,1976,9.618044438356165
Production,1976,49.65731594520548
Industry,1977,5.8409456438356155
Transport,1977,0.08808049315068493
Residential,1977,2.730495287671233
Commercial,1977,1.545726301369863
Other,1977,0.26769561643835615
Total Consumption,1977,10.472943342465754
Production,1977,51.73262972602739
Industry,1978,6.614672328767123
Transport,1978,0.09671583561643836
Residential,1978,2.9878284931506847
Commercial,1978,1.694254191780822
Other,1978,0.2987828493150685
Total Consumption,1978,11.692253698630136
Production,1978,57.05159904109589
Industry,1979,7.042985315068493
Transport,1979,0.10707824657534246
Residential,1979,3.35396701369863
Commercial,1979,1.9654039452054795
Other,1979,0.3350512876712329
Total Consumption,1979,12.80448580821918
Production,1979,58.67066550684931
Industry,1980,4.675174410958904
Transport,1980,0.11398652054794521
Residential,1980,3.6562040000000002
Commercial,1980,3.516311452054795
Other,1980,0.3661385205479452
Total Consumption,1980,12.32781490410959
Production,1980,61.04767405479451
Industry,1981,8.54898904109589
Transport,1981,0.12089479452054794
Residential,1981,3.469680602739726
Commercial,1981,2.1363837260273972
Other,1981,0.39895282191780823
Total Consumption,1981,14.674900986301369
Production,1981,63.86307684931507
Industry,1982,9.139646465753424
Transport,1982,0.126076
Residential,1982,3.790915342465754
Commercial,1982,2.181287506849315
Other,1982,0.4093152328767124
Total Consumption,1982,15.647240547945206
Production,1982,66.54738309589042
Industry,1983,9.704397863013698
Transport,1983,0.13125720547945205
Residential,1983,3.992982356164384
Commercial,1983,2.1726521643835617
Other,1983,0.405861095890411
Total Consumption,1983,16.407150684931505
Production,1983,66.80399334246576
Industry,1984-1987,8.058501589041096
Transport,1984-1987,0.1489596575342466
Residential,1984-1987,4.739939479452055
Commercial,1984-1987,3.9869376164383565
Other,1984-1987,0.44126599999999994
Total Consumption,1984-1987,17.375604342465753
Production,1984-1987,73.71240286986301
Industry,1984,10.502303506849316
Transport,1984,0.16234443835616438
Residential,1984,4.291765205479452
Commercial,1984,2.240007835616438
Other,1984,0.4369483287671233
Total Consumption,1984,17.633369315068492
Production,1984,67.59083369863014
Industry,1985,6.849553643835617
Transport,1985,0.14680082191780822
Residential,1985,4.631997698630137
Commercial,1985,4.2520426301369865
Other,1985,0.40413402739726023
Total Consumption,1985,16.28452882191781
Production,1985,70.04090126027398
Industry,1986,7.352130575342465
Transport,1986,0.14161961643835616
Residential,1986,5.006771561643836
Commercial,1986,4.600910465753425
Other,1986,0.46976263013698627
Total Consumption,1986,17.57119484931507
Production,1986,77.20456046575343
Industry,1987,7.530018630136986
Transport,1987,0.14507375342465753
Residential,1987,5.0292234520547945
Commercial,1987,4.854789534246575
Other,1987,0.45421901369863016
Total Consumption,1987,18.013324383561645
Production,1987,80.01331605479452
Industry,1988,7.602555506849315
Transport,1988,0.15370909589041096
Residential,1988,5.291737863013699
Commercial,1988,5.357366465753425
Other,1988,0.4956686575342466
Total Consumption,1988,18.901037589041096
Production,1988,85.06035241095888
Industry,1989,7.6422780821917815
Transport,1989,0.16407150684931507
Residential,1989,5.616426739726028
Commercial,1989,5.720050849315069
Other,1989,0.5405724383561644
Total Consumption,1989,19.683399616438358
Production,1989,86.86238772602742
Industry,1990,9.799386630136986
Transport,1990,0.15370909589041096
Residential,1990,5.709688438356164
Commercial,1990,4.464472054794521
