flow,period,value
Industry,1971-1974,47.10164115753425
Transport,1971-1974,28.35252534931507
Residential,1971-1974,10.919440753424656
Other,1971-1974,13.965351965753428
Electricity output in GWh,1971-1974,4664.5
Imports,1971-1974,37.59126739041096
Total Consumption,1971-1974,100.33896424657534
Electricity,1971-1974,-29.75970963013699
Production,1971-1974,97.63774879452053
Industry,1971,43.96515926027397
Transport,1971,27.752022630136988
Residential,1971,9.737031424657534
Other,1971,11.78812608219178
Electricity output in GWh,1971,4093.0
Imports,1971,37.982212438356164
Total Consumption,1971,93.2423193150685
Electricity,1971,-27.130077150684933
Production,1971,86.99221909589042
Industry,1972,45.59990991780822
Transport,1972,27.06298254794521
Residential,1972,10.35873591780822
Other,1972,13.329173232876713
Electricity output in GWh,1972,4550.0
Imports,1972,37.06989854794521
Total Consumption,1972,96.35082169863013
Electricity,1972,-28.962697643835615
Production,1972,93.70378800000002
Industry,1973,47.1257146849315
Transport,1973,29.627900164383565
Residential,1973,11.125233013698631
Other,1973,15.072186986301372
Electricity output in GWh,1973,4927.0
Imports,1973,38.53979449315069
Total Consumption,1973,102.95105493150685
Electricity,1973,-30.51314326027397
Production,1973,103.28939969863013
Industry,1974,51.71578076712329
Transport,1974,28.96719605479452
Residential,1974,12.456762657534245
Other,1974,15.671921561643837
Electricity output in GWh,1974,5088.0
Imports,1974,36.773164082191784
Total Consumption,1974,108.81166104109589
Electricity,1974,-32.43292046575342
Production,1974,106.56558838356165
Industry,1975,51.93329098630137
Transport,1975,30.689806301369863
Residential,1975,11.791339232876712
Other,1975,19.803551369863015
Electricity output in GWh,1975,5530.0
Imports,1975,37.95642690410959
Total Consumption,1975,114.21800797260275
Electricity,1975,-35.77811156164383
Production,1975,113.58887306849314
Industry,1976,55.05818043835617
Transport,1976,30.862352493150684
Residential,1976,12.263009671232876
Other,1976,18.583317232876713
Electricity output in GWh,1976,6013.0
Imports,1976,50.761997150684934
Total Consumption,1976,116.76687991780821
Electricity,1976,-39.13256054794521
Production,1976,114.92198920547946
Industry,1977,59.878990904109585
Transport,1977,32.10847257534247
Residential,1977,12.266524054794521
Other,1977,18.868745424657536
Electricity output in GWh,1977,6624.0
Imports,1977,61.155113780821914
Exports,1977,-5.554573589041095
Total Consumption,1977,123.1227329589041
Electricity,1977,-41.24231528767123
Production,1977,117.80826205479453
Industry,1978,65.90816693150684
Transport,1978,33.77551539726028
Residential,1978,12.672304821917809
Other,1978,19.74989175342466
Electricity output in GWh,1978,7232.0
Imports,1978,67.30484320547946
Exports,1978,-2.4116503287671236
Total Consumption,1978,132.10589898630138
Electricity,1978,-44.98591698630137
Production,1978,120.55562638356164
Industry,1979,59.276545232876714
Transport,1979,35.46404616438356
Residential,1979,12.960102712328766
Other,1979,22.589473506849316
Electricity output in GWh,1979,8316.0
Imports,1979,71.46243928767123
Total Consumption,1979,130.29016761643834
Electricity,1979,-47.36135912328767
Production,1979,121.23207493150686
Industry,1980,62.16050863013698
Transport,1980,35.577771616438355
Residential,1980,13.220428164383563
Other,1980,22.687072958904107
