product,flow,value
Coal and coal products,Industry,0.02321501369863014
Combustible renewables and waste,Industry,10.415146794520547
Combustible renewables and waste,Residential,12.867599116438356
Oil Products,Industry,4.913570109589041
Oil Products,Transport,14.794400068493152
Oil Products,Residential,2.660503828767123
Oil Products,Other,0.30115254794520546
Electricity,Industry,2.3613343972602743
Electricity,Residential,2.8427547397260278
Coal and coal products,Electricity output in GWh,303.5
Hydro,Electricity output in GWh,1304.5
Combustible renewables and waste,Electricity output in GWh,73.5
Oil Products,Electricity output in GWh,2552.0
Hydro,Production,2.2529608493150683
Combustible renewables and waste,Production,28.1996095
Coal and coal products,Imports,1.5413483835616437
"Crude, NGL and feedstocks",Imports,37.103656712328764
Coal and coal products,Total Consumption,0.02321501369863014
Combustible renewables and waste,Total Consumption,23.282750931506854
Oil Products,Imports,13.031675643835616
Oil Products,Total Consumption,22.669631575342468
Electricity,Total Consumption,5.204089136986302
Electricity,Production,26.181600253424655
Coal and coal products,Electricity,-1.4973884657534242
Hydro,Electricity,-2.2529608493150683
Combustible renewables and waste,Electricity,-1.0232730205479452
Oil Products,Electricity,-21.407977917808218
"Crude, NGL and feedstocks",Oil Products,-37.042988410958905
All products,Heat and Waste,24.78908601369863
All products,Industry,17.713271335616437
All products,Transport,14.794400068493152
All products,Residential,18.370862705479453
All products,Other,0.30115254794520546
All products,Total Consumption,51.17968665753425
All primary,Production,30.45257034931507
All primary,Imports,38.645005095890404
All primary,Total Consumption,23.305965945205482
All primary,Oil Products,-37.042988410958905
All primary,Electricity,-26.181600253424655
Oil Products,Production,33.1169952260274
All products,Hydrocarbon Heat and Waste,3.9259931849315066
All products,Electricity Heat and Waste,20.863092828767122
