product,flow,value
Coal and coal products,Industry,1.4337881643835615
Combustible renewables and waste,Industry,8.308424465753426
Combustible renewables and waste,Residential,17.965729589041096
Oil Products,Industry,7.385627671232877
Oil Products,Transport,36.60591958904109
Oil Products,Residential,18.38508591780822
Oil Products,Commercial,1.2931927397260272
Oil Products,Other,1.2541529589041096
Electricity,Industry,9.225999890410959
Electricity,Residential,7.473025369863015
Electricity,Commercial,3.4627723287671235
Electricity,Other,2.4852515616438358
Coal and coal products,Electricity output in GWh,1982.0
Gas,Electricity output in GWh,1805.0
Hydro,Electricity output in GWh,1384.0
Combustible renewables and waste,Electricity output in GWh,29.0
Oil Products,Electricity output in GWh,9972.0
Hydro,Production,2.390262794520548
Combustible renewables and waste,Production,35.40323728767123
Coal and coal products,Imports,10.875992931506849
"Crude, NGL and feedstocks",Imports,35.93579693150685
Gas,Imports,7.788054712328767
Coal and coal products,Total Consumption,1.4337881643835615
Combustible renewables and waste,Total Consumption,26.274154054794515
Oil Products,Imports,73.51949835616438
Oil Products,Total Consumption,64.92397887671233
Electricity,Total Consumption,22.647049150684932
Electricity,Production,63.69856353424657
Coal and coal products,Electricity,-9.776332273972601
Gas,Electricity,-7.788054712328767
Hydro,Electricity,-2.390262794520548
Combustible renewables and waste,Electricity,-0.4229711232876713
Oil Products,Electricity,-43.32094263013698
"Crude, NGL and feedstocks",Oil Products,-33.65062424657534
All products,Heat and Waste,40.441678465753405
All products,Industry,26.353820109589044
All products,Transport,36.605939671232875
All products,Residential,43.82384087671233
All products,Commercial,4.7559650684931505
All products,Other,3.739404520547945
All products,Total Consumption,115.27897024657534
All primary,Production,37.79350008219178
All primary,Imports,54.599844575342466
All primary,Total Consumption,27.707942219178076
All primary,Oil Products,-33.65062424657534
All primary,Electricity,-63.69856353424657
Oil Products,Production,33.659440328767126
All products,Hydrocarbon Heat and Waste,-0.008816082191785313
All products,Electricity Heat and Waste,40.45049454794519
