flow,period,value
Industry,1971-1974,0.9883149452054794
Residential,1971-1974,1.7443391780821917
Total Consumption,1971-1974,2.7326541232876713
Production,1971-1974,13.388812321917806
Industry,1971,0.5146664109589041
Residential,1971,1.3298427397260275
Total Consumption,1971,1.8445091506849316
Production,1971,8.472556219178083
Industry,1972,1.101869698630137
Residential,1972,1.8116948493150684
Total Consumption,1972,2.9135645479452053
Production,1972,14.3292061369863
Industry,1973,1.1657712328767122
Residential,1973,1.9481332602739725
Total Consumption,1973,3.1139044931506845
Production,1973,14.100510136986301
Industry,1974,1.1709524383561645
Residential,1974,1.8876858630136988
Total Consumption,1974,3.058638301369863
Production,1974,16.652976794520548
Industry,1975,1.3108449863013698
Residential,1975,2.148473205479452
Total Consumption,1975,3.4593181917808224
Production,1975,18.109377506849317
Industry,1976,1.288393095890411
Residential,1976,2.069028054794521
Total Consumption,1976,3.3574211506849316
Production,1976,17.383245616438355
Industry,1977,1.4455563287671234
Residential,1977,2.329815397260274
Total Consumption,1977,3.7753717260273976
Production,1977,18.989660301369863
Industry,1978,1.4300127123287671
Residential,1978,2.2883657534246575
Total Consumption,1978,3.7183784657534247
Production,1978,18.3048977260274
Industry,1979,1.7477933150684932
Residential,1979,2.7322223561643835
Total Consumption,1979,4.480015671232876
Production,1979,20.38175783561644
Industry,1980,1.649350410958904
Residential,1980,2.6113275616438356
Total Consumption,1980,4.26067797260274
Production,1980,20.985689589041097
Industry,1981,1.568178191780822
Residential,1981,2.7114975342465755
Total Consumption,1981,4.279675726027397
Production,1981,21.420167808219183
Industry,1982,1.1692253698630137
Residential,1982,2.069028054794521
Total Consumption,1982,3.2382534246575343
Production,1982,17.45616405479452
Industry,1983,1.5284556164383563
Residential,1983,2.1294754520547947
Total Consumption,1983,3.6579310684931503
Production,1983,24.15722997260274
Industry,1984-1987,2.3613343972602743
Residential,1984-1987,2.8427547397260278
Total Consumption,1984-1987,5.204089136986302
Production,1984-1987,26.181600253424655
Industry,1984,2.252097315068493
Residential,1984,2.36953797260274
Total Consumption,1984,4.621635287671233
Production,1984,26.28425539726027
Industry,1985,2.3885357260273974
Residential,1985,2.9135645479452053
Total Consumption,1985,5.302100273972602
Production,1985,22.76119632876712
Industry,1986,2.16919802739726
Residential,1986,2.8928397260273973
Total Consumption,1986,5.062037753424658
Production,1986,26.746085561643834
Industry,1987,2.635506520547945
Residential,1987,3.195076712328767
Total Consumption,1987,5.830583232876713
Production,1987,28.934863726027398
Industry,1988,1.2849389589041096
Residential,1988,3.233072219178082
Total Consumption,1988,4.518011178082192
Production,1988,28.219596301369865
Industry,1989,1.2452163835616439
Residential,1989,2.8911126575342467
Total Consumption,1989,4.13632904109589
Production,1989,23.962010986301372
Industry,1990,1.0638741917808219
Residential,1990,4.296946410958904
Total Consumption,1990,5.360820602739726
Production,1990,20.689758410958905
Industry,1991,1.1640441643835617
Residential,1991,4.701080438356164
Total Consumption,1991,5.8651246027397255
Production,1991,22.969047013698628
Industry,1992,1.4265585753424659
Residential,1992,5.139755835616438
Total Consumption,1992,6.5663144109589044
Production,1992,27.359897753424658
Industry,1993,1.3678382465753423
Residential,1993,4.930780547945205
Total Consumption,1993,6.298618794520548
Production,1993,26.438607123287674
Industry,1994,1.4421021917808219
Residential,1994,5.196749095890411
Total Consumption,1994,6.6388512876712324
Production,1994,31.59444879452055
Industry,1995,1.3851089315068492
Residential,1995,4.994682082191781
Total Consumption,1995,6.379791013698631
Production,1995,31.81342501369863
Industry,1996,2.1467461369863012
Residential,1996,6.219173643835616
Total Consumption,1996,8.365919780821917
Production,1996,33.04434287671233
Industry,1997,2.2330995616438356
Residential,1997,6.270985698630136
Total Consumption,1997,8.504085260273973
Production,1997,37.29124446575343
Industry,1998,2.581967397260274
Residential,1998,6.599128712328767
Total Consumption,1998,9.181096109589042
Production,1998,41.62032238356165
Industry,1999-2002,5.211860945205479
Residential,1999-2002,6.131093150684931
Commercial,1999-2002,1.455055205479452
Total Consumption,1999-2002,12.798009301369863
Production,1999-2002,46.33140375342466
Industry,1999,2.379900383561644
Residential,1999,6.75456487671233
Total Consumption,1999,9.134465260273972
Production,1999,43.31734791780823
Industry,2000,2.8617524931506853
Residential,2000,7.3918531506849305
Total Consumption,2000,10.253605643835616
Production,2000,44.20833452054795
Industry,2001,7.372855397260274
Residential,2001,4.903147452054794
Commercial,2001,2.7494930410958904
Total Consumption,2001,15.02549589041096
Production,2001,44.29934701369863
Industry,2002,8.232935506849316
Residential,2002,5.474807123287672
Commercial,2002,3.070727780821917
