flow,period,value
Electricity output in GWh,2003,1157.0
Imports,2003,4.994943150684931
Electricity,2003,-4.994943150684931
Electricity output in GWh,2004,485.0
Imports,2004,2.0931066027397263
Electricity,2004,-2.093086520547945
Electricity output in GWh,2005-2008,1533.75
Imports,2005-2008,6.618508027397261
Electricity,2005-2008,-6.618503006849315
Electricity output in GWh,2005,957.0
Imports,2005,4.130525287671233
Electricity,2005,-4.130525287671233
Electricity output in GWh,2006,1198.0
Imports,2006,5.168875013698631
Electricity,2006,-5.168875013698631
Electricity output in GWh,2007,2175.0
Imports,2007,9.386577095890411
Electricity,2007,-9.38655701369863
Electricity output in GWh,2008,1805.0
Imports,2008,7.788054712328767
Electricity,2008,-7.788054712328767
Industry,2009,0.19118246575342465
Electricity output in GWh,2009,2017.0
Imports,2009,8.897174082191782
Total Consumption,2009,0.19118246575342465
Electricity,2009,-8.705991616438356
Industry,2010,0.8950632876712329
Electricity output in GWh,2010,3347.0
Imports,2010,13.896856630136988
Total Consumption,2010,0.8950632876712329
Electricity,2010,-13.001793342465753
Electricity output in GWh,2011,3251.0
Imports,2011,15.63738019178082
Electricity,2011,-14.030644191780821
Industry,2012,2.0451904931506846
Transport,2012,0.3111534794520548
Electricity output in GWh,2012,4204.0
Imports,2012,18.249209808219177
Total Consumption,2012,2.3563439726027395
Electricity,2012,-16.327444465753423
Industry,2013,1.7219475342465753
Transport,2013,0.41170501369863016
Electricity output in GWh,2013,4072.0
Imports,2013,17.523740630136984
Total Consumption,2013,2.1336726301369864
Electricity,2013,-15.81518791780822
Industry,2014,1.6481454794520547
Transport,2014,0.5187430958904109
Electricity output in GWh,2014,3993.0
Imports,2014,17.191440602739725
Total Consumption,2014,2.166888575342466
Electricity,2014,-15.507910301369861
Industry,2015,1.6481454794520547
Transport,2015,0.4026479452054794
Electricity output in GWh,2015,4066.0
Imports,2015,18.17844016438356
Total Consumption,2015,2.0507934246575346
Electricity,2015,-15.790587232876714
Industry,2016,1.7302013150684934
Transport,2016,0.3751353424657534
Electricity output in GWh,2016,3827.0
Imports,2016,17.61423098630137
Total Consumption,2016,2.1053567397260275
Electricity,2016,-15.66254317808219
