flow,period,value
Electricity output in GWh,2013,150.0
Production,2013,0.25906027397260273
Electricity,2013,-0.25906027397260273
Electricity output in GWh,2014,846.0
Production,2014,1.4610999452054794
Electricity,2014,-1.4610999452054794
Residential,2015,0.15969358904109587
Commercial,2015,0.008635342465753424
Electricity output in GWh,2015,950.0
Production,2015,1.809044
Total Consumption,2015,0.1683289315068493
Electricity,2015,-1.6407150684931509
Residential,2016,0.16740515068493153
Commercial,2016,0.009117315068493151
Electricity output in GWh,2016,1115.0
Production,2016,2.1018624383561644
Total Consumption,2016,0.17652246575342462
Electricity,2016,-1.9253399726027398
