product,flow,value
Coal and coal products,Industry,4.948292219178082
Coal and coal products,Residential,0.30030909589041094
Coal and coal products,Commercial,0.023626698630136986
Coal and coal products,Other,0.44171784931506847
Gas,Industry,16.066134986301368
Combustible renewables and waste,Industry,2.1743340479452056
Gas,Residential,13.381572691780821
Solar/Wind/Other,Residential,0.12768257534246574
Combustible renewables and waste,Residential,8.889658321917809
Gas,Commercial,3.262316910958904
Solar/Wind/Other,Commercial,0.0221757602739726
Combustible renewables and waste,Commercial,1.1963815136986304
Gas,Other,1.4568626027397258
Combustible renewables and waste,Other,1.1046661438356165
Oil Products,Industry,15.687545506849315
Oil Products,Transport,80.80786797260274
Oil Products,Residential,16.203411828767123
Oil Products,Commercial,2.586254945205479
Oil Products,Other,17.83264490410959
Electricity,Industry,17.240029465753427
Electricity,Transport,0.6049057397260273
Electricity,Residential,17.636823452054795
Electricity,Commercial,17.234416493150682
Electricity,Other,3.2900654794520543
Heat,Industry,3.2889609589041093
Heat,Residential,29.83480196575343
Heat,Commercial,13.260627691780822
Heat,Other,0.9039797808219179
Coal and coal products,Electricity output in GWh,18207.5
"Crude, NGL and feedstocks",Electricity output in GWh,3350.5
Gas,Electricity output in GWh,9173.25
Hydro,Electricity output in GWh,30.25
Solar/Wind/Other,Electricity output in GWh,4140.75
Combustible renewables and waste,Electricity output in GWh,2065.5
Oil Products,Electricity output in GWh,1030.0
"Crude, NGL and feedstocks",Production,346.8894284520548
Gas,Production,148.705452130137
Hydro,Production,0.052243821917808214
Geothermal,Production,0.06426301369863013
Solar/Wind/Other,Production,7.268769397260275
Combustible renewables and waste,Production,35.430985856164384
Coal and coal products,Imports,80.94437165068494
"Crude, NGL and feedstocks",Imports,93.80680462328768
Combustible renewables and waste,Imports,1.7445299589041094
Coal and coal products,Exports,-1.9727289246575341
"Crude, NGL and feedstocks",Exports,-258.4109514452055
Gas,Exports,-57.663302602739726
Combustible renewables and waste,Exports,-0.29306946575342463
Coal and coal products,Total Consumption,5.713945863013698
Gas,Total Consumption,34.16688719178082
Solar/Wind/Other,Total Consumption,0.14986335616438357
Combustible renewables and waste,Total Consumption,13.365050068493153
Oil Products,Imports,95.96143804109589
Electricity,Imports,13.17666906849315
Oil Products,Exports,-82.45726356849315
Electricity,Exports,-15.030677095890411
Oil Products,Total Consumption,133.11771009589043
Electricity,Total Consumption,56.006240630136986
Electricity,Production,166.09920575342468
Coal and coal products,Electricity,-80.30785152054794
"Crude, NGL and feedstocks",Electricity,-14.681367452054795
Gas,Electricity,-43.41557493835616
Hydro,Electricity,-0.052243821917808214
Solar/Wind/Other,Electricity,-7.105591547945205
Combustible renewables and waste,Electricity,-15.268199219178083
Oil Products,Electricity,-5.268377253424658
"Crude, NGL and feedstocks",Oil Products,-167.52730061643837
All products,Heat and Waste,105.97387664383561
All products,Industry,59.405307226027396
All products,Transport,81.41277371232877
All products,Residential,86.37426997260275
All products,Commercial,37.585794993150685
All products,Other,25.029931739726027
All products,Total Consumption,242.51969720547947
All primary,Production,538.4111426712328
All primary,Imports,176.49570623287673
All primary,Exports,-318.3400524383562
All primary,Total Consumption,53.39574647945206
All primary,Oil Products,-167.52730061643837
All primary,Electricity,-166.09920575342468
Oil Products,Production,165.7152041232877
All products,Hydrocarbon Heat and Waste,1.8120964931506762
All products,Electricity Heat and Waste,104.16178015068493
