product,flow,value
Coal and coal products,Industry,4.67264405479452
Coal and coal products,Residential,0.30151402739726024
Coal and coal products,Commercial,0.024600684931506852
Coal and coal products,Other,0.5639280273972603
Gas,Industry,16.817269205479455
Combustible renewables and waste,Industry,2.5306774794520552
Gas,Residential,13.747967260273974
Solar/Wind/Other,Residential,0.12995186301369863
Combustible renewables and waste,Residential,9.775890465753424
Gas,Commercial,3.2000570958904113
Solar/Wind/Other,Commercial,0.022532219178082194
Combustible renewables and waste,Commercial,1.0602995616438355
Gas,Other,1.5756487671232877
Combustible renewables and waste,Other,1.0363214246575343
Oil Products,Industry,16.06095378082192
Oil Products,Transport,80.54029284931507
Oil Products,Residential,16.14700597260274
Oil Products,Commercial,2.411228602739726
Oil Products,Other,17.148906520547946
Electricity,Industry,17.372581972602738
Electricity,Transport,0.6010198356164383
Electricity,Residential,17.545288821917808
Electricity,Commercial,17.47275194520548
Electricity,Other,3.2503429041095893
Heat,Industry,3.369410219178082
Heat,Residential,30.884804383561647
Heat,Commercial,13.729873205479453
Heat,Other,0.9039797808219179
Coal and coal products,Electricity output in GWh,17819.0
"Crude, NGL and feedstocks",Electricity output in GWh,3309.0
Gas,Electricity output in GWh,9273.0
Hydro,Electricity output in GWh,28.0
Solar/Wind/Other,Electricity output in GWh,4323.0
Combustible renewables and waste,Electricity output in GWh,2103.0
Oil Products,Electricity output in GWh,875.0
"Crude, NGL and feedstocks",Production,348.29709972602745
Gas,Production,152.3696538630137
Hydro,Production,0.04835791780821918
Geothermal,Production,0.06858068493150686
Solar/Wind/Other,Production,7.603941178082192
Combustible renewables and waste,Production,36.590717369863015
Coal and coal products,Imports,83.54695843835617
"Crude, NGL and feedstocks",Imports,82.42195405479451
Combustible renewables and waste,Imports,2.241955808219178
Coal and coal products,Exports,-1.9865103287671233
"Crude, NGL and feedstocks",Exports,-246.48856084931506
Gas,Exports,-61.32125375342466
Combustible renewables and waste,Exports,-0.4508853698630137
Coal and coal products,Total Consumption,5.562686794520548
Gas,Total Consumption,35.34096241095891
Solar/Wind/Other,Total Consumption,0.15250416438356165
Combustible renewables and waste,Total Consumption,14.403168849315069
Oil Products,Imports,99.73637799999999
Electricity,Imports,14.160234575342466
Oil Products,Exports,-78.93066501369863
Electricity,Exports,-15.153298958904108
Oil Products,Total Consumption,132.3083877260274
Electricity,Total Consumption,56.241985479452055
Electricity,Production,165.71139854794524
Coal and coal products,Electricity,-78.88055994520549
"Crude, NGL and feedstocks",Electricity,-14.503881041095891
Gas,Electricity,-43.93604008219178
Hydro,Electricity,-0.04835791780821918
Solar/Wind/Other,Electricity,-7.438484
Combustible renewables and waste,Electricity,-15.707125643835617
Oil Products,Electricity,-5.196949917808219
"Crude, NGL and feedstocks",Oil Products,-167.92407452054795
All products,Heat and Waste,107.23912501369867
All products,Industry,60.823556794520556
All products,Transport,81.1413126849315
All products,Residential,88.53242279452054
All products,Commercial,37.92134331506849
All products,Other,24.479107342465753
All products,Total Consumption,244.00969542465754
All primary,Production,544.9783507397261
All primary,Imports,168.21086830136989
All primary,Exports,-310.2472103013698
All primary,Total Consumption,55.45932221917809
All primary,Oil Products,-167.92407452054795
All primary,Electricity,-165.71139854794524
Oil Products,Production,165.33584147945206
All products,Hydrocarbon Heat and Waste,2.58823304109589
All products,Electricity Heat and Waste,104.65089197260278
