flow,period,value
Industry,1971-1974,0.8786812397260274
Residential,1971-1974,1.5108636164383562
Commercial,1971-1974,0.21736964383561647
Other,1971-1974,0.10430188356164383
Production,1971-1974,6.980047726027398
Total Consumption,1971-1974,2.7112163835616436
Electricity,1971-1974,-0.3835447602739727
Residential,1971,1.102994301369863
Commercial,1971,0.04795627397260274
Production,1971,6.570009534246576
Total Consumption,1971,1.1509505753424656
Electricity,1971,-1.3427756712328769
Industry,1972,1.1715749863013698
Residential,1972,1.6468200547945206
Commercial,1972,0.27384076712328764
Other,1972,0.13906917808219177
Production,1972,7.116727123287671
Total Consumption,1972,3.23130498630137
Electricity,1972,-0.06380112328767124
Industry,1973,1.1715749863013698
Residential,1973,1.6468200547945206
Commercial,1973,0.27384076712328764
Other,1973,0.13906917808219177
Production,1973,7.116727123287671
Total Consumption,1973,3.23130498630137
Electricity,1973,-0.06380112328767124
Industry,1974,1.1715749863013698
Residential,1974,1.6468200547945206
Commercial,1974,0.27384076712328764
Other,1974,0.13906917808219177
Production,1974,7.116727123287671
Total Consumption,1974,3.23130498630137
Electricity,1974,-0.06380112328767124
Industry,1975,1.5086947397260275
Residential,1975,1.2598161369863012
Commercial,1975,0.2963729863013698
Other,1975,0.13906917808219177
Production,1975,7.49126
Total Consumption,1975,3.2039530410958905
Electricity,1975,-0.04173079452054795
Industry,1976,1.6353129589041095
Residential,1976,1.1591039452054794
Commercial,1976,0.32418682191780823
Other,1976,0.13906917808219177
Production,1976,7.953049999999999
Total Consumption,1976,3.257672904109589
Electricity,1976,-0.04701241095890411
Industry,1977,1.7292976164383562
Residential,1977,0.9859753698630137
Commercial,1977,0.32896638356164387
Other,1977,0.2086138082191781
Production,1977,7.975602301369864
Total Consumption,1977,3.252873260273973
Electricity,1977,-0.052273945205479455
Industry,1978,1.7345792328767122
Residential,1978,1.6137246027397258
Commercial,1978,0.32896638356164387
Other,1978,0.27813835616438354
Production,1978,8.705971534246576
Total Consumption,1978,3.9554286575342466
Electricity,1978,-0.057555561643835615
Industry,1979,1.7628750410958904
Residential,1979,3.016927589041096
Commercial,1979,0.3424013698630137
Other,1979,0.4172276164383562
Production,1979,10.59305493150685
Total Consumption,1979,5.539431616438357
Electricity,1979,-0.0633191506849315
Industry,1980,1.583982876712329
Residential,1980,4.963956328767123
Commercial,1980,0.34720101369863016
Other,1980,0.8728122191780824
Production,1980,12.918934219178084
Total Consumption,1980,7.767952438356164
Electricity,1980,-0.06906265753424658
Industry,1981,1.8160928493150688
Residential,1981,6.502874767123288
Commercial,1981,0.36876928767123285
Other,1981,1.2195312602739725
Production,1981,15.366632082191781
Total Consumption,1981,9.907268164383561
Electricity,1981,-0.0963945205479452
Industry,1982,1.8717205205479452
Residential,1982,7.1080716986301375
Commercial,1982,0.3903576438356164
Other,1982,1.3648259178082194
Production,1982,16.50079394520548
Total Consumption,1982,10.7349958630137
Electricity,1982,-0.12374646575342466
Industry,1983,2.0160713150684932
Residential,1983,7.134941671232877
Commercial,1983,0.4090742465753425
Other,1983,1.489998219178082
Electricity output in GWh,1983,33.0
