flow,period,value
Industry,1976,1.2310383561643836
Residential,1976,5.565799534246575
Commercial,1976,2.6802697260273973
Industry,1977,1.2310383561643836
Residential,1977,5.565799534246575
Commercial,1977,2.6802697260273973
Industry,1978,1.3432576438356165
Residential,1978,6.021384136986302
Commercial,1978,2.9656175890410963
Industry,1979,1.4214175342465754
Residential,1979,6.629954876712329
Commercial,1979,3.266790219178082
Industry,1980,1.4856805479452055
Residential,1980,6.922974136986302
Commercial,1980,3.4111209315068494
Industry,1981,1.4856805479452055
Residential,1981,7.107589726027397
Commercial,1981,3.4998440547945204
Industry,1982,1.4856805479452055
Residential,1982,7.675875589041096
Commercial,1982,3.780874246575342
Industry,1983,1.661198904109589
Residential,1983,18.85400509589041
Commercial,1983,8.568830246575342
Other,1983,0.14674057534246576
Industry,1984-1987,1.7028041849315068
Residential,1984-1987,22.249677801369863
Commercial,1984-1987,10.111820349315067
Other,1984-1987,0.6601217260273972
Industry,1984,1.7010018082191782
Residential,1984,19.347484794520547
Commercial,1984,8.792786849315068
Other,1984,0.3731070410958905
Industry,1985,1.713954821917808
Residential,1985,22.484303068493155
Commercial,1985,10.21804008219178
Other,1985,0.5025769315068493
Industry,1986,1.7058014520547944
Residential,1986,22.908238136986302
Commercial,1986,10.41131109589041
Other,1986,0.859859205479452
Industry,1987,1.6904586575342466
Residential,1987,24.258685205479456
Commercial,1987,11.025143369863013
Other,1987,0.9049437260273973
Industry,1988,1.5638605205479454
Residential,1988,23.379647506849317
Commercial,1988,10.625186438356165
Other,1988,0.8967903561643836
Industry,1989,1.4022390410958905
Residential,1989,22.549991917808217
Commercial,1989,10.161448465753425
Other,1989,0.8967903561643836
Industry,1990,1.4799370410958903
Residential,1990,22.785937589041097
Commercial,1990,10.132208794520547
Other,1990,0.8967903561643836
Industry,1991,1.5374725205479451
Residential,1991,26.209067671232877
Commercial,1991,11.490809232876712
Other,1991,0.8967903561643836
Industry,1992,1.8127391232876715
Residential,1992,26.130887698630136
Commercial,1992,11.304245671232877
Other,1992,0.8967903561643836
Industry,1993,2.2409918630136985
Residential,1993,27.56815008219178
Commercial,1993,11.913780356164382
Other,1993,0.8977342191780823
Industry,1994,2.2222953424657534
Residential,1994,27.726397753424656
Commercial,1994,11.970853945205478
Other,1994,0.8670486301369862
Industry,1995,2.191609753424658
Residential,1995,29.3209438630137
Commercial,1995,12.653266904109588
Other,1995,0.8425885205479452
Industry,1996,2.8692230684931506
Residential,1996,32.0722041369863
Commercial,1996,13.836830958904109
Other,1996,0.973986301369863
Industry,1997,2.8653873698630132
Residential,1997,30.098325506849317
Commercial,1997,13.029727671232878
Other,1997,0.9039797808219179
Industry,1998,2.757003780821918
Residential,1998,31.04257008219178
Commercial,1998,13.460370191780823
Other,1998,0.9039797808219179
Industry,1999-2002,3.2889609589041093
Residential,1999-2002,29.83480196575343
Commercial,1999-2002,13.260627691780822
Other,1999-2002,0.9039797808219179
Industry,1999,3.0442594520547948
Residential,1999,29.785645780821913
Commercial,1999,12.94915791780822
Other,1999,0.9039797808219179
Industry,2000,3.298439753424658
Residential,2000,28.47835534246575
Commercial,2000,12.587076000000001
Other,2000,0.9039797808219179
Industry,2001,3.369410219178082
Residential,2001,30.884804383561647
Commercial,2001,13.729873205479453
Other,2001,0.9039797808219179
Industry,2002,3.4437344109589043
Residential,2002,30.190402356164387
Commercial,2002,13.776403643835616
Other,2002,0.9039797808219179
Industry,2003,3.547800328767123
Residential,2003,30.93707832876712
Commercial,2003,14.28809789041096
Other,2003,0.9039797808219179
Industry,2004,3.369410219178082
Residential,2004,30.842591616438355
Commercial,2004,14.271791150684932
Other,2004,0.9519360547945206
Industry,2005-2008,2.8683846369863018
Residential,2005-2008,30.266282917808216
Commercial,2005-2008,13.99136844520548
Other,2005-2008,0.9519360547945206
Industry,2005,3.1799749041095895
Residential,2005,30.459905369863012
Commercial,2005,14.08093
Other,2005,0.9519360547945206
Industry,2006,3.066329780821918
Residential,2006,30.327061671232876
Commercial,2006,14.019538739726027
Other,2006,0.9519360547945206
Industry,2007,2.7061757534246573
Residential,2007,29.74007928767123
Commercial,2007,13.74810783561644
Other,2007,0.9519360547945206
Industry,2008,2.5210581095890414
Residential,2008,30.538085342465752
Commercial,2008,14.116897205479452
Other,2008,0.9519360547945206
Industry,2009,2.4524774246575345
Residential,2009,31.462187479452055
Commercial,2009,14.544186
Other,2009,0.9519360547945206
Industry,2010,2.4524774246575345
Residential,2010,36.57288438356164
Commercial,2010,16.906514465753425
Other,2010,0.9519360547945206
Industry,2011,2.4462519452054794
Residential,2011,32.16187112328767
Commercial,2011,14.867890849315069
Other,2011,0.7601109589041095
Industry,2012,2.22709498630137
Residential,2012,33.31810331506849
Commercial,2012,15.402117315068493
Other,2012,0.7601109589041095
Industry,2013,2.22709498630137
Residential,2013,32.958431260273976
Commercial,2013,15.235716273972603
Other,2013,0.7601109589041095
Industry,2014,1.588782520547945
Residential,2014,29.75734997260274
Commercial,2014,13.831549342465754
Other,2014,0.7601109589041095
Industry,2015,1.1049221917808218
Residential,2015,2.401167424657534
Commercial,2015,0.6665881917808218
Other,2015,0.0839234794520548
Industry,2016,1.3296017534246576
Residential,2016,33.77585679452055
Commercial,2016,15.668889150684931
Other,2016,0.7602515342465753
