flow,period,value
Electricity output in GWh,1971-1974,24.0
Production,1971-1974,0.04144964383561644
Electricity,1971-1974,-0.04144964383561644
Electricity output in GWh,1971,24.0
Production,1971,0.04144964383561644
Electricity,1971,-0.04144964383561644
Electricity output in GWh,1972,24.0
Production,1972,0.04144964383561644
Electricity,1972,-0.04144964383561644
Electricity output in GWh,1973,24.0
Production,1973,0.04144964383561644
Electricity,1973,-0.04144964383561644
Electricity output in GWh,1974,24.0
Production,1974,0.04144964383561644
Electricity,1974,-0.04144964383561644
Electricity output in GWh,1975,24.0
Production,1975,0.04144964383561644
Electricity,1975,-0.04144964383561644
Electricity output in GWh,1976,24.0
Production,1976,0.04144964383561644
Electricity,1976,-0.04144964383561644
Electricity output in GWh,1977,22.0
Production,1977,0.03799550684931507
Electricity,1977,-0.03799550684931507
Electricity output in GWh,1978,23.0
Production,1978,0.03972257534246575
Electricity,1978,-0.03972257534246575
Electricity output in GWh,1979,25.0
Production,1979,0.043176712328767124
Electricity,1979,-0.043176712328767124
Electricity output in GWh,1980,30.0
Production,1980,0.05181205479452055
Electricity,1980,-0.05181205479452055
Electricity output in GWh,1981,33.0
Production,1981,0.056993260273972605
Electricity,1981,-0.056993260273972605
Electricity output in GWh,1982,31.0
Production,1982,0.05353912328767123
Electricity,1982,-0.05353912328767123
Electricity output in GWh,1983,34.0
Production,1983,0.058720328767123284
Electricity,1983,-0.058720328767123284
Electricity output in GWh,1984-1987,29.5
Production,1984-1987,0.0509485205479452
Electricity,1984-1987,-0.0509485205479452
Electricity output in GWh,1984,30.0
Production,1984,0.05181205479452055
Electricity,1984,-0.05181205479452055
Electricity output in GWh,1985,30.0
Production,1985,0.05181205479452055
Electricity,1985,-0.05181205479452055
Electricity output in GWh,1986,29.0
Production,1986,0.050084986301369865
Electricity,1986,-0.050084986301369865
Electricity output in GWh,1987,29.0
Production,1987,0.050084986301369865
Electricity,1987,-0.050084986301369865
Electricity output in GWh,1988,33.0
Production,1988,0.056993260273972605
Electricity,1988,-0.056993260273972605
Electricity output in GWh,1989,23.0
Production,1989,0.03972257534246575
Electricity,1989,-0.03972257534246575
Electricity output in GWh,1990,28.0
Production,1990,0.04835791780821918
Electricity,1990,-0.04835791780821918
Electricity output in GWh,1991,25.0
Production,1991,0.043176712328767124
Electricity,1991,-0.043176712328767124
Electricity output in GWh,1992,28.0
Production,1992,0.04835791780821918
Electricity,1992,-0.04835791780821918
Electricity output in GWh,1993,28.0
Production,1993,0.04835791780821918
Electricity,1993,-0.04835791780821918
Electricity output in GWh,1994,33.0
Production,1994,0.056993260273972605
Electricity,1994,-0.056993260273972605
Electricity output in GWh,1995,30.0
Production,1995,0.05181205479452055
Electricity,1995,-0.05181205479452055
Electricity output in GWh,1996,19.0
Production,1996,0.03281430136986301
Electricity,1996,-0.03281430136986301
Electricity output in GWh,1997,19.0
Production,1997,0.03281430136986301
Electricity,1997,-0.03281430136986301
Electricity output in GWh,1998,27.0
Production,1998,0.046630849315068494
Electricity,1998,-0.046630849315068494
Electricity output in GWh,1999-2002,30.25
Production,1999-2002,0.052243821917808214
Electricity,1999-2002,-0.052243821917808214
Electricity output in GWh,1999,31.0
Production,1999,0.05353912328767123
Electricity,1999,-0.05353912328767123
Electricity output in GWh,2000,30.0
Production,2000,0.05181205479452055
Electricity,2000,-0.05181205479452055
Electricity output in GWh,2001,28.0
Production,2001,0.04835791780821918
Electricity,2001,-0.04835791780821918
Electricity output in GWh,2002,32.0
Production,2002,0.05526619178082191
Electricity,2002,-0.05526619178082191
Electricity output in GWh,2003,21.0
Production,2003,0.03626843835616438
Electricity,2003,-0.03626843835616438
Electricity output in GWh,2004,27.0
Production,2004,0.046630849315068494
Electricity,2004,-0.046630849315068494
Electricity output in GWh,2005-2008,25.0
Production,2005-2008,0.043176712328767124
Electricity,2005-2008,-0.043176712328767124
Electricity output in GWh,2005,23.0
Production,2005,0.03972257534246575
Electricity,2005,-0.03972257534246575
Electricity output in GWh,2006,23.0
Production,2006,0.03972257534246575
Electricity,2006,-0.03972257534246575
Electricity output in GWh,2007,28.0
Production,2007,0.04835791780821918
Electricity,2007,-0.04835791780821918
Electricity output in GWh,2008,26.0
Production,2008,0.044903780821917816
Electricity,2008,-0.044903780821917816
Electricity output in GWh,2009,19.0
Production,2009,0.03281430136986301
Electricity,2009,-0.03281430136986301
Electricity output in GWh,2010,21.0
Production,2010,0.03626843835616438
Electricity,2010,-0.03626843835616438
Electricity output in GWh,2011,17.0
Production,2011,0.029360164383561642
Electricity,2011,-0.029360164383561642
Electricity output in GWh,2012,17.0
Production,2012,0.029360164383561642
Electricity,2012,-0.029360164383561642
Electricity output in GWh,2013,13.0
Production,2013,0.022451890410958908
Electricity,2013,-0.022451890410958908
Electricity output in GWh,2014,15.0
Production,2014,0.025906027397260275
Electricity,2014,-0.025906027397260275
Electricity output in GWh,2015,6391.0
Production,2015,11.037694739726026
Electricity,2015,-11.037694739726028
Electricity output in GWh,2016,19.0
Production,2016,0.03281430136986301
Electricity,2016,-0.03281430136986301
