flow,period,value
Residential,1978,0.005281616438356165
Electricity output in GWh,1978,3.0
Production,1978,0.01046282191780822
Total Consumption,1978,0.005281616438356165
Electricity,1978,-0.005181205479452055
Residential,1979,0.01727068493150685
Electricity output in GWh,1979,6.0
Production,1979,0.027633095890410957
Total Consumption,1979,0.01727068493150685
Electricity,1979,-0.01036241095890411
Residential,1980,0.02397813698630137
Electricity output in GWh,1980,11.0
Production,1980,0.04297589041095891
Total Consumption,1980,0.02397813698630137
Electricity,1980,-0.018997753424657534
Residential,1981,0.02397813698630137
Electricity output in GWh,1981,11.0
Production,1981,0.04297589041095891
Total Consumption,1981,0.02397813698630137
Electricity,1981,-0.018997753424657534
Residential,1982,0.025906027397260275
Electricity output in GWh,1982,19.0
Production,1982,0.058720328767123284
Total Consumption,1982,0.025906027397260275
Electricity,1982,-0.03281430136986301
Residential,1983,0.025906027397260275
Electricity output in GWh,1983,27.0
Production,1983,0.07253687671232877
Total Consumption,1983,0.025906027397260275
Electricity,1983,-0.046630849315068494
Residential,1984-1987,0.02805984246575342
Electricity output in GWh,1984-1987,96.0
Production,1984-1987,0.1938584178082192
Total Consumption,1984-1987,0.02805984246575342
Electricity,1984-1987,-0.16579857534246575
Residential,1984,0.025906027397260275
Electricity output in GWh,1984,33.0
Production,1984,0.08289928767123288
Total Consumption,1984,0.025906027397260275
Electricity,1984,-0.056993260273972605
Residential,1985,0.027813835616438357
Electricity output in GWh,1985,51.0
Production,1985,0.11589432876712327
Total Consumption,1985,0.027813835616438357
Electricity,1985,-0.08808049315068493
Residential,1986,0.029259753424657534
Electricity output in GWh,1986,126.0
Production,1986,0.2468703835616438
Total Consumption,1986,0.029259753424657534
Electricity,1986,-0.2176106301369863
Residential,1987,0.029259753424657534
Electricity output in GWh,1987,174.0
Production,1987,0.3297696712328767
Total Consumption,1987,0.029259753424657534
Electricity,1987,-0.3005099178082192
Residential,1988,0.029259753424657534
Electricity output in GWh,1988,292.0
Production,1988,0.5335637534246574
Total Consumption,1988,0.029259753424657534
Electricity,1988,-0.504304
Residential,1989,0.03644917808219178
Electricity output in GWh,1989,428.0
Production,1989,0.7775423013698631
Total Consumption,1989,0.03644917808219178
Electricity,1989,-0.7391853150684932
Residential,1990,0.03835698630136986
Commercial,1990,0.0067074520547945205
Electricity output in GWh,1990,610.0
Production,1990,1.1014680547945206
Total Consumption,1990,0.04508452054794521
Electricity,1990,-1.0535117808219179
Residential,1991,0.04651035616438356
Commercial,1991,0.0081533698630137
Electricity output in GWh,1991,740.0
Production,1991,1.3355862465753425
Total Consumption,1991,0.05466372602739726
Electricity,1991,-1.2780306849315068
Residential,1992,0.05418175342465754
Commercial,1992,0.009599287671232876
Electricity output in GWh,1992,915.0
Production,1992,1.6469204657534249
Total Consumption,1992,0.06378104109589042
Electricity,1992,-1.5802676712328767
Residential,1993,0.06281709589041097
Commercial,1993,0.011025123287671235
Electricity output in GWh,1993,1034.0
Production,1993,1.8630048493150688
Total Consumption,1993,0.07386230136986302
Electricity,1993,-1.7857888219178084
Residential,1994,0.07289835616438356
Commercial,1994,0.012953013698630137
Electricity output in GWh,1994,1137.0
Production,1994,2.0524
Total Consumption,1994,0.08585136986301371
Electricity,1994,-1.963676876712329
Residential,1995,0.0839234794520548
Commercial,1995,0.014860821917808218
Electricity output in GWh,1995,1200.0
Production,1995,2.1348976438356164
Total Consumption,1995,0.098784301369863
Electricity,1995,-2.0327596164383563
Residential,1996,0.10167613698630137
Commercial,1996,0.017752657534246576
Electricity output in GWh,1996,1261.0
Production,1996,2.2413935068493154
Total Consumption,1996,0.11940871232876711
Electricity,1996,-2.1191130410958903
Residential,1997,0.10693767123287673
Commercial,1997,0.018696520547945204
Electricity output in GWh,1997,1973.0
Production,1997,3.4749019726027393
Total Consumption,1997,0.12565427397260273
Electricity,1997,-3.340150465753425
Residential,1998,0.11653695890410959
Commercial,1998,0.020624410958904108
Electricity output in GWh,1998,2858.0
Production,1998,5.014683945205479
Total Consumption,1998,0.13716136986301372
Electricity,1998,-4.870333150684932
Residential,1999-2002,0.12768257534246574
Commercial,1999-2002,0.0221757602739726
Electricity output in GWh,1999-2002,4140.75
Production,1999-2002,7.268769397260275
Total Consumption,1999-2002,0.14986335616438357
Electricity,1999-2002,-7.105591547945205
Residential,1999,0.12133660273972603
Commercial,1999,0.021106383561643835
Electricity output in GWh,1999,3068.0
Production,1999,5.386485643835616
Total Consumption,1999,0.14242290410958902
Electricity,1999,-5.233017534246576
Residential,2000,0.12708010958904112
Commercial,2000,0.02205024657534247
Electricity output in GWh,2000,4281.0
Production,2000,7.486882082191781
Total Consumption,2000,0.14915043835616437
Electricity,2000,-7.3262245479452055
Residential,2001,0.12995186301369863
Commercial,2001,0.022532219178082194
Electricity output in GWh,2001,4323.0
Production,2001,7.603941178082192
Total Consumption,2001,0.15250416438356165
Electricity,2001,-7.438484
Residential,2002,0.13236172602739726
Commercial,2002,0.023014191780821914
Electricity output in GWh,2002,4891.0
Production,2002,8.597768684931507
Total Consumption,2002,0.1553759178082192
Electricity,2002,-8.424640109589042
Residential,2003,0.1352334794520548
Commercial,2003,0.023496164383561644
Electricity output in GWh,2003,5582.0
Production,2003,9.79038980821918
Total Consumption,2003,0.15872964383561644
Electricity,2003,-9.60768202739726
Residential,2004,0.14051509589041095
Commercial,2004,0.024460109589041094
Electricity output in GWh,2004,6596.0
Production,2004,11.561217397260275
Total Consumption,2004,0.16497520547945205
Electricity,2004,-11.37274602739726
Residential,2005-2008,0.16641108219178083
Commercial,2005-2008,0.02865728767123288
Electricity output in GWh,2005-2008,6707.5
Production,2005-2008,11.806476184931507
Total Consumption,2005-2008,0.1950633493150685
Electricity,2005-2008,-11.584311917808222
Residential,2005,0.1496324109589041
Commercial,2005,0.025906027397260275
Electricity output in GWh,2005,6616.0
Production,2005,11.627227561643835
Total Consumption,2005,0.17551835616438355
Electricity,2005,-11.426285150684931
Residential,2006,0.15969358904109587
Commercial,2006,0.02733186301369863
Electricity output in GWh,2006,6110.0
Production,2006,10.761484273972602
Total Consumption,2006,0.18702545205479454
Electricity,2006,-10.552388493150685
Residential,2007,0.17168265753424658
Commercial,2007,0.029741726027397265
Electricity output in GWh,2007,7173.0
Production,2007,12.617982493150686
Total Consumption,2007,0.20142438356164383
Electricity,2007,-12.388262301369863
Residential,2008,0.18463567123287672
Commercial,2008,0.031649534246575343
Electricity output in GWh,2008,6931.0
Production,2008,12.219210410958905
Total Consumption,2008,0.21628520547945204
Electricity,2008,-11.970311726027399
Residential,2009,0.1990145205479452
Commercial,2009,0.03403931506849315
Electricity output in GWh,2009,6725.0
Production,2009,11.89508383561644
Total Consumption,2009,0.23307391780821918
Electricity,2009,-11.614535616438356
Residential,2010,0.2110035890410959
Commercial,2010,0.035485232876712326
Electricity output in GWh,2010,7815.0
Production,2010,13.810201972602739
Total Consumption,2010,0.24648882191780822
Electricity,2010,-13.497040273972603
Residential,2011,0.2369096164383562
Commercial,2011,0.037413123287671234
Electricity output in GWh,2011,9789.0
Production,2011,17.282252273972606
Total Consumption,2011,0.2743026575342466
Electricity,2011,-16.90627347945205
Residential,2012,0.3970851780821918
Commercial,2012,0.03835698630136986
Electricity output in GWh,2012,10374.0
Production,2012,18.5179898630137
Total Consumption,2012,0.4354421643835616
Electricity,2012,-17.91660854794521
Residential,2013,0.22492054794520544
Commercial,2013,0.03980290410958904
Electricity output in GWh,2013,11641.0
Production,2013,20.59683810958904
Total Consumption,2013,0.26472345205479453
Electricity,2013,-20.104804328767123
Residential,2014,0.2301820821917808
Commercial,2014,0.04076684931506849
Electricity output in GWh,2014,13675.0
Production,2014,24.20608994520548
Total Consumption,2014,0.27094893150684934
Electricity,2014,-23.61766164383562
Residential,2015,0.2086138082191781
Electricity output in GWh,2015,853.0
Production,2015,1.6818032328767123
Total Consumption,2015,0.2086138082191781
Electricity,2015,-1.4731894246575343
Residential,2016,0.24030350684931506
Commercial,2016,0.04221276712328767
Electricity output in GWh,2016,13526.0
Production,2016,24.349476794520548
Total Consumption,2016,0.2825162739726027
Electricity,2016,-23.356111178082195
