product,flow,value
Combustible renewables and waste,Industry,3.8062983013698632
Combustible renewables and waste,Residential,9.429171424657534
Oil Products,Industry,16.701917095890412
Oil Products,Transport,60.197454301369866
Oil Products,Residential,13.300877424657536
Oil Products,Commercial,2.5535912602739725
Oil Products,Other,10.27621819178082
Electricity,Industry,3.4990407671232875
Electricity,Residential,5.611245534246575
Electricity,Commercial,3.0120074520547946
Electricity,Other,1.352294630136986
Hydro,Electricity output in GWh,6534.0
Oil Products,Electricity output in GWh,3828.0
"Crude, NGL and feedstocks",Production,411.3531134520548
Gas,Production,5.394578767123288
Hydro,Production,11.284665534246574
Combustible renewables and waste,Production,13.235449643835617
"Crude, NGL and feedstocks",Exports,-262.1529315068493
Combustible renewables and waste,Total Consumption,13.235449643835617
Oil Products,Imports,35.59068446575342
Oil Products,Exports,-25.1908001369863
Oil Products,Total Consumption,103.03005827397261
Electricity,Total Consumption,13.474588383561644
Electricity,Production,30.781782739726026
Hydro,Electricity,-11.284665534246574
Oil Products,Electricity,-19.49711720547945
"Crude, NGL and feedstocks",Oil Products,-135.49498975342468
All products,Heat and Waste,25.60656175342467
All products,Industry,24.007256164383566
All products,Transport,60.197454301369866
All products,Residential,28.34129438356165
All products,Commercial,5.565578630136986
All products,Other,11.628492739726028
All products,Total Consumption,129.74009630136987
All primary,Production,441.2678073972603
All primary,Exports,-262.1529315068493
All primary,Total Consumption,13.235449643835617
All primary,Oil Products,-135.49498975342468
All primary,Electricity,-30.781782739726026
Oil Products,Production,127.15589978082193
All products,Hydrocarbon Heat and Waste,8.33908997260275
All products,Electricity Heat and Waste,17.26747178082192
