product,flow,value
Combustible renewables and waste,Industry,2.919222705479452
Combustible renewables and waste,Residential,6.007005287671232
Oil Products,Industry,17.953529657534247
Oil Products,Transport,79.97068156164383
Oil Products,Residential,20.362192760273974
Oil Products,Commercial,2.728733075342466
Oil Products,Other,13.107992993150685
Electricity,Industry,4.0111165753424665
Electricity,Residential,6.944110643835615
Electricity,Commercial,5.041744698630137
Electricity,Other,1.6804376438356168
Gas,Electricity output in GWh,1236.0
Hydro,Electricity output in GWh,8586.0
Solar/Wind/Other,Electricity output in GWh,1.0
Combustible renewables and waste,Electricity output in GWh,439.75
Oil Products,Electricity output in GWh,4885.5
"Crude, NGL and feedstocks",Production,548.2110715205479
Gas,Production,10.484686404109588
Hydro,Production,14.828610082191782
Solar/Wind/Other,Production,0.0017270684931506848
Combustible renewables and waste,Production,12.722078534246574
"Crude, NGL and feedstocks",Exports,-373.5086849315069
Combustible renewables and waste,Total Consumption,8.926227993150686
Oil Products,Imports,64.24478910958904
Electricity,Imports,2.0094441917808217
Oil Products,Exports,-40.59535241780822
Oil Products,Total Consumption,134.12313506849313
Electricity,Total Consumption,17.677409561643834
Electricity,Production,55.23449204109588
"Crude, NGL and feedstocks",Electricity,-2.389780821917808
Gas,Electricity,-7.74208155479452
Hydro,Electricity,-14.828610082191778
Solar/Wind/Other,Electricity,-0.0017270684931506848
Combustible renewables and waste,Electricity,-3.795855561643836
Oil Products,Electricity,-26.47643695205479
"Crude, NGL and feedstocks",Oil Products,-172.50319580821917
All products,Heat and Waste,42.582440109589015
All products,Industry,24.883863917808224
All products,Transport,79.97067654109588
All products,Residential,33.313308691780826
All products,Commercial,7.770487815068492
All products,Other,14.788430636986302
All products,Total Consumption,160.72677262328764
All primary,Production,586.2481736095888
All primary,Exports,-373.5086849315069
All primary,Total Consumption,8.926227993150686
All primary,Oil Products,-172.50319580821917
All primary,Electricity,-55.23449204109588
Oil Products,Production,165.32116139726028
All products,Hydrocarbon Heat and Waste,7.182034410958892
All products,Electricity Heat and Waste,35.400405698630124
