product,flow,value
Combustible renewables and waste,Industry,3.3794713972602746
Combustible renewables and waste,Residential,25.219537753424657
Oil Products,Industry,2.8942856438356164
Oil Products,Transport,5.804918191780822
Oil Products,Residential,0.8688961917808219
Oil Products,Other,0.9054859452054794
Electricity,Industry,0.7909973698630137
Electricity,Residential,0.6925544657534246
Electricity,Commercial,0.25733320547945204
Hydro,Electricity output in GWh,196.0
Geothermal,Electricity output in GWh,532.0
Oil Products,Electricity output in GWh,429.0
Hydro,Production,0.3385054246575343
Geothermal,Production,9.184590410958904
Combustible renewables and waste,Production,28.641884630136985
"Crude, NGL and feedstocks",Imports,14.84349098630137
Combustible renewables and waste,Total Consumption,28.59900915068493
Oil Products,Imports,0.9914377260273973
Oil Products,Exports,-0.9835855890410958
Oil Products,Total Consumption,10.473606054794521
Electricity,Total Consumption,1.7408850410958905
Electricity,Production,11.94227698630137
Hydro,Electricity,-0.3385054246575343
Geothermal,Electricity,-9.184590410958904
Oil Products,Electricity,-2.4191811506849317
"Crude, NGL and feedstocks",Oil Products,-14.681708849315068
All products,Heat and Waste,10.504291643835616
All products,Industry,7.064754410958903
All products,Transport,5.804918191780822
All products,Residential,26.780988410958905
All products,Commercial,0.25733320547945204
All products,Other,0.9054859452054794
All products,Total Consumption,40.813500246575344
All primary,Production,38.16498046575342
All primary,Imports,14.84349098630137
All primary,Total Consumption,28.59900915068493
All primary,Oil Products,-14.681708849315068
All primary,Electricity,-11.94227698630137
Oil Products,Production,14.361538465753425
All products,Hydrocarbon Heat and Waste,0.32017038356164385
All products,Electricity Heat and Waste,10.184121260273972
