product,flow,value
Coal and coal products,Industry,0.005281616438356165
Combustible renewables and waste,Industry,3.7401124178082195
Combustible renewables and waste,Residential,20.780047945205478
Combustible renewables and waste,Commercial,0.3093209794520548
Oil Products,Industry,6.918254821917808
Oil Products,Transport,16.882079458904112
Oil Products,Residential,3.143575931506849
Oil Products,Commercial,0.03223191780821918
Oil Products,Other,0.5564022260273973
Electricity,Industry,2.933425835616438
Electricity,Residential,2.3272247945205478
Electricity,Commercial,1.0539435479452055
Electricity,Other,0.08289928767123288
Hydro,Electricity output in GWh,1311.25
Geothermal,Electricity output in GWh,835.75
Combustible renewables and waste,Electricity output in GWh,22.0
Oil Products,Electricity output in GWh,1744.0
Hydro,Production,2.2646185616438355
Geothermal,Production,14.428602945205478
Combustible renewables and waste,Production,27.125749438356163
Coal and coal products,Imports,0.013535397260273974
"Crude, NGL and feedstocks",Imports,20.404731863013698
Combustible renewables and waste,Imports,0.11079847260273973
Coal and coal products,Total Consumption,0.005281616438356165
Combustible renewables and waste,Total Consumption,24.829481342465755
Oil Products,Imports,22.763028828767123
Electricity,Imports,0.8868496712328767
Oil Products,Exports,-5.7356747945205475
Electricity,Exports,-0.17918335616438358
Oil Products,Total Consumption,27.532534315068496
Electricity,Total Consumption,6.397493465753424
Electricity,Production,26.136806924657535
Hydro,Electricity,-2.2646185616438355
Geothermal,Electricity,-14.428602945205478
Combustible renewables and waste,Electricity,-2.1686959726027397
Oil Products,Electricity,-7.2748894452054795
"Crude, NGL and feedstocks",Oil Products,-20.32384079452055
All products,Heat and Waste,21.242591027397264
All products,Industry,13.59707469178082
All products,Transport,16.882079458904112
All products,Residential,26.25083360958904
All products,Commercial,1.3954964452054794
All products,Other,0.6393015136986302
All products,Total Consumption,58.764790739726024
All primary,Production,43.81897094520548
All primary,Imports,20.52906573287671
All primary,Total Consumption,24.83476295890411
All primary,Oil Products,-20.32384079452055
All primary,Electricity,-26.136806924657535
Oil Products,Production,19.343433212328765
All products,Hydrocarbon Heat and Waste,0.9804075821917841
All products,Electricity Heat and Waste,20.26218344520548
