flow,period,value
Industry,1971-1974,2.595392342465753
Residential,1971-1974,22.816452479452053
Electricity output in GWh,1971-1974,25.5
Production,1971-1974,25.602058321917813
Total Consumption,1971-1974,25.411849842465756
Electricity,1971-1974,-0.14423030136986303
Industry,1971,2.2961375616438358
Residential,1971,21.851854602739728
Electricity output in GWh,1971,16.0
Production,1971,24.299452054794518
Total Consumption,1971,24.148012246575345
Electricity,1971,-0.09494860273972602
Industry,1972,2.484608931506849
Residential,1972,22.472996794520544
Electricity output in GWh,1972,40.0
Production,1972,25.22738989041096
Total Consumption,1972,24.957605726027396
Electricity,1972,-0.22012090410958907
Industry,1973,2.5906027397260276
Residential,1973,23.13094964383562
Electricity output in GWh,1973,22.0
Production,1973,25.889198520547946
Total Consumption,1973,25.721552383561647
Electricity,1973,-0.12517230136986301
Industry,1974,3.0102201369863013
Residential,1974,23.810008876712327
Electricity output in GWh,1974,24.0
Production,1974,26.99219282191781
Total Consumption,1974,26.82022901369863
Electricity,1974,-0.13667939726027398
Industry,1975,3.4437344109589043
Residential,1975,24.489650493150684
Production,1975,27.976260383561645
Total Consumption,1975,27.933384904109587
Industry,1976,3.3794713972602746
Residential,1976,25.219537753424657
Production,1976,28.641884630136985
Total Consumption,1976,28.59900915068493
Industry,1977,3.738661479452055
Residential,1977,25.96382394520548
Production,1977,29.74536090410959
Total Consumption,1977,29.702485424657535
Industry,1978,3.7669572876712327
Residential,1978,26.730160383561646
Production,1978,30.539993150684932
Total Consumption,1978,30.497117671232875
Industry,1979,3.6633733424657535
Residential,1979,27.50368624657534
Production,1979,31.20993506849315
Total Consumption,1979,31.167079671232877
Industry,1980,2.8567520273972598
Residential,1980,25.38593879452055
Production,1980,28.27837687671233
Total Consumption,1980,28.24271090410959
Industry,1981,2.6663728493150685
Residential,1981,25.725468410958907
Production,1981,28.42752731506849
Total Consumption,1981,28.39184126027397
Industry,1982,2.901836547945205
Residential,1982,26.057808602739726
Production,1982,28.995331205479456
Total Consumption,1982,28.959645150684935
Industry,1983,3.2274492054794517
Residential,1983,26.744539232876708
Production,1983,30.007674493150684
Total Consumption,1983,29.972008520547945
Industry,1984-1987,3.247481191780822
Residential,1984-1987,23.84987704794521
Electricity output in GWh,1984-1987,23.75
Production,1984-1987,28.21483682191781
Total Consumption,1984-1987,27.097348198630137
Electricity,1984-1987,-0.9877777465753423
Industry,1984,3.314264520547945
Residential,1984,27.098949753424655
Electricity output in GWh,1984,25.0
Production,1984,30.59658476712329
Total Consumption,1984,30.41319419178082
Electricity,1984,-0.14770452054794522
Industry,1985,2.2860763835616438
Residential,1985,27.38811323287671
Electricity output in GWh,1985,25.0
Production,1985,31.019555890410963
Total Consumption,1985,29.674189616438355
Electricity,1985,-1.309680219178082
Industry,1986,2.2510731232876715
Residential,1986,20.84260397260274
Electricity output in GWh,1986,27.0
Production,1986,24.58239005479452
Total Consumption,1986,23.093657013698632
Electricity,1986,-1.2900197534246574
Industry,1987,5.138510739726027
Residential,1987,20.069841232876712
Electricity output in GWh,1987,18.0
Production,1987,26.66081657534247
Total Consumption,1987,25.20835197260274
Electricity,1987,-1.203706493150685
Industry,1988,5.844901835616438
Residential,1988,17.2729341369863
Production,1988,23.293796136986302
Total Consumption,1988,23.11783597260274
Industry,1989,5.44400104109589
Residential,1989,17.52605008219178
Production,1989,23.152819150684934
Total Consumption,1989,22.970051123287668
Industry,1990,5.932199123287671
Residential,1990,17.793645287671236
Production,1990,23.908592356164384
Total Consumption,1990,23.725844410958903
Industry,1991,6.699499506849316
Residential,1991,18.08234687671233
Production,1991,24.964594328767127
Total Consumption,1991,24.78182630136986
Industry,1992,6.019476328767124
Residential,1992,19.40297189041096
Commercial,1992,0.2517704383561644
Production,1992,25.91173073972603
Total Consumption,1992,25.674198575342462
Industry,1993,5.604176602739726
Residential,1993,19.538687342465753
Commercial,1993,0.2584778904109589
Production,1993,25.63885391780822
Total Consumption,1993,25.40134183561644
Industry,1994,5.495793013698631
Residential,1994,19.69299890410959
Commercial,1994,0.26472345205479453
Production,1994,25.67626704109589
Imports,1994,0.01478049315068493
Total Consumption,1994,25.453515369863016
Industry,1995,5.450708493150685
Residential,1995,19.83640583561644
Commercial,1995,0.27143090410958903
Production,1995,25.781296904109592
Imports,1995,0.01478049315068493
Total Consumption,1995,25.558545232876707
Industry,1996,5.420504876712329
Residential,1996,19.99790682191781
Commercial,1996,0.2786203287671233
Production,1996,25.905023287671234
Imports,1996,0.029540904109589046
Total Consumption,1996,25.69703202739726
Industry,1997,5.662676027397262
Residential,1997,20.148985150684933
