flow,period,value
Electricity output in GWh,1975,166.0
Production,1975,2.8658693424657535
Electricity,1975,-2.8658693424657535
Electricity output in GWh,1976,532.0
Production,1976,9.184590410958904
Electricity,1976,-9.184590410958904
Electricity output in GWh,1977,521.0
Production,1977,8.99467312328767
Electricity,1977,-8.99467312328767
Electricity output in GWh,1978,600.0
Production,1978,10.358555178082192
Electricity,1978,-10.358555178082192
Electricity output in GWh,1979,479.0
Production,1979,8.269585506849316
Electricity,1979,-8.269585506849316
Electricity output in GWh,1980,492.0
Production,1980,8.494024082191782
Electricity,1980,-8.494024082191782
Electricity output in GWh,1981,797.0
Production,1981,13.759614931506848
Electricity,1981,-13.759614931506848
Electricity output in GWh,1982,892.0
Production,1982,15.399727534246576
Electricity,1982,-15.399727534246576
Electricity output in GWh,1983,671.0
Production,1983,11.58431191780822
Electricity,1983,-11.58431191780822
Electricity output in GWh,1984-1987,477.5
Production,1984-1987,8.2436845
Electricity,1984-1987,-8.2436845
Electricity output in GWh,1984,680.0
Production,1984,11.739687835616438
Electricity,1984,-11.739687835616438
Electricity output in GWh,1985,422.0
Production,1985,7.28551794520548
Electricity,1985,-7.28551794520548
Electricity output in GWh,1986,373.0
Production,1986,6.439575698630137
Electricity,1986,-6.439575698630137
Electricity output in GWh,1987,435.0
Production,1987,7.509956520547945
Electricity,1987,-7.509956520547945
Electricity output in GWh,1988,430.0
Production,1988,7.423623178082192
Electricity,1988,-7.423623178082192
Electricity output in GWh,1989,441.0
Production,1989,7.613540465753425
Electricity,1989,-7.613540465753425
Electricity output in GWh,1990,419.0
Production,1990,7.233725972602739
Electricity,1990,-7.233725972602739
Electricity output in GWh,1991,425.0
Production,1991,7.337309917808218
Electricity,1991,-7.337309917808218
Electricity output in GWh,1992,391.0
Production,1992,6.750327534246575
Electricity,1992,-6.750327534246575
Electricity output in GWh,1993,380.0
Production,1993,6.560410246575342
Electricity,1993,-6.560410246575342
Electricity output in GWh,1994,407.0
Production,1994,7.02655808219178
Electricity,1994,-7.02655808219178
Electricity output in GWh,1995,443.0
Production,1995,7.648061753424659
Electricity,1995,-7.648061753424659
Electricity output in GWh,1996,431.0
Production,1996,7.440893863013699
Electricity,1996,-7.440893863013699
Electricity output in GWh,1997,486.0
Production,1997,8.39042005479452
Electricity,1997,-8.39042005479452
Electricity output in GWh,1998,451.0
Production,1998,7.786187068493152
Electricity,1998,-7.786187068493152
Electricity output in GWh,1999-2002,835.75
Production,1999-2002,14.428602945205478
Electricity,1999-2002,-14.428602945205478
Electricity output in GWh,1999,598.0
Production,1999,10.324033890410961
Electricity,1999,-10.324033890410961
Electricity output in GWh,2000,786.0
Production,2000,13.569697643835616
Electricity,2000,-13.569697643835616
Electricity output in GWh,2001,966.0
Production,2001,16.677276246575342
Electricity,2001,-16.677276246575342
Electricity output in GWh,2002,993.0
Production,2002,17.143404
Electricity,2002,-17.143404
Electricity output in GWh,2003,1026.0
Production,2003,17.71313578082192
Electricity,2003,-17.71313578082192
Electricity output in GWh,2004,1011.0
Production,2004,17.45415583561644
Electricity,2004,-17.45415583561644
Electricity output in GWh,2005-2008,1273.0
Production,2005-2008,21.97740344520548
Electricity,2005-2008,-21.97740344520548
Electricity output in GWh,2005,1051.0
Production,2005,18.144742246575344
Electricity,2005,-18.144742246575344
Electricity output in GWh,2006,1140.0
Production,2006,19.681250821917807
Electricity,2006,-19.681250821917807
Electricity output in GWh,2007,1382.0
Production,2007,23.859210246575344
Electricity,2007,-23.859210246575344
Electricity output in GWh,2008,1519.0
Production,2008,26.224410465753426
Electricity,2008,-26.224410465753426
Electricity output in GWh,2009,1524.0
Production,2009,26.310723726027398
Electricity,2009,-26.310723726027398
Electricity output in GWh,2010,1525.0
Production,2010,26.327994410958905
Electricity,2010,-26.327994410958905
Electricity output in GWh,2011,1534.0
Production,2011,26.483370328767123
Electricity,2011,-26.483370328767123
Electricity output in GWh,2012,1535.0
Production,2012,26.50064101369863
Electricity,2012,-26.50064101369863
Electricity output in GWh,2013,1560.0
Production,2013,26.93224747945206
Electricity,2013,-26.93224747945206
Electricity output in GWh,2014,1558.0
Production,2014,26.89770610958904
Electricity,2014,-26.89770610958904
Electricity output in GWh,2016,1576.0
Production,2016,27.213699397260275
Electricity,2016,-27.213699397260275
Electricity output in GWh,2015,1540.0
Production,2015,26.586954273972598
Electricity,2015,-26.586954273972598
