flow,period,value
Electricity output in GWh,1971-1974,504.5
Production,1971-1974,0.8713060547945205
Electricity,1971-1974,-0.8713060547945205
Electricity output in GWh,1971,522.0
Production,1971,0.9015297534246577
Electricity,1971,-0.9015297534246577
Electricity output in GWh,1972,442.0
Production,1972,0.7633642739726029
Electricity,1972,-0.7633642739726029
Electricity output in GWh,1973,492.0
Production,1973,0.8497176986301369
Electricity,1973,-0.8497176986301369
Electricity output in GWh,1974,562.0
Production,1974,0.970612493150685
Electricity,1974,-0.970612493150685
Electricity output in GWh,1975,286.0
Production,1975,0.49394158904109586
Electricity,1975,-0.49394158904109586
Electricity output in GWh,1976,196.0
Production,1976,0.3385054246575343
Electricity,1976,-0.3385054246575343
Electricity output in GWh,1977,411.0
Production,1977,0.7098251506849313
Electricity,1977,-0.7098251506849313
Electricity output in GWh,1978,666.0
Production,1978,1.1502276164383562
Electricity,1978,-1.1502276164383562
Electricity output in GWh,1979,1031.0
Production,1979,1.7806076164383562
Electricity,1979,-1.7806076164383562
Electricity output in GWh,1980,946.0
Production,1980,1.633806794520548
Electricity,1980,-1.633806794520548
Electricity output in GWh,1981,546.0
Production,1981,0.9429793972602741
Electricity,1981,-0.9429793972602741
Electricity output in GWh,1982,452.0
Production,1982,0.7806349589041096
Electricity,1982,-0.7806349589041096
Electricity output in GWh,1983,803.0
Production,1983,1.3868360000000002
Electricity,1983,-1.3868360000000002
Electricity output in GWh,1984-1987,1101.25
Production,1984-1987,1.9019341780821917
Electricity,1984-1987,-1.9019341780821917
Electricity output in GWh,1984,869.0
Production,1984,1.500822520547945
Electricity,1984,-1.500822520547945
Electricity output in GWh,1985,1171.0
Production,1985,2.022397205479452
Electricity,1985,-2.022397205479452
Electricity output in GWh,1986,1231.0
Production,1986,2.1260213150684932
Electricity,1986,-2.1260213150684932
Electricity output in GWh,1987,1134.0
Production,1987,1.9584956712328767
Electricity,1987,-1.9584956712328767
Electricity output in GWh,1988,1302.0
Production,1988,2.2486431780821916
Electricity,1988,-2.2486431780821916
Electricity output in GWh,1989,1425.0
Production,1989,2.4610726027397263
Electricity,1989,-2.4610726027397263
Electricity output in GWh,1990,1648.0
Production,1990,2.846208876712329
Electricity,1990,-2.846208876712329
Electricity output in GWh,1991,1268.0
Production,1991,2.1899228493150686
Electricity,1991,-2.1899228493150686
Electricity output in GWh,1992,1416.0
Production,1992,2.44552898630137
Electricity,1992,-2.44552898630137
Electricity output in GWh,1993,1518.0
Production,1993,2.6216899726027396
Electricity,1993,-2.6216899726027396
Electricity output in GWh,1994,1448.0
Production,1994,2.5007951780821918
Electricity,1994,-2.5007951780821918
Electricity output in GWh,1995,1471.0
Production,1995,2.5405177534246577
Electricity,1995,-2.5405177534246577
Electricity output in GWh,1996,1883.0
Production,1996,3.2520699726027393
Electricity,1996,-3.2520699726027393
Electricity output in GWh,1997,1429.0
Production,1997,2.467980876712329
Electricity,1997,-2.467980876712329
Electricity output in GWh,1998,1566.0
Production,1998,2.704589260273972
Electricity,1998,-2.704589260273972
Electricity output in GWh,1999-2002,1311.25
Production,1999-2002,2.2646185616438355
Electricity,1999-2002,-2.2646185616438355
Electricity output in GWh,1999,1767.0
Production,1999,3.0517300273972596
Electricity,1999,-3.0517300273972596
Electricity output in GWh,2000,1175.0
Production,2000,2.029305479452055
Electricity,2000,-2.029305479452055
Electricity output in GWh,2001,1164.0
Production,2001,2.0103077260273974
Electricity,2001,-2.0103077260273974
Electricity output in GWh,2002,1139.0
Production,2002,1.96713101369863
Electricity,2002,-1.96713101369863
Electricity output in GWh,2003,1466.0
Production,2003,2.531882410958904
Electricity,2003,-2.531882410958904
Electricity output in GWh,2004,1388.0
Production,2004,2.397171068493151
Electricity,2004,-2.397171068493151
Electricity output in GWh,2005-2008,1852.0
Production,2005-2008,3.198530849315068
Electricity,2005-2008,-3.198530849315068
Electricity output in GWh,2005,1669.0
Production,2005,2.882477315068493
Electricity,2005,-2.882477315068493
Electricity output in GWh,2006,1962.0
Production,2006,3.388508383561644
Electricity,2006,-3.388508383561644
Electricity output in GWh,2007,1739.0
Production,2007,3.003372109589041
Electricity,2007,-3.003372109589041
Electricity output in GWh,2008,2038.0
Production,2008,3.519765589041096
Electricity,2008,-3.519765589041096
Electricity output in GWh,2009,1505.0
Production,2009,2.5992380821917807
Electricity,2009,-2.5992380821917807
Electricity output in GWh,2010,2084.0
Production,2010,3.5992107397260273
Electricity,2010,-3.5992107397260273
Electricity output in GWh,2011,2011.0
Production,2011,3.4731347397260275
Electricity,2011,-3.4731347397260275
Electricity output in GWh,2012,1847.0
Production,2012,3.1898955068493153
Electricity,2012,-3.1898955068493153
Electricity output in GWh,2013,1790.0
Production,2013,3.091452602739726
Electricity,2013,-3.091452602739726
Electricity output in GWh,2014,1718.0
Production,2014,2.967103671232876
Electricity,2014,-2.967103671232876
Electricity output in GWh,2016,1261.0
Production,2016,2.1774317260273977
Electricity,2016,-2.1774317260273977
Electricity output in GWh,2015,1353.0
Production,2015,2.3367236712328765
Electricity,2015,-2.3367236712328765
