product,flow,value
Coal and coal products,Industry,982.6612258356164
Peat,Industry,7.553595123287672
"Crude, NGL and feedstocks",Industry,0.32744013698630137
Coal and coal products,Transport,0.3362963835616438
Coal and coal products,Residential,431.0568563287672
Peat,Residential,13.325839589041095
Coal and coal products,Commercial,89.3473581369863
Peat,Commercial,0.2740616712328767
Coal and coal products,Other,78.53123021917807
Peat,Other,0.3882490136986301
Gas,Industry,1722.971926849315
Solar/Wind/Other,Industry,0.014378849315068491
Combustible renewables and waste,Industry,296.0843650410959
Gas,Transport,6.954683917808219
Combustible renewables and waste,Transport,2.8433772876712324
Gas,Residential,1794.3494987945207
Geothermal,Residential,2.4174741643835618
Solar/Wind/Other,Residential,3.5670189863013704
Combustible renewables and waste,Residential,518.4159770684931
Gas,Commercial,652.4867377808218
Geothermal,Commercial,1.8113132876712328
Solar/Wind/Other,Commercial,0.8819094520547945
Combustible renewables and waste,Commercial,17.99029010958904
Gas,Other,472.2979666849315
Geothermal,Other,4.549600465753424
Solar/Wind/Other,Other,0.23835553424657535
Combustible renewables and waste,Other,28.422004712328768
Oil Products,Industry,1104.0862906301368
Oil Products,Transport,5333.115271205479
Oil Products,Residential,1206.9216319726027
Oil Products,Commercial,527.0064559178082
Oil Products,Other,2137.181290273973
Electricity,Industry,1613.1406929315067
Electricity,Transport,116.16608098630137
Electricity,Residential,1121.4149327671234
Electricity,Commercial,873.2576421917809
Electricity,Other,77.25177369863015
Heat,Industry,267.4645708219178
Heat,Residential,533.795522
Heat,Commercial,99.91452712328767
Heat,Other,50.35599547945206
Coal and coal products,Electricity output in GWh,946503.0
Peat,Electricity output in GWh,7287.0
Gas,Electricity output in GWh,244865.0
Nuclear,Electricity output in GWh,858724.0
Hydro,Electricity output in GWh,332866.0
Geothermal,Electricity output in GWh,3450.0
Solar/Wind/Other,Electricity output in GWh,4332.0
Combustible renewables and waste,Electricity output in GWh,27092.0
Oil Products,Electricity output in GWh,214862.0
Coal and coal products,Production,5419.699681232877
Peat,Production,76.99911964383561
"Crude, NGL and feedstocks",Production,3460.4205836164383
Gas,Production,3680.664491150685
Nuclear,Production,4495.7794286575345
Hydro,Production,574.8823810410959
Geothermal,Production,68.45133553424658
Solar/Wind/Other,Production,11.661146383561645
Combustible renewables and waste,Production,1089.2446070410958
Coal and coal products,Imports,2217.981306109589
Peat,Imports,1.789062219178082
"Crude, NGL and feedstocks",Imports,11988.93862161644
Gas,Imports,3280.128810958904
Combustible renewables and waste,Imports,9.227566301369864
Coal and coal products,Exports,-719.3123797260274
Peat,Exports,-1.9747020000000002
"Crude, NGL and feedstocks",Exports,-2044.0436594246573
Gas,Exports,-674.5143918904109
Combustible renewables and waste,Exports,-3.1474216712328764
Coal and coal products,Total Consumption,1581.933027150685
Peat,Total Consumption,21.541765479452057
"Crude, NGL and feedstocks",Total Consumption,0.32744013698630137
Gas,Total Consumption,4649.0609345205485
Geothermal,Total Consumption,8.77838791780822
Solar/Wind/Other,Total Consumption,4.701642739726028
Combustible renewables and waste,Total Consumption,863.7560343013698
Oil Products,Imports,4127.595336054795
Electricity,Imports,321.1224802739726
Oil Products,Exports,-4023.2860220821917
Electricity,Exports,-286.9904256438356
Oil Products,Total Consumption,10308.310859671232
Electricity,Total Consumption,3801.231122575343
Electricity,Production,12386.01861849315
Coal and coal products,Electricity,-4853.84424539726
Peat,Electricity,-41.37939632876712
"Crude, NGL and feedstocks",Electricity,-17.538380547945206
Gas,Electricity,-1149.2946580547946
Nuclear,Electricity,-4495.779448739726
Hydro,Electricity,-574.8823810410959
Geothermal,Electricity,-59.57032761643836
Solar/Wind/Other,Electricity,-6.956631890410959
Combustible renewables and waste,Electricity,-172.13332200000002
Oil Products,Electricity,-1014.6398268767123
"Crude, NGL and feedstocks",Oil Products,-14180.754779808218
All products,Heat and Waste,8124.977579945205
All products,Industry,5995.893088
All products,Transport,5459.41568969863
All products,Residential,5625.269069342465
All products,Commercial,2262.970275589041
All products,Other,2849.5185624931505
All products,Total Consumption,21239.64121449315
All primary,Production,18877.802774301366
All primary,Imports,17498.065367205483
All primary,Exports,-3442.9925547123285
All primary,Total Consumption,7130.099232246575
All primary,Oil Products,-14180.754779808218
All primary,Electricity,-12386.01861849315
Oil Products,Production,14197.877318410958
All products,Hydrocarbon Heat and Waste,-17.12253860273995
All products,Electricity Heat and Waste,8142.100118547945
