product,flow,value
Coal and coal products,Industry,610.2018354246575
Peat,Industry,5.691719897260273
"Crude, NGL and feedstocks",Industry,0.5054637465753424
Coal and coal products,Transport,0.22049744520547945
Coal and coal products,Residential,199.8430364726027
Peat,Residential,6.089688691780822
Coal and coal products,Commercial,24.654143726027396
Peat,Commercial,0.1081225205479452
Coal and coal products,Other,57.493377136986304
Peat,Other,0.7148005136986302
"Crude, NGL and feedstocks",Other,80.50065562328767
Gas,Industry,1864.6206474041098
Geothermal,Industry,0.038964472602739726
Solar/Wind/Other,Industry,0.03130311643835616
Combustible renewables and waste,Industry,390.36949232876714
Gas,Transport,54.965455938356165
Combustible renewables and waste,Transport,131.55492397260275
Gas,Residential,2266.7502310753425
Geothermal,Residential,0.5522150890410958
Solar/Wind/Other,Residential,14.929754041095888
Combustible renewables and waste,Residential,724.494734910959
Gas,Commercial,893.4985836986302
Geothermal,Commercial,6.240445705479453
Solar/Wind/Other,Commercial,2.1760209520547944
Combustible renewables and waste,Commercial,40.23746767808219
Gas,Other,475.4532354726028
Geothermal,Other,2.263283095890411
Solar/Wind/Other,Other,0.794401301369863
Combustible renewables and waste,Other,33.12478711643836
Oil Products,Industry,892.2086191712328
Oil Products,Transport,6324.747899924658
Oil Products,Residential,983.8155401780822
Oil Products,Commercial,423.15600998630134
Oil Products,Other,2300.5709063013696
Electricity,Industry,1952.3041306849318
Electricity,Transport,111.8358885068493
Electricity,Residential,1399.7648347397262
Electricity,Commercial,1342.8484290136985
Electricity,Other,88.15691593150686
Heat,Industry,321.56480058904106
Heat,Residential,423.05156752739725
Heat,Commercial,193.65556758904108
Heat,Other,86.59382857534247
Coal and coal products,Electricity output in GWh,974603.5
Peat,Electricity output in GWh,8830.75
"Crude, NGL and feedstocks",Electricity output in GWh,135.0
Gas,Electricity output in GWh,720448.0
Nuclear,Electricity output in GWh,965017.0
Hydro,Electricity output in GWh,318968.5
Geothermal,Electricity output in GWh,5629.0
Solar/Wind/Other,Electricity output in GWh,104280.75
Combustible renewables and waste,Electricity output in GWh,99071.25
Oil Products,Electricity output in GWh,125302.25
Coal and coal products,Production,3646.2475957328766
Peat,Production,58.51910018493151
"Crude, NGL and feedstocks",Production,2453.4606035821917
Gas,Production,3596.671050363014
Nuclear,Production,5053.544186212329
Hydro,Production,550.8804466575343
Geothermal,Production,110.6251582671233
Solar/Wind/Other,Production,188.3105868150685
Combustible renewables and waste,Production,1967.9893767808219
Coal and coal products,Imports,3265.497257383562
Peat,Imports,2.6007844109589042
"Crude, NGL and feedstocks",Imports,13245.291910965754
Gas,Imports,6719.91242220548
Combustible renewables and waste,Imports,103.87492110273972
Coal and coal products,Exports,-577.9222475136986
Peat,Exports,-1.395406075342466
"Crude, NGL and feedstocks",Exports,-1489.487072171233
Gas,Exports,-1437.8889379041098
Combustible renewables and waste,Exports,-53.3954402260274
Coal and coal products,Total Consumption,892.412940410959
Peat,Total Consumption,12.604311541095893
"Crude, NGL and feedstocks",Total Consumption,81.00611936986301
Gas,Total Consumption,5555.288138527397
Geothermal,Total Consumption,9.094908363013698
Solar/Wind/Other,Total Consumption,17.931464349315068
Combustible renewables and waste,Total Consumption,1319.7813708630138
Oil Products,Imports,6010.108438150684
Electricity,Imports,560.4242271506848
Oil Products,Exports,-5675.597060205479
Electricity,Exports,-532.9241155342465
Oil Products,Total Consumption,10924.498940417809
Electricity,Total Consumption,4894.910198876713
Electricity,Production,14542.947004075344
Coal and coal products,Electricity,-4694.822957931507
Peat,Electricity,-46.824316130136985
"Crude, NGL and feedstocks",Electricity,-0.6262982945205477
Gas,Electricity,-2693.383377178082
Nuclear,Electricity,-5053.544201273973
Hydro,Electricity,-550.8804466575343
Geothermal,Electricity,-97.33432193835617
Solar/Wind/Other,Electricity,-170.3501087191781
Combustible renewables and waste,Electricity,-602.3481772123288
Oil Products,Electricity,-632.8327987397261
"Crude, NGL and feedstocks",Oil Products,-14627.239177506848
All products,Heat and Waste,9302.246911890408
All products,Industry,6038.992795164383
All products,Transport,6623.324705952055
All products,Residential,6019.2915475
All products,Commercial,2926.574765767123
All products,Other,3125.8106121506853
All products,Total Consumption,23707.52839271918
All primary,Production,17626.248104595892
All primary,Imports,23337.177296068498
All primary,Exports,-3560.089103890411
All primary,Total Consumption,7888.1192534246575
All primary,Oil Products,-14627.239177506848
All primary,Electricity,-14542.947004075344
Oil Products,Production,14488.905866157536
All products,Hydrocarbon Heat and Waste,138.33331134931177
All products,Electricity Heat and Waste,9163.913600541096
