flow,period,value
Heat and Waste,1993,8130.7778189863
Industry,1993,5958.182467123287
Transport,1993,5416.857689616438
Residential,1993,5833.324592630136
Commercial,1993,2253.1538793424656
Other,1993,2734.112913780822
Total Consumption,1993,21160.999130575343
Hydrocarbon Heat and Waste,1993,-41.26886394520443
Electricity Heat and Waste,1993,8172.046682931505
Heat and Waste,1994,8124.977579945205
Industry,1994,5995.893088
Transport,1994,5459.41568969863
Residential,1994,5625.269069342465
Commercial,1994,2262.970275589041
Other,1994,2849.5185624931505
Total Consumption,1994,21239.64121449315
Hydrocarbon Heat and Waste,1994,-17.12253860273995
Electricity Heat and Waste,1994,8142.100118547945
Heat and Waste,1995,8375.969532136987
Industry,1995,6177.173788109589
Transport,1995,5518.298142
Residential,1995,5719.99222939726
Commercial,1995,2289.0704375342466
Other,1995,3049.508414849315
Total Consumption,1995,21821.945451479452
Hydrocarbon Heat and Waste,1995,142.49586271232874
Electricity Heat and Waste,1995,8233.473669424659
Heat and Waste,1996,8669.236024273974
Industry,1996,6242.091581671233
Transport,1996,5702.593078684932
Residential,1996,6216.015277369863
Commercial,1996,2489.3056139452056
Other,1996,3045.7181421369864
Total Consumption,1996,22681.459283424658
Hydrocarbon Heat and Waste,1996,139.42314679452284
Electricity Heat and Waste,1996,8529.812877479451
Heat and Waste,1997,8462.149024931505
Industry,1997,6262.143850986301
Transport,1997,5785.659450191782
Residential,1997,5976.881136465754
Commercial,1997,2384.451911917808
Other,1997,3109.5976863835617
Total Consumption,1997,22600.058287917807
Hydrocarbon Heat and Waste,1997,90.98158665753363
Electricity Heat and Waste,1997,8371.167438273971
Heat and Waste,1998,8482.831513589044
Industry,1998,6140.769694547946
Transport,1998,5970.804385726027
Residential,1998,5980.558105452055
Commercial,1998,2424.877725452055
Other,1998,3132.6254938904112
Total Consumption,1998,22738.00270260274
Hydrocarbon Heat and Waste,1998,98.83091213698935
Electricity Heat and Waste,1998,8384.000601452055
Heat and Waste,1999,8468.723934520547
Industry,1999,6054.162471150685
Transport,1999,6110.511193479452
Residential,1999,5894.890688465754
Commercial,1999,2495.285186958904
Other,1999,3039.2973031232877
Total Consumption,1999,22678.87735619178
Hydrocarbon Heat and Waste,1999,127.85857567123276
Electricity Heat and Waste,1999,8340.865358849314
Heat and Waste,1999-2002,8724.047228897258
Industry,1999-2002,6158.395723821918
Transport,1999-2002,6161.601092657534
Residential,1999-2002,5961.075422321917
Commercial,1999-2002,2506.977470780822
Other,1999-2002,3081.8944534383563
Total Consumption,1999-2002,22934.340874472604
Hydrocarbon Heat and Waste,1999-2002,140.0936961986281
Electricity Heat and Waste,1999-2002,8583.95353269863
Heat and Waste,2000,8617.099441260276
Industry,2000,6217.876735890411
Transport,2000,6097.73904
Residential,2000,5835.364300684932
Commercial,2000,2432.3791872054794
Other,2000,3111.2463941643837
Total Consumption,2000,22782.65605849315
Hydrocarbon Heat and Waste,2000,156.14052717808408
Electricity Heat and Waste,2000,8460.958914082192
Heat and Waste,2001,8855.14171339726
Industry,2001,6209.462397945205
Transport,2001,6187.358471671233
Residential,2001,6123.71408989041
Commercial,2001,2574.970339917808
Other,2001,3098.649497972603
Total Consumption,2001,23225.87438893151
Hydrocarbon Heat and Waste,2001,139.40491216438386
Electricity Heat and Waste,2001,8715.736801232877
Heat and Waste,2002,8955.223826410958
Industry,2002,6152.08129030137
Transport,2002,6250.7956654794525
Residential,2002,5990.332610246574
Commercial,2002,2525.275169041096
Other,2002,3078.3846184931504
Total Consumption,2002,23049.955694273973
Hydrocarbon Heat and Waste,2002,136.9707697808244
Electricity Heat and Waste,2002,8818.253056630134
Heat and Waste,2003,9171.871615863018
Industry,2003,6288.484115616438
Transport,2003,6354.797119452054
Residential,2003,6192.236717205481
Commercial,2003,2779.2240030684934
Other,2003,3007.70660969863
Total Consumption,2003,23602.44727493151
Hydrocarbon Heat and Waste,2003,106.37115260274004
Electricity Heat and Waste,2003,9065.500463260278
Heat and Waste,2004,9326.205910547944
Industry,2004,6260.224616
Transport,2004,6489.985474219178
Residential,2004,6190.849218493151
Commercial,2004,2839.34237369863
Other,2004,3080.209848739726
Total Consumption,2004,23799.065046136988
Hydrocarbon Heat and Waste,2004,131.38032939725963
Electricity Heat and Waste,2004,9194.825581150684
Heat and Waste,2005,9354.855928465748
Industry,2005,6156.729233260274
Transport,2005,6513.824200630138
Residential,2005,6193.759951452055
Commercial,2005,2888.5127969041096
Other,2005,3196.0505781369866
Total Consumption,2005,23889.284373041097
Hydrocarbon Heat and Waste,2005,143.0632047123272
Electricity Heat and Waste,2005,9211.79272375342
Heat and Waste,2005-2008,9302.246911890408
Industry,2005-2008,6038.992795164383
Transport,2005-2008,6623.324705952055
Residential,2005-2008,6019.2915475
Commercial,2005-2008,2926.574765767123
Other,2005-2008,3125.8106121506853
Total Consumption,2005-2008,23707.52839271918
Hydrocarbon Heat and Waste,2005-2008,138.33331134931177
Electricity Heat and Waste,2005-2008,9163.913600541096
Heat and Waste,2006,9448.777989808223
Industry,2006,6038.0725789315065
Transport,2006,6628.737012273973
Residential,2006,6127.827003095889
Commercial,2006,2971.0135936438355
Other,2006,3166.14974090411
Total Consumption,2006,23892.908666438354
Hydrocarbon Heat and Waste,2006,153.0685141369886
Electricity Heat and Waste,2006,9295.709475671234
Heat and Waste,2007,9324.154394164378
Industry,2007,6095.152232794521
Transport,2007,6727.204858465753
Residential,2007,5739.84118660274
Commercial,2007,2813.9965992876714
Other,2007,3118.383464547945
Total Consumption,2007,23494.127266109586
Hydrocarbon Heat and Waste,2007,144.48675095890212
Electricity Heat and Waste,2007,9179.667643205476
Heat and Waste,2008,9081.199335123289
Industry,2008,5866.017135671233
Transport,2008,6623.5327524383565
Residential,2008,6015.738048849316
Commercial,2008,3032.776073232877
Other,2008,3022.6586650136987
Total Consumption,2008,23553.79326528767
Hydrocarbon Heat and Waste,2008,112.71477558904189
Electricity Heat and Waste,2008,8968.484559534247
Heat and Waste,2009,8526.193484136988
Industry,2009,5072.354075753425
Transport,2009,6450.584314356165
Residential,2009,5961.834212876712
Commercial,2009,3004.6222059452057
Other,2009,2743.48051320548
Total Consumption,2009,22258.308364273973
Hydrocarbon Heat and Waste,2009,82.83345824657772
Electricity Heat and Waste,2009,8443.36002589041
Heat and Waste,2010,8787.836468547943
Industry,2010,5409.684531534246
Transport,2010,6429.7530769041105
Residential,2010,6360.111710849315
Commercial,2010,3163.946302739726
Other,2010,2889.8027363287674
Total Consumption,2010,23174.773806027395
Hydrocarbon Heat and Waste,2010,107.74344909589126
Electricity Heat and Waste,2010,8680.093019452052
Heat and Waste,2011,8640.490174136983
Industry,2011,5319.532600465754
Transport,2011,6361.426612438356
Residential,2011,5640.280447452054
Commercial,2011,2957.9990079452054
