flow,period,value
Industry,1993,277.8591534520548
Transport,1993,1.1362905753424657
Residential,1993,540.2936573698629
Commercial,1993,16.996261780821918
Other,1993,29.45760317808219
Electricity output in GWh,1993,24475.0
Production,1993,1077.2968877808219
Imports,1993,7.945017123287672
Exports,1993,-1.4502555616438355
Total Consumption,1993,865.7428860273973
Electricity,1993,-160.35373084931507
Industry,1994,296.0843650410959
Transport,1994,2.8433772876712324
Residential,1994,518.4159770684931
Commercial,1994,17.99029010958904
Other,1994,28.422004712328768
Electricity output in GWh,1994,27092.0
Production,1994,1089.2446070410958
Imports,1994,9.227566301369864
Exports,1994,-3.1474216712328764
Total Consumption,1994,863.7560343013698
Electricity,1994,-172.13332200000002
Industry,1995,320.21655252054796
Transport,1995,4.455977287671233
Residential,1995,527.9718068767123
Commercial,1995,20.349827150684934
Other,1995,28.48751282191781
Electricity output in GWh,1995,30183.0
Production,1995,1146.3103238630138
Imports,1995,9.736408876712328
Exports,1995,-3.9286189315068496
Total Consumption,1995,901.4814959178083
Electricity,1995,-197.78894454794522
Industry,1996,318.4925164383562
Transport,1996,6.488756986301371
Residential,1996,579.4460992876712
Commercial,1996,20.020318547945205
Other,1996,27.99055890410959
Electricity output in GWh,1996,31184.0
Production,1996,1219.1573700273973
Imports,1996,10.530599315068493
Exports,1996,-4.557834164383562
Total Consumption,1996,952.4382501643835
Electricity,1996,-218.59582230136985
Industry,1997,334.9831889589041
Transport,1997,8.88126898630137
Residential,1997,598.1432825479452
Commercial,1997,20.437485917808218
Other,1997,27.573853424657532
Electricity output in GWh,1997,36561.0
Production,1997,1273.3673790958903
Imports,1997,12.210374246575343
Exports,1997,-8.525693698630137
Total Consumption,1997,990.0191400821917
Electricity,1997,-230.82985336986303
Industry,1998,332.45291312328766
Transport,1998,8.309067095890411
Residential,1998,600.3473834246576
Commercial,1998,19.33651991780822
Other,1998,26.821313452054795
Electricity output in GWh,1998,41183.0
Production,1998,1290.8245874246575
Imports,1998,13.255371178082193
Exports,1998,-10.76383389041096
Total Consumption,1998,987.2672170958905
Electricity,1998,-249.7144838082192
Industry,1999,323.74178046575344
Transport,1999,9.170532876712327
Residential,1999,584.4196749863014
Commercial,1999,21.680111698630135
Other,1999,25.991959095890408
Electricity output in GWh,1999,41700.0
Production,1999,1289.9774804109588
Imports,1999,13.534513643835618
Exports,1999,-10.399382273972604
Total Consumption,1999,965.0039587123288
Electricity,1999,-266.5035977808219
Industry,1999-2002,325.52773496575344
Transport,1999-2002,15.65755275342466
Residential,1999-2002,590.9449815616438
Commercial,1999-2002,25.424772732876715
Other,1999-2002,26.872633493150687
Electricity output in GWh,1999-2002,49935.0
Production,1999-2002,1353.8128036712328
Imports,1999-2002,19.01928655479452
Exports,1999-2002,-13.352418369863013
Total Consumption,1999-2002,984.4275951780822
Electricity,1999-2002,-312.13517229452054
Industry,2000,331.8250233150685
Transport,2000,14.273096493150685
Residential,2000,587.8364390136986
Commercial,2000,25.29462506849315
Other,2000,25.472553287671236
Electricity output in GWh,2000,46196.0
Production,2000,1331.5049628219176
Imports,2000,16.821948356164384
Exports,2000,-9.95289490410959
Total Consumption,2000,984.7016568493151
Electricity,2000,-292.5990604931507
Industry,2001,316.9318891506849
Transport,2001,16.80969821917808
Residential,2001,594.2203267945206
Commercial,2001,26.711684767123284
Other,2001,28.112136493150683
Electricity output in GWh,2001,53246.0
Production,2001,1371.4983063561644
Imports,2001,19.808672328767123
Exports,2001,-14.357240876712329
Total Consumption,2001,982.7856350136987
Electricity,2001,-331.1091333424657
Industry,2002,329.61224693150683
Transport,2002,22.37688342465754
Residential,2002,597.3034854520548
Commercial,2002,28.012669397260275
Other,2002,27.913885095890414
Electricity output in GWh,2002,58598.0
Production,2002,1422.2704650958904
Imports,2002,25.91201189041096
Exports,2002,-18.700155424657535
Total Consumption,2002,1005.2191301369862
Electricity,2002,-358.3288975616438
Industry,2003,348.7864023287671
Transport,2003,28.642326438356164
Residential,2003,659.7439197534246
Commercial,2003,36.47203161643836
Other,2003,28.384290356164385
Electricity output in GWh,2003,61496.0
Production,2003,1560.1292693972603
Imports,2003,33.44014279452055
Exports,2003,-27.308487342465753
Total Consumption,2003,1102.028769671233
Electricity,2003,-390.4402820547945
Industry,2004,362.44606819178085
Transport,2004,38.75724446575342
Residential,2004,642.7392836986302
Commercial,2004,40.60723605479452
Other,2004,28.995793095890413
Electricity output in GWh,2004,72666.0
Production,2004,1623.2309701095894
Imports,2004,45.644793616438356
Exports,2004,-33.685627506849315
Total Consumption,2004,1113.545484931507
Electricity,2004,-442.93695884931503
Industry,2005,370.3048925479452
Transport,2005,64.3718591780822
Residential,2005,681.221984520548
Commercial,2005,35.4569973150685
Other,2005,32.133093342465756
Electricity output in GWh,2005,84145.0
Production,2005,1772.6334198904112
Imports,2005,66.43062523287671
Exports,2005,-36.75241917808219
Total Consumption,2005,1183.4889072328767
Electricity,2005,-534.8233888219178
Industry,2005-2008,390.36949232876714
Transport,2005-2008,131.55492397260275
Residential,2005-2008,724.494734910959
Commercial,2005-2008,40.23746767808219
Other,2005-2008,33.12478711643836
Electricity output in GWh,2005-2008,99071.25
Production,2005-2008,1967.9893767808219
Imports,2005-2008,103.87492110273972
Exports,2005-2008,-53.3954402260274
Total Consumption,2005-2008,1319.7813708630138
Electricity,2005-2008,-602.3481772123288
Industry,2006,384.7192270958904
Transport,2006,108.04895947945205
Residential,2006,694.4504254794522
Commercial,2006,37.693149369863015
Other,2006,32.71107890410959
Electricity output in GWh,2006,94440.0
Production,2006,1878.0749879178081
Imports,2006,100.03811293150686
Exports,2006,-50.00859364383562
Total Consumption,2006,1257.6226796712328
Electricity,2006,-575.2630389863014
Industry,2007,409.02227386301365
Transport,2007,154.6247835890411
Residential,2007,735.1267241917807
Commercial,2007,44.80437397260275
Other,2007,33.27627210958904
Electricity output in GWh,2007,103593.0
Production,2007,2043.21291939726
Imports,2007,108.90269361643836
Exports,2007,-55.94521084931506
Total Consumption,2007,1376.8543473972604
Electricity,2007,-623.8574446849315
Industry,2008,397.4315758082192
Transport,2008,199.17409364383562
Residential,2008,787.1798054520548
Commercial,2008,42.99535005479452
Other,2008,34.37870410958904
Electricity output in GWh,2008,114107.0
Production,2008,2178.0361799178086
Imports,2008,140.12825263013698
Exports,2008,-70.87553723287671
Total Consumption,2008,1461.1595491506848
Electricity,2008,-675.4488363561643
Industry,2009,401.0869564383562
Transport,2009,236.5608891780822
Residential,2009,810.1737343013698
Commercial,2009,50.10643408219178
Other,2009,36.225743616438365
Electricity output in GWh,2009,125265.0
Production,2009,2288.3086597534248
Imports,2009,168.0752331780822
Exports,2009,-74.06139621917809
Total Consumption,2009,1534.153717452055
Electricity,2009,-725.5076957260275
Industry,2010,435.7443812876713
Transport,2010,264.7984791232877
Residential,2010,864.5429549863013
Commercial,2010,52.98557775342466
Other,2010,39.9069298630137
Electricity output in GWh,2010,142931.0
Production,2010,2497.112264767123
Imports,2010,226.1078874520548
Exports,2010,-109.32725123287672
Total Consumption,2010,1657.9783230136989
Electricity,2010,-821.7207335068493
Industry,2011,438.30090454794515
Transport,2011,276.1300164931507
Residential,2011,765.6999332876712
Commercial,2011,54.20183561643836
Other,2011,37.09815419178082
Electricity output in GWh,2011,153253.0
Production,2011,2441.1218288219175
Imports,2011,261.15324
Exports,2011,-117.27746964383562
Total Consumption,2011,1571.4308240547946
Electricity,2011,-873.3997638630136
Industry,2012,417.57901463013695
Transport,2012,291.2742784657534
Residential,2012,850.0695386301369
Commercial,2012,62.82880380821918
Other,2012,39.69670947945205
Electricity output in GWh,2012,3266769.0
Production,2012,2628.1284839452055
Imports,2012,268.47259643835616
Exports,2012,-130.39947498630136
Total Consumption,2012,1661.4482446027396
Electricity,2012,-957.9971815890411
Industry,2013,23.0
Transport,2013,-419.5216654520548
Other,2013,-3.5547086027397263
Electricity output in GWh,2013,178456.0
