flow,period,value
Industry,1993,350.96415536986297
Residential,1993,533.8281354794522
Commercial,1993,92.43523610958904
Other,1993,56.26614435616438
Industry,1994,267.4645708219178
Residential,1994,533.795522
Commercial,1994,99.91452712328767
Other,1994,50.35599547945206
Industry,1995,255.44722660273973
Residential,1995,523.5185206027397
Commercial,1995,96.12210561643836
Other,1995,54.32246934246575
Industry,1996,273.3239318356164
Residential,1996,560.5771932054794
Commercial,1996,112.64207805479451
Other,1996,65.1850674520548
Industry,1997,227.5069735890411
Residential,1997,539.8452019452055
Commercial,1997,100.21278783561642
Other,1997,49.28655852054794
Industry,1998,216.5680832328767
Residential,1998,541.5150763561644
Commercial,1998,101.9535925479452
Other,1998,49.51774471232876
Industry,1999,211.8065353150685
Residential,1999,529.421439890411
Commercial,1999,126.17775646575343
Other,1999,46.80148769863014
Industry,1999-2002,223.23476843835618
Residential,1999-2002,495.76117117123283
Commercial,1999-2002,134.50812574657536
Other,1999-2002,80.59426373972603
Industry,2000,223.1807875068493
Residential,2000,467.7612188219178
Commercial,2000,133.75053008219177
Other,2000,85.53678232876713
Industry,2001,222.0821510410959
Residential,2001,507.2847796438356
Commercial,2001,141.4518297260274
Other,2001,95.89196369863012
Industry,2002,235.86959989041094
Residential,2002,478.5772463287671
Commercial,2002,136.65238671232876
Other,2002,94.14682123287673
Industry,2003,282.71231632876714
Residential,2003,456.9120958630137
Commercial,2003,189.4364195890411
Other,2003,89.77800065753425
Industry,2004,318.96633567123286
Residential,2004,455.72847156164386
Commercial,2004,194.511631260274
Other,2004,90.63302005479451
Industry,2005,318.682835369863
Residential,2005,447.9682106027398
Commercial,2005,199.22188926027397
Other,2005,91.76533435616437
Industry,2005-2008,321.56480058904106
Residential,2005-2008,423.05156752739725
Commercial,2005-2008,193.65556758904108
Other,2005-2008,86.59382857534247
Industry,2006,325.96839347945206
Residential,2006,428.9545119178082
Commercial,2006,196.91948605479453
Other,2006,85.83697093150685
Industry,2007,321.3828057260274
Residential,2007,411.3305812328767
Commercial,2007,181.6712786575343
Other,2007,84.40161635616438
Industry,2008,320.2251677808219
Residential,2008,403.9529663561644
Commercial,2008,196.80961638356166
Other,2008,84.37139265753424
Industry,2009,299.4605630410959
Residential,2009,406.23707468493154
Commercial,2009,198.8219724931507
Other,2009,68.92326704109588
Industry,2010,316.5079942465753
Residential,2010,449.7434763561644
Commercial,2010,232.383632630137
Other,2010,78.76050860273972
Industry,2011,311.2007529315068
Residential,2011,435.8525038082192
Commercial,2011,211.6401141917808
Other,2011,18.35478189041096
Industry,2012,323.3705611506849
Residential,2012,432.4769082739726
Commercial,2012,214.11709189041096
Other,2012,15.559903095890412
Industry,2013,23.0
Transport,2013,716.8479132328767
Other,2013,-15.323455369863016
Industry,2014,306.45541134246577
Residential,2014,409.73167728767123
Commercial,2014,183.58382627397262
Other,2014,14.686167095890411
