flow,period,value
Industry,1993,1083.779620109589
Transport,1993,5292.021604301371
Residential,1993,1287.2083469863012
Commercial,1993,548.4764476438356
Other,1993,1982.2212746575342
Electricity output in GWh,1993,218847.0
Imports,1993,4229.095673534247
Exports,1993,-3970.130749808219
Total Consumption,1993,10193.707253534247
Electricity,1993,-1049.0335323835616
Production,1993,13993.397489616438
Industry,1994,1104.0862906301368
Transport,1994,5333.115271205479
Residential,1994,1206.9216319726027
Commercial,1994,527.0064559178082
Other,1994,2137.181290273973
Electricity output in GWh,1994,214862.0
Imports,1994,4127.595336054795
Exports,1994,-4023.2860220821917
Total Consumption,1994,10308.310859671232
Electricity,1994,-1014.6398268767123
Production,1994,14197.877318410958
Industry,1995,1092.9192264109588
Transport,1995,5386.780209424658
Residential,1995,1228.6746420273973
Commercial,1995,492.7647726027398
Other,1995,2246.025363972603
Electricity output in GWh,1995,228072.0
Imports,1995,4127.059944821918
Exports,1995,-3809.3758570958903
Total Consumption,1995,10447.16413410959
Electricity,1995,-1044.4812409041097
Production,1995,13740.230113917809
Industry,1996,1086.111664630137
Transport,1996,5565.062076
Residential,1996,1298.6788732054795
Commercial,1996,566.2922034246575
Other,1996,2206.082045178082
Electricity output in GWh,1996,222274.0
Imports,1996,4327.3537210684935
Exports,1996,-3984.671100109589
Total Consumption,1996,10722.22690260274
Electricity,1996,-1017.5457601917807
Production,1996,14118.002589561642
Industry,1997,1108.930396438356
Transport,1997,5644.744638356164
Residential,1997,1273.4927923835617
Commercial,1997,499.3476548219178
Other,1997,2293.125252958904
Electricity output in GWh,1997,210175.0
Imports,1997,4340.661848164384
Exports,1997,-4133.371717452055
Total Consumption,1997,10819.640714876712
Electricity,1997,-949.1516388219177
Production,1997,14373.12340021918
Industry,1998,1084.5428036438357
Transport,1998,5827.956924
Residential,1998,1278.7800318356165
Commercial,1998,484.06221504109584
Other,1998,2342.8091175616437
Electricity output in GWh,1998,216715.0
Imports,1998,4454.849511945205
Exports,1998,-4216.2059789863015
Total Consumption,1998,11018.151112164383
Electricity,1998,-956.7289108493151
Production,1998,14800.381288246575
Industry,1999,1039.4190224109589
Transport,1999,5967.547114465754
Residential,1999,1191.2574420547946
Commercial,1999,500.78592131506844
Other,1999,2257.793046383562
Electricity output in GWh,1999,201440.0
Imports,1999,4512.580712438356
Exports,1999,-4072.995330821918
Total Consumption,1999,10956.802667123287
Electricity,1999,-900.0744572328767
Production,1999,14051.195503561643
Industry,1999-2002,1022.5943478972604
Transport,1999-2002,5999.109748047945
Residential,1999-2002,1175.7773757123289
Commercial,1999-2002,485.0662945068493
Other,1999-2002,2266.858589561644
Electricity output in GWh,1999-2002,183402.25
Imports,1999-2002,4799.116035452054
Exports,1999-2002,-4288.45038869863
Total Consumption,1999-2002,10949.406365767123
Electricity,1999-2002,-821.9150287123289
Production,1999-2002,14146.0989565137
Industry,2000,1017.7470841643836
Transport,2000,5941.9627033698625
Residential,2000,1144.31764830137
Commercial,2000,452.2671049863014
Other,2000,2278.2186838082193
Electricity output in GWh,2000,177520.0
Imports,2000,4717.640796082192
Exports,2000,-4332.11334109589
Total Consumption,2000,10834.513284876713
Electricity,2000,-799.7141857808218
