flow,period,value
Residential,1993,3.097015369863014
Commercial,1993,0.5361342739726027
Other,1993,0.23213005479452056
Electricity output in GWh,1993,3230.0
Production,1993,8.837449643835617
Total Consumption,1993,3.8653198630136987
Electricity,1993,-4.96877605479452
Industry,1994,0.014378849315068491
Residential,1994,3.5670189863013704
Commercial,1994,0.8819094520547945
Other,1994,0.23835553424657535
Electricity output in GWh,1994,4332.0
Production,1994,11.661146383561645
Total Consumption,1994,4.701642739726028
Electricity,1994,-6.956631890410959
Industry,1995,0.014860821917808218
Residential,1995,3.8657817534246575
Commercial,1995,0.9692067397260274
Other,1995,0.8574493424657534
Electricity output in GWh,1995,5305.0
Production,1995,14.195739890410959
Total Consumption,1995,5.707298657534246
Electricity,1995,-8.485087506849315
Industry,1996,0.015342794520547947
Residential,1996,4.1990858904109585
Commercial,1996,1.0612835890410959
Other,1996,0.8838373424657533
Electricity output in GWh,1996,6027.0
Production,1996,15.916864054794521
Total Consumption,1996,6.159509452054794
Electricity,1996,-9.75448284931507
Industry,1997,0.013434986301369864
Residential,1997,4.561609616438356
Commercial,1997,1.1192809589041097
Other,1997,0.9078154794520548
Electricity output in GWh,1997,8888.0
Production,1997,20.707611479452055
Total Consumption,1997,6.602181205479452
Electricity,1997,-14.096333041095892
Industry,1998,0.015342794520547947
Residential,1998,5.0234196986301365
Commercial,1998,1.256944383561644
Other,1998,0.9058875890410958
Electricity output in GWh,1998,12849.0
Production,1998,28.07867956164384
Total Consumption,1998,7.201594465753424
Electricity,1998,-20.869895671232875
Industry,1999,0.0023897808219178083
Residential,1999,5.610904136986301
Commercial,1999,1.3619541643835615
Other,1999,0.9437826849315067
Electricity output in GWh,1999,15670.0
Production,1999,33.7911995890411
Total Consumption,1999,7.919030767123288
Electricity,1999,-25.861123616438356
Industry,1999-2002,0.006958479452054795
Residential,1999-2002,6.709927184931506
Commercial,1999-2002,1.304278109589041
Other,1999-2002,1.005404890410959
Electricity output in GWh,1999-2002,26547.75
Production,1999-2002,53.51702283561644
Total Consumption,1999-2002,9.026583726027397
Electricity,1999-2002,-44.4767631369863
Industry,2000,0.001927890410958904
